scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,1295,6,0.6191841398349187,0.5577706881866898
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,194,1,0.6631427964300892,0.6060348491287718
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,177,1,0.5752035278154681,0.5170284938941656
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),3,6,194,1,0.6878964059196617,0.6094080338266386
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,213,1,0.6108606557377049,0.5505464480874317
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),5,6,259,1,0.5875306184935701,0.5475096958562972
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,258,1,0.6032832618025751,0.5268669527896995
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,1295,6,0.9773764772543424,0.5288489541979573
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,1,6,194,1,0.9883127921801955,0.48342541436464087
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,2,6,177,1,0.9319199457259159,0.496336499321574
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,3,6,194,1,0.9721855179704018,0.6020084566596194
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,4,6,213,1,0.9883196721311476,0.5614754098360656
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,5,6,259,1,0.974739742804654,0.5229638701775873
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,6,6,258,1,0.997854077253219,0.5092703862660944
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,1295,6,0.6790161292470686,0.506381667268615
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),1,12,194,1,0.7527624309392265,0.5350616234594135
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),2,12,177,1,0.6049185888738128,0.4755088195386703
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),3,12,194,1,0.7107558139534884,0.5697674418604651
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,213,1,0.6607923497267759,0.4756830601092896
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),5,12,259,1,0.6971193100632782,0.5466421718718106
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),6,12,258,1,0.647403433476395,0.4432618025751073
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,1295,6,0.990566129743569,0.4960996247345468
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,1,12,194,1,0.9979281767955801,0.4972375690607735
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,177,1,0.9711160108548168,0.47394843962008143
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,3,12,194,1,0.9857293868921776,0.5081923890063424
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,4,12,213,1,0.9937841530054645,0.5418032786885246
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,5,12,259,1,0.9904572361706471,0.46626862625025517
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,6,12,258,1,0.9994635193133048,0.49356223175965663
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,1295,6,0.6116395285594941,0.5220939069240603
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),1,6,194,1,0.6588397790055249,0.6066723331916702
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,177,1,0.5717774762550882,0.5361601085481682
