scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,2448,6,0.6100206911350233,0.5846518647769886
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,356,1,0.6434445488721805,0.606390977443609
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,348,1,0.6095147326041258,0.5816617379841095
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),3,6,379,1,0.589912518037518,0.5413961038961039
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,408,1,0.6548367764699545,0.6370700568319552
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),5,6,464,1,0.5728056426332289,0.5426332288401254
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,493,1,0.5996373189371723,0.6004843152936994
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,2448,6,0.9410303523880701,0.5355725968481718
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,1,6,356,1,0.9490836466165413,0.524812030075188
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,2,6,348,1,0.9298152634766808,0.5255816439234688
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,3,6,379,1,0.9522727272727273,0.48524531024531026
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,4,6,408,1,0.931747784631131,0.6010181269695909
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,5,6,464,1,0.950705329153605,0.5307210031347962
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,6,6,493,1,0.9330650715364792,0.5394894694748067
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,2448,6,0.6361640317903083,0.5894771538930984
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),1,12,356,1,0.6398026315789473,0.5710526315789474
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),2,12,348,1,0.650114012897709,0.6178608330067339
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),3,12,379,1,0.622005772005772,0.5741522366522367
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,408,1,0.6521601529883911,0.624235731408409
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),5,12,464,1,0.6083855799373041,0.5717868338557994
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),6,12,493,1,0.6474801164134009,0.5824113569714743
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,2448,6,0.9669832776579552,0.5616268387482318
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,1,12,356,1,0.9790883458646616,0.5343045112781954
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,348,1,0.9568755121673139,0.5638650372323369
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,3,12,379,1,0.9709325396825397,0.5218253968253967
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,4,12,408,1,0.9578877905567377,0.6394402995124842
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,5,12,464,1,0.9720219435736677,0.5366771159874608
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,6,12,493,1,0.9651259664089576,0.5694592553096952
allplus,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,2448,6,0.6082649501819182,0.5817809715633089
allplus,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),1,6,356,1,0.6517857142857143,0.6464285714285714
allplus,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,348,1,0.6056400755335447,0.6056400755335447
allplus,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),3,6,379,1,0.590755772005772,0.5527236652236652
allplus,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),4,6,408,1,0.6371676946696474,0.6202224795970588
allplus,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),5,6,464,1,0.575,0.542319749216301
allplus,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),6,6,493,1,0.5995401226339643,0.5459210877099441
