scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,477,4,0.6614974496297376,0.5584461476461652
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,91,1,0.6077898550724637,0.5181159420289856
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,111,1,0.6331436420722135,0.49097331240188385
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),5,6,152,1,0.6268939393939394,0.5704545454545455
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,123,1,0.7695819805194806,0.6343344155844155
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,477,4,0.9786047140245547,0.49148265460011037
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,2,6,91,1,0.9575922266139658,0.4967061923583663
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,4,6,111,1,0.9961734693877551,0.4897959183673469
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,5,6,152,1,0.9774621212121213,0.5007575757575757
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,6,6,123,1,0.9797077922077921,0.47767857142857145
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,477,4,0.7203123864413123,0.5145146726111803
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),2,12,91,1,0.6222826086956521,0.44894598155467724
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,111,1,0.7475470957613815,0.5341444270015698
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),5,12,152,1,0.7329545454545454,0.5045454545454545
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),6,12,123,1,0.752637987012987,0.5576298701298701
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,477,4,0.9852622654835388,0.48770171101561
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,91,1,0.9700263504611331,0.45750988142292487
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,4,12,111,1,0.9878335949764521,0.4846938775510204
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,5,12,152,1,0.9823863636363637,0.5196969696969698
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,6,12,123,1,0.9977678571428572,0.4732142857142857
publication,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,477,4,0.6579677987310488,0.5119413571386793
publication,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,91,1,0.6189064558629775,0.5408432147562583
publication,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),4,6,111,1,0.5917386185243328,0.3347723704866562
