session,trial,maze,regime,correct,chosen,correct_exit,ml_alt,looked_ml_alt,n_other_alt_looked,looked_any_unchosen,first_unchosen_look,first_look_is_ml,window_start_ms,n_fixations_in_window
April_11_2_g0,1,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3874.0,10
April_11_2_g0,2,1,hierarchical,True,LU,LU,LD,False,0,False,,,4217.0,8
April_11_2_g0,3,3,hierarchical,True,RU,RU,LD,False,0,False,,,4488.0,6
April_11_2_g0,4,2,hierarchical,True,LU,LU,LD,False,0,False,,,4379.0,7
April_11_2_g0,6,5,sequential,True,RD,RD,LU,True,1,True,LU,True,3921.0,11
April_11_2_g0,7,5,sequential,True,RD,RD,LU,False,1,True,LD,False,4089.0,9
April_11_2_g0,8,5,sequential,False,LU,RU,RU,False,0,False,,,4282.0,10
April_11_2_g0,9,5,sequential,True,RD,RD,LU,False,0,False,,,4015.0,9
April_11_2_g0,12,5,sequential,False,RU,LD,LD,False,1,True,RD,False,4513.0,10
April_11_2_g0,13,6,sequential,False,RU,LD,LD,False,1,True,RD,False,4462.0,10
April_11_2_g0,14,2,hierarchical,True,LU,LU,LD,False,0,False,,,4375.0,11
April_11_2_g0,15,4,sequential,True,RU,RU,RD,False,0,False,,,4579.0,10
April_11_2_g0,16,6,sequential,True,LD,LD,LU,True,0,True,LU,True,4492.0,10
April_11_2_g0,17,2,hierarchical,True,RU,RU,RD,False,0,False,,,4626.0,9
April_11_2_g0,18,6,sequential,False,LD,LU,LU,False,0,False,,,4400.0,7
April_11_2_g0,20,5,sequential,True,LU,LU,RU,False,0,False,,,4068.0,12
April_11_2_g0,22,3,hierarchical,True,RD,RD,RU,True,0,True,RU,True,4134.0,10
April_11_2_g0,24,2,hierarchical,True,LU,LU,LD,False,0,False,,,4321.0,11
April_11_2_g0,25,6,sequential,False,LU,RU,RU,False,1,True,LD,False,4087.0,10
April_11_2_g0,26,3,hierarchical,True,LU,LU,LD,False,1,True,RU,False,4081.0,9
April_11_2_g0,27,5,sequential,True,LU,LU,RU,False,0,False,,,4079.0,8
April_11_2_g0,28,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3915.0,11
April_11_2_g0,31,5,sequential,True,RD,RD,LU,False,1,True,RU,False,4044.0,10
April_11_2_g0,33,1,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4527.0,9
April_11_2_g0,35,1,hierarchical,True,LU,LU,LD,False,0,False,,,4173.0,13
April_11_2_g0,36,2,hierarchical,False,LU,RU,RU,False,0,False,,,4559.0,4
April_11_2_g0,38,2,hierarchical,True,LU,LU,LD,False,0,False,,,4318.0,13
April_11_2_g0,39,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3920.0,10
April_11_2_g0,41,5,sequential,True,RD,RD,LU,False,0,False,,,3941.0,10
April_11_2_g0,42,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3940.0,9
April_11_2_g0,43,2,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4647.0,10
April_11_2_g0,44,2,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4670.0,9
April_11_2_g0,45,6,sequential,False,RU,LU,LU,False,1,True,LD,False,4344.0,7
April_11_2_g0,46,4,sequential,True,LU,LU,LD,False,0,False,,,4359.0,12
April_11_2_g0,47,4,sequential,True,LU,LU,LD,False,0,False,,,4345.0,12
April_11_2_g0,48,4,sequential,True,RU,RU,RD,False,0,False,,,4412.0,9
April_11_2_g0,49,3,hierarchical,False,LU,RD,RD,False,0,False,,,4338.0,3
April_11_2_g0,50,1,hierarchical,True,RD,RD,RU,False,0,False,,,4483.0,9
April_11_2_g0,51,6,sequential,False,LD,LU,LU,False,0,False,,,4321.0,11
April_11_2_g0,53,4,sequential,True,RD,RD,RU,True,0,True,RU,True,4336.0,9
April_11_2_g0,54,1,hierarchical,True,RD,RD,RU,False,0,False,,,4411.0,14
April_11_2_g0,55,1,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4468.0,12
April_11_2_g0,56,4,sequential,True,RD,RD,RU,True,0,True,RU,True,4306.0,12
April_11_2_g0,57,1,hierarchical,True,RD,RD,RU,False,0,False,,,4572.0,12
April_11_2_g0,58,3,hierarchical,True,LU,LU,LD,False,0,False,,,4078.0,9
April_11_2_g0,60,3,hierarchical,True,LD,LD,RU,False,1,True,LU,False,4455.0,11
April_11_2_g0,61,4,sequential,False,RU,LU,LU,False,0,False,,,4300.0,7
April_11_2_g0,62,3,hierarchical,False,LD,RU,RU,False,0,False,,,4658.0,8
April_11_2_g0,63,1,hierarchical,True,LU,LU,LD,False,1,True,RU,False,4055.0,7
April_11_2_g0,64,4,sequential,False,LU,LD,LD,False,0,False,,,4506.0,1
April_11_2_g0,65,3,hierarchical,True,RU,RU,LD,False,0,False,,,4752.0,9
April_11_2_g0,67,5,sequential,True,LU,LU,RU,False,0,False,,,4112.0,12
April_11_2_g0,68,3,hierarchical,False,LU,RU,RU,False,0,False,,,4637.0,2
April_11_2_g0,69,2,hierarchical,True,RU,RU,RD,False,0,False,,,4801.0,8
April_11_2_g0,70,5,sequential,True,RD,RD,LU,False,0,False,,,3906.0,10
April_11_2_g0,72,3,hierarchical,True,LU,LU,LD,False,0,False,,,4145.0,14
April_11_2_g0,73,6,sequential,True,RD,RD,RU,True,0,True,RU,True,4018.0,11
April_11_2_g0,75,3,hierarchical,True,LD,LD,RU,False,1,True,LU,False,4549.0,10
April_11_2_g0,76,6,sequential,False,RU,LU,LU,False,0,False,,,4335.0,6
April_11_2_g0,77,5,sequential,True,LD,LD,RU,False,1,True,LU,False,4575.0,11
April_11_2_g0,80,5,sequential,False,LD,RU,RU,False,1,True,LU,False,4378.0,7
April_11_2_g0,82,4,sequential,False,RU,LU,LU,False,0,False,,,4268.0,6
April_11_2_g0,84,5,sequential,False,LU,RD,RD,False,0,False,,,3925.0,7
April_11_2_g0,86,2,hierarchical,False,LU,LD,LD,False,0,False,,,4498.0,7
April_11_2_g0,87,2,hierarchical,False,LU,LD,LD,False,0,False,,,4535.0,9
April_11_2_g0,89,2,hierarchical,True,LU,LU,LD,False,0,False,,,4294.0,8
April_11_2_g0,90,5,sequential,False,LU,RD,RD,False,1,True,LD,False,4203.0,11
April_11_2_g0,91,1,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4459.0,7
April_11_2_g0,92,5,sequential,False,LD,RU,RU,False,1,True,LU,False,4484.0,10
April_11_2_g0,93,2,hierarchical,True,RU,RU,RD,False,0,False,,,4609.0,11
April_11_2_g0,94,4,sequential,True,RD,RD,RU,True,0,True,RU,True,4252.0,10
April_11_2_g0,95,2,hierarchical,True,RD,RD,RU,False,0,False,,,4459.0,9
April_11_2_g0,96,3,hierarchical,True,LU,LU,LD,False,0,False,,,4166.0,11
April_11_2_g0,97,6,sequential,True,RD,RD,RU,True,0,True,RU,True,4066.0,10
April_11_2_g0,98,5,sequential,True,LU,LU,RU,True,0,True,RU,True,4251.0,10
April_11_2_g0,99,4,sequential,True,RD,RD,RU,False,0,False,,,4110.0,10
April_11_2_g0,100,3,hierarchical,False,LD,RU,RU,False,0,False,,,4604.0,6
April_11_2_g0,101,5,sequential,True,LD,LD,RU,False,1,True,LU,False,4553.0,8
April_11_2_g0,102,6,sequential,True,RU,RU,LU,False,0,False,,,4106.0,10
April_11_2_g0,104,6,sequential,True,LD,LD,LU,True,0,True,LU,True,4516.0,10
April_11_2_g0,105,2,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4527.0,9
April_11_2_g0,107,1,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4536.0,11
April_11_2_g0,109,6,sequential,True,RU,RU,LU,False,0,False,,,4257.0,9
April_11_2_g0,111,4,sequential,True,RD,RD,RU,False,0,False,,,4122.0,8
April_11_2_g0,113,6,sequential,True,RD,RD,RU,False,0,False,,,3866.0,10
April_11_2_g0,115,4,sequential,True,RD,RD,RU,True,0,True,RU,True,4291.0,11
April_11_2_g0,116,3,hierarchical,True,LD,LD,RU,False,1,True,LU,False,4517.0,16
April_11_2_g0,117,2,hierarchical,True,RD,RD,RU,False,0,False,,,4708.0,9
April_11_2_g0,118,4,sequential,True,RD,RD,RU,True,0,True,RU,True,4228.0,12
April_11_2_g0,119,6,sequential,True,RU,RU,LU,False,0,False,,,4128.0,9
April_11_2_g0,120,6,sequential,True,RD,RD,RU,True,0,True,RU,True,3955.0,9
April_11_2_g0,121,3,hierarchical,True,LD,LD,RU,False,1,True,LU,False,4581.0,14
April_11_2_g0,122,3,hierarchical,True,LU,LU,LD,False,0,False,,,4173.0,10
April_11_2_g0,124,3,hierarchical,True,LD,LD,RU,False,1,True,LU,False,4496.0,11
April_11_2_g0,126,6,sequential,False,RD,LD,LD,False,0,False,,,4759.0,8
April_11_2_g0,128,6,sequential,True,LD,LD,LU,True,0,True,LU,True,4602.0,12
April_11_2_g0,130,1,hierarchical,True,RU,RU,RD,False,1,True,LU,False,4794.0,11
April_11_2_g0,132,4,sequential,True,RD,RD,RU,False,0,False,,,4176.0,5
April_11_2_g0,133,1,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4498.0,10
April_11_2_g0,136,6,sequential,False,RU,LU,LU,False,0,False,,,4380.0,8
April_11_2_g0,137,5,sequential,False,LD,RU,RU,False,1,True,LU,False,4531.0,12
April_11_2_g0,138,1,hierarchical,True,LD,LD,LU,True,0,True,LU,True,4666.0,12
April_11_2_g0,140,1,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4766.0,11
April_11_2_g0,141,5,sequential,False,RU,LD,LD,True,0,True,LD,True,4482.0,9
April_11_2_g0,142,5,sequential,True,LD,LD,RU,False,1,True,LU,False,4518.0,12
April_11_2_g0,143,4,sequential,False,RU,LD,LD,True,0,True,LD,True,4584.0,11
April_11_2_g0,144,5,sequential,True,LU,LU,RU,False,0,False,,,4043.0,8
April_11_2_g0,145,6,sequential,True,RU,RU,LU,False,0,False,,,4198.0,12
April_11_2_g0,146,4,sequential,False,RU,RD,RD,False,0,False,,,4368.0,9
April_11_2_g0,148,2,hierarchical,True,RU,RU,RD,False,0,False,,,4663.0,11
