session,trial,maze,regime,correct,chosen,correct_exit,ml_alt,looked_ml_alt,n_other_alt_looked,looked_any_unchosen,first_unchosen_look,first_look_is_ml,window_start_ms,n_fixations_in_window
Dec_01_g0,1,5,sequential,True,LD,LD,RU,False,0,False,,,4522.0,10
Dec_01_g0,2,5,sequential,False,LD,RU,RU,False,0,False,,,4253.0,12
Dec_01_g0,3,3,hierarchical,False,LU,RD,RD,False,0,False,,,4221.0,14
Dec_01_g0,4,6,sequential,True,RD,RD,RU,False,1,True,LU,False,3902.0,11
Dec_01_g0,5,1,hierarchical,True,RD,RD,RU,False,0,False,,,4320.0,10
Dec_01_g0,6,5,sequential,False,LU,LD,LD,True,0,True,LD,True,4434.0,9
Dec_01_g0,7,4,hierarchical,False,RD,LD,LD,False,1,True,LU,False,4498.0,10
Dec_01_g0,8,6,sequential,True,RD,RD,RU,False,1,True,LU,False,3923.0,8
Dec_01_g0,9,4,hierarchical,True,RD,RD,RU,False,1,True,LD,False,4132.0,11
Dec_01_g0,10,3,hierarchical,True,LU,LU,LD,True,1,True,LD,True,4055.0,15
Dec_01_g0,12,2,hierarchical,True,LD,LD,LU,False,0,False,,,4465.0,10
Dec_01_g0,13,4,hierarchical,True,RD,RD,RU,False,1,True,LU,False,4030.0,12
Dec_01_g0,14,1,hierarchical,True,LU,LU,LD,True,1,True,RD,False,4145.0,10
Dec_01_g0,16,5,sequential,True,RD,RD,LU,True,1,True,LU,True,3795.0,9
Dec_01_g0,19,3,hierarchical,True,LD,LD,RU,True,1,True,RD,False,4520.0,13
Dec_01_g0,20,5,sequential,True,LU,LU,RU,True,0,True,RU,True,4078.0,10
Dec_01_g0,21,4,hierarchical,True,RU,RU,RD,True,1,True,RD,True,4498.0,12
Dec_01_g0,23,3,hierarchical,True,LU,LU,LD,False,2,True,RU,False,4032.0,9
Dec_01_g0,25,4,hierarchical,True,RD,RD,RU,False,0,False,,,4141.0,11
Dec_01_g0,26,3,hierarchical,True,LU,LU,LD,False,1,True,RD,False,4192.0,10
Dec_01_g0,27,5,sequential,True,RD,RD,LU,True,0,True,LU,True,3914.0,10
Dec_01_g0,28,4,hierarchical,True,LD,LD,LU,False,2,True,RU,False,4500.0,10
Dec_01_g0,29,1,hierarchical,True,LD,LD,LU,True,1,True,RD,False,4452.0,11
Dec_01_g0,33,6,sequential,True,LD,LD,LU,False,1,True,RU,False,4401.0,13
Dec_01_g0,34,6,sequential,True,LD,LD,LU,False,0,False,,,4429.0,11
Dec_01_g0,35,1,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4752.0,11
Dec_01_g0,37,3,hierarchical,True,LD,LD,RU,False,2,True,RD,False,4567.0,11
Dec_01_g0,38,1,hierarchical,True,LD,LD,LU,True,1,True,RD,False,4683.0,13
Dec_01_g0,40,2,hierarchical,True,RD,RD,RU,False,0,False,,,4315.0,16
Dec_01_g0,41,1,hierarchical,True,LD,LD,LU,True,1,True,RD,False,4418.0,14
Dec_01_g0,42,1,hierarchical,True,RU,RU,RD,True,0,True,RD,True,4768.0,11
Dec_01_g0,43,1,hierarchical,True,RU,RU,RD,True,1,True,RD,True,4806.0,12
Dec_01_g0,45,2,hierarchical,True,RU,RU,RD,True,1,True,LD,False,4669.0,12
Dec_01_g0,46,6,sequential,False,RD,RU,RU,False,0,False,,,4071.0,11
