model,base,hit_rate,share_of_ceiling,loglik,loglik_share,k,aic,bic,flags,alpha,beta,eps,lam,scale,theta,variant,wm
uniform,uniform,0.3333,0.0,-3629.815,0.0,0,7259.63,7259.63,,,,,,,,,
proximity,proximity,0.171,-0.2922,-3619.0807,0.0041,1,7240.1614,7246.2643,,,,,,41.5251,,,
sibling,sibling,0.8871,0.9967,-1423.2789,0.8387,1,2848.5578,2854.6607,,,,0.169,,,,,
only_first,only_first,0.7706,0.787,-2304.8529,0.5036,2,4613.7058,4625.9116,wm=0.0394 at limit,,,0.3447,,,,,0.0394
only_second,only_second,0.523,0.3414,-3314.1416,0.12,2,6632.2832,6644.489,,,,0.6092,,,,,0.2023
total_time,total_time,0.4319,0.1774,-3565.9941,0.0243,2,7135.9882,7148.194,wm=1.93 implausible,,,0.7739,,,,,1.9259
optimal,optimal,0.7104,0.6786,-2501.223,0.429,2,5006.446,5018.6518,,,,0.2299,,,,,0.2898
optimal_lapse,optimal_lapse,0.7104,0.6786,-2501.2229,0.429,3,5008.4458,5026.7545,,,,0.2301,0.5951,,,,0.2905
hierarchical,hierarchical,0.4175,0.1515,-3461.0121,0.0642,2,6926.0242,6938.23,wm=1.88 implausible,,,0.527,,,,,1.8812
postdictive,postdictive,0.7104,0.6786,-2501.223,0.429,2,5006.446,5018.6518,,,,0.2299,,,,,0.2898
revision[XLR_max],revision,0.7346,0.7222,-2194.5713,0.5455,5,4399.1426,4429.657,,0.5956,-156.7834,0.1209,,,0.9457,XLR_max,0.1535
saturated,saturated,0.8889,1.0,-998.8426,1.0,48,2093.6852,2386.6239,,,,,,,,,
