model,base,hit_rate,share_of_ceiling,loglik,loglik_share,k,aic,bic,flags,alpha,beta,eps,lam,scale,theta,variant,wm
uniform,uniform,0.3333,0.0,-12472.5453,0.0,0,24945.0906,24945.0906,,,,,,,,,
proximity,proximity,0.3595,0.0788,-12239.2874,0.0607,1,24480.5748,24487.912,,,,,,16.9025,,,
sibling,sibling,0.3891,0.1683,-12394.9344,0.0202,1,24791.8688,24799.206,,,,0.9156,,,,,
only_first,only_first,0.4166,0.2512,-12301.0662,0.0446,2,24606.1324,24620.8069,,,,0.8732,,,,,0.0944
only_second,only_second,0.624,0.8765,-10937.6986,0.3993,2,21879.3972,21894.0717,wm=1.94 implausible,,,0.5017,,,,,1.9436
total_time,total_time,0.4868,0.4629,-12007.1085,0.1211,2,24018.217,24032.8915,wm=1.89 implausible,,,0.6906,,,,,1.8921
optimal,optimal,0.534,0.605,-11350.4222,0.2919,2,22704.8444,22719.5189,wm=1.96 at limit,,,0.4819,,,,,1.9631
optimal_lapse,optimal_lapse,0.534,0.605,-11350.4223,0.2919,3,22706.8446,22728.8563,wm=2 at limit;lam=0.985 at limit,,,0.4817,0.9851,,,,1.9963
hierarchical,hierarchical,0.4294,0.2897,-11929.2114,0.1414,2,23862.4228,23877.0973,wm=2 at limit,,,0.6107,,,,,1.9993
postdictive,postdictive,0.534,0.605,-11350.4222,0.2919,2,22704.8444,22719.5189,wm=1.96 at limit,,,0.4819,,,,,1.9631
revision[XUD],revision,0.5739,0.7256,-10631.6029,0.479,5,21273.2058,21309.892,theta=0.991 at limit;alpha=0.988 at limit,0.9877,-542.708,0.4263,,,0.9907,XUD,0.1921
saturated,saturated,0.6649,1.0,-8628.9516,1.0,48,17353.9032,17706.0906,,,,,,,,,
