scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,1295,6,0.6191841398349187,0.5577706881866898,0.04671375247935809,0.1202175583376584
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,194,1,0.6631427964300892,0.6060348491287718,0.03730893295711398,0.20889890900172273
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,177,1,0.5752035278154681,0.5170284938941656,0.009987214035959835,0.05175949651990956
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),3,6,194,1,0.6878964059196617,0.6094080338266386,0.02067538828738076,0.17472364613147695
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,213,1,0.6108606557377049,0.5505464480874317,0.01252770524699753,0.07954194461090335
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),5,6,259,1,0.5875306184935701,0.5475096958562972,0.017349155841313652,0.08241324649573667
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,258,1,0.6032832618025751,0.5268669527896995,0.030062556107839533,0.066174560242305
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,1295,6,0.9773075421511025,0.53159026693927,0.02533208180598173,0.07332587837173703
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,1,6,194,1,0.9883127921801955,0.48342541436464087,0.019226964429510055,0.018108895570007368
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,2,6,177,1,0.9330563093622795,0.496336499321574,0.023825940220325553,0.052438453613487056
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,3,6,194,1,0.9721855179704018,0.6020084566596194,0.011777727637593813,0.07908088775956668
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,4,6,213,1,0.9883196721311476,0.5781420765027322,0.009357311158960768,0.06580663298921935
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,5,6,259,1,0.9741528883445602,0.5229638701775873,0.01396909834795758,0.09857390378079302
all,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,6,6,258,1,0.9973175965665235,0.5092703862660944,0.003292331199744098,0.03329044390759017
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,1295,6,0.6790161292470686,0.506381667268615,0.06330007674084834,0.10060508279187079
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),1,12,194,1,0.7527624309392265,0.5350616234594135,0.08199846064849362,0.13373576840638687
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),2,12,177,1,0.6049185888738128,0.4755088195386703,0.031267883865101744,0.059997111127614605
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),3,12,194,1,0.7107558139534884,0.5697674418604651,0.040215224422827774,0.1292099300502322
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,213,1,0.6607923497267759,0.4756830601092896,0.031894987146310526,0.05611227830846075
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),5,12,259,1,0.6971193100632782,0.5466421718718106,0.02859506735259596,0.12463856731026235
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),6,12,258,1,0.647403433476395,0.4432618025751073,0.020354271868483684,0.046571689789971074
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,1295,6,0.9904108120882512,0.49611971277125916,0.014562269120466896,0.0458115479064963
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,1,12,194,1,0.9979281767955801,0.4972375690607735,0.0018930957036165225,0.006211299937499418
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,177,1,0.9699796472184532,0.47394843962008143,0.019371190022398926,0.07137397227225231
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,3,12,194,1,0.9857293868921776,0.5081923890063424,0.01639192634662312,0.0589104250134907
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,4,12,213,1,0.9937841530054645,0.5390710382513662,0.00830573594971058,0.04320895057515519
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,5,12,259,1,0.9904572361706471,0.46861604409063073,0.009546967849785967,0.018404985784492036
all,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,6,12,258,1,0.9994635193133048,0.49356223175965663,0.0011957582767378602,0.014272774324466737
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),pooled,6,1295,6,0.6116395285594941,0.5220939069240603,0.04026118806016619,0.12211798553316154
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),1,6,194,1,0.6588397790055249,0.6066723331916702,0.0675792178552026,0.13140486705572502
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),2,6,177,1,0.5717774762550882,0.5361601085481682,0.013275405435751533,0.07842185680512063
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),3,6,194,1,0.6292943974630021,0.5388477801268499,0.018630527298433744,0.1413762997766936
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),4,6,213,1,0.6011612021857924,0.4098360655737705,0.024375812017955766,0.13240208398425946
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),5,6,259,1,0.6027760767503572,0.535517452541335,0.014433656289298285,0.1193193061905665
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Logistic (L2),6,6,258,1,0.6077682403433476,0.515450643776824,0.022195931124961068,0.07046465149686376
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Random forest,pooled,6,1295,6,0.659127356593539,0.5360555429793848,0.039865891783679254,0.1211943824540337
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Random forest,1,6,194,1,0.7055886102847428,0.4830004249893753,0.05370260310647133,0.12870805490929332
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Random forest,2,6,177,1,0.6210820895522388,0.5702170963364993,0.010852065785797052,0.03977440334780011
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Random forest,3,6,194,1,0.6790433403805497,0.6347780126849895,0.016481142752590293,0.13387056743604217
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Random forest,4,6,213,1,0.6691256830601093,0.5109289617486339,0.017647204682131473,0.16222870812320767
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Random forest,5,6,259,1,0.6354230455194938,0.4790773627270872,0.015409236382641538,0.02735055923000977
all,Faure,per-maze,"Codebook occupancy (binary), K=6",Random forest,6,6,258,1,0.6508583690987124,0.5562231759656653,0.04169115052997983,0.1421210412666644
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),pooled,12,1295,6,0.6674123449276937,0.49222236875016356,0.05958914283932624,0.1289622076375577
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),1,12,194,1,0.7535061623459414,0.49383765405864855,0.037299010617761814,0.14869381006266794
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),2,12,177,1,0.639365671641791,0.5225237449118046,0.028242718854425333,0.046321905362886225
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),3,12,194,1,0.703686575052854,0.5591966173361522,0.0421251745851641,0.13040725037279052
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),4,12,213,1,0.6003415300546449,0.34617486338797815,0.04787696362160426,0.08398112798054043
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),5,12,259,1,0.6511150234741784,0.5498571136966728,0.02175703887316174,0.12060437843317443
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Logistic (L2),6,12,258,1,0.6663733905579399,0.48257510729613734,0.03422930171111967,0.1368290959334827
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,pooled,12,1295,6,0.7305219188417013,0.5009957249802468,0.052718390340705336,0.0649006556173775
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,1,12,194,1,0.7401721206969826,0.4530386740331492,0.045122968736303774,0.026967004588080788
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,2,12,177,1,0.6565807327001356,0.5348710990502035,0.017689555189559125,0.08735369787402783
all,Faure,per-maze,"Codebook occupancy (binary), K=12",Random forest,3,12,194,1,0.7665829809725159,0.5211416490486258,0.05423353049300703,0.09655549948040049
