scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,4738,6,0.5646907590520197,0.5476250734307878,0.022006030039442067,0.03697941419403114
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,676,1,0.5574821188544293,0.5353453096945733,0.010479782080519279,0.024158638562757847
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,683,1,0.5721138587675219,0.5311557788944723,0.015493240879315332,0.023509605300418894
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),3,6,736,1,0.5748913751048994,0.5663553014438876,0.0208335322016519,0.054504426010886835
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,813,1,0.5854968392321458,0.5771201606777304,0.008774043680933237,0.02782090040068102
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),5,6,930,1,0.5310853229098892,0.5151161462394644,0.012596725301056204,0.035128701584236185
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,900,1,0.5720608953616897,0.5609784034224647,0.014599606857077002,0.014443372011049773
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,4738,6,0.9452161241367374,0.51191771577669,0.008441898552459942,0.04057614921527042
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,1,6,676,1,0.9416814654199739,0.4953837701009586,0.009090324066697918,0.02260605202355199
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,2,6,683,1,0.947004760645332,0.5554615181169003,0.0014582029622655134,0.052281936729727044
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,3,6,736,1,0.9417288220669318,0.47029481659255074,0.004028404276718248,0.032700634203444455
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,4,6,813,1,0.9584376730053688,0.5182500547179771,0.006110761246457557,0.029065130337306403
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,5,6,930,1,0.9451403340601269,0.533266945132884,0.0054853922223631274,0.017993970423244268
allplus,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,6,6,900,1,0.9375003579385033,0.49754883712939046,0.004539026711930574,0.026257050165457763
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,4738,6,0.5776598736967085,0.5431751606196619,0.01669903565559268,0.033869184817338104
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),1,12,676,1,0.5785764743973392,0.5380385192743542,0.013205311953305373,0.03469157293212774
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),2,12,683,1,0.5778751212201357,0.527885039231244,0.01195774560501432,0.011967284757028965
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),3,12,736,1,0.5840401794467581,0.5416813722030069,0.014557779021140062,0.03211138271000155
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,813,1,0.5876429104813894,0.5621885903361614,0.01597716464205408,0.0527369013290764
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),5,12,930,1,0.5571517971997755,0.5311784485027888,0.011181646632553794,0.03334897479440508
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),6,12,900,1,0.5837640526656396,0.5550795768880541,0.019105138106974992,0.030182355255502332
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,4738,6,0.9729317031453876,0.5265771900002088,0.006619837800975769,0.03000726928521922
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,1,12,676,1,0.9668683712214122,0.49983811308536835,0.0029327811214618898,0.029316794680832398
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,683,1,0.980560698227982,0.5359252402362691,0.007585980376836934,0.027128677047232427
allplus,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,3,12,736,1,0.9725575084507816,0.5369795220504615,0.005387670808501181,0.0375906725381846
