scope,monkey,regime,feature_set,model,maze,d,n_trials,n_groups,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),pooled,6,477,4,0.6614974496297376,0.5584461476461652,0.07822397658997032,0.15215927202527493
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,91,1,0.6077898550724637,0.5181159420289856,0.037302856846584964,0.10908849103799732
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,111,1,0.6331436420722135,0.49097331240188385,0.04301414221360708,0.21150280662783102
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),5,6,152,1,0.6268939393939394,0.5704545454545455,0.03250472758759405,0.08507990533301567
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,123,1,0.7695819805194806,0.6343344155844155,0.062379819959150345,0.18214437595937427
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,pooled,6,477,4,0.9786047140245547,0.49148265460011037,0.024538458781143132,0.03713528236216355
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,2,6,91,1,0.9575922266139658,0.4967061923583663,0.019340593612606573,0.054055086354810204
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,4,6,111,1,0.9961734693877551,0.4897959183673469,0.005660931588607093,0.014061105270939536
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,5,6,152,1,0.9774621212121213,0.5007575757575757,0.02769038437379734,0.04966729572963734
publication,Faure,per-maze,"Codebook occupancy (ms), K=6",Random forest,6,6,123,1,0.9797077922077921,0.47767857142857145,0.027719095247725766,0.02224527559724145
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),pooled,12,477,4,0.7203123864413123,0.5145146726111803,0.07265219306625033,0.1404231676879867
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),2,12,91,1,0.6222826086956521,0.44894598155467724,0.02602206637778961,0.0934383834073607
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),4,12,111,1,0.7475470957613815,0.5341444270015698,0.05512272052175951,0.14969498073622153
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),5,12,152,1,0.7329545454545454,0.5045454545454545,0.052495804357080296,0.09907532856954296
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Logistic (L2),6,12,123,1,0.752637987012987,0.5576298701298701,0.06542181429635222,0.2069686513105077
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,pooled,12,477,4,0.9863462182184349,0.48770171101561,0.018951144710432855,0.044549816205585444
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,2,12,91,1,0.9757081686429513,0.45750988142292487,0.02254582790794022,0.057365110889366834
publication,Faure,per-maze,"Codebook occupancy (ms), K=12",Random forest,4,12,111,1,0.9878335949764521,0.4846938775510204,0.024672499839626213,0.02251499961706046
