scope,monkey,space,feature_set,model,maze_a,maze_b,d,n_trials,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,1,6,303,nan,0.5200984663645869,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,2,6,304,nan,0.48881578947368415,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),3,3,6,355,nan,0.5004094458198438,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),4,4,6,338,nan,0.5118343195266272,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),5,5,6,399,nan,0.5152336683417085,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,6,427,nan,0.505306919398008,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,2,6,607,0.5432788344623936,0.5107423571304499,0.013731483608867693,0.032252359562725194
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,3,6,658,0.5690919444057082,0.5427415981034722,0.019923478404108706,0.07341810135390628
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,4,6,641,0.5903880328861288,0.5837873728201222,0.019125935495298417,0.04491163496258256
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,5,6,702,0.6393365840343432,0.6284647261718652,0.005214523898864469,0.031088844361241163
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,6,730,0.6434638780037254,0.6329909337537969,0.011378555575726423,0.06004038974114973
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,3,6,659,0.6062025111193476,0.5936990363232024,0.010782188136889838,0.054947861549285194
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,4,6,642,0.6130050996574277,0.5996476954219869,0.014975869680262571,0.035600893790736436
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,5,6,703,0.6798049812030076,0.6775532581453634,0.008296351823015847,0.040092798205807016
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,6,731,0.6768188401331197,0.6683024158757549,0.01077917748313985,0.03603464383939164
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),3,4,6,693,0.5852143928660721,0.5398033169430786,0.015821458643379496,0.02428060958271905
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),3,5,6,754,0.5844408556602775,0.5832291997599632,0.015073315005466378,0.04664428310796568
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),3,6,6,782,0.5889954480984266,0.5617376389484448,0.011711702198444127,0.03918293164276182
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),4,5,6,737,0.603125787842387,0.5988529014844804,0.006143761656510729,0.024464185838135047
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,6,765,0.6057189972700692,0.5964275321147956,0.014733269636807057,0.0443314503174652
all,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),5,6,6,826,0.5256327293643945,0.4833394962816878,0.017104074194024193,0.03249756869298002
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,1,6,303,nan,0.5009846636458697,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,2,2,6,304,nan,0.49144736842105263,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,3,6,355,nan,0.5014314733701517,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,4,4,6,338,nan,0.5,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,5,5,6,399,nan,0.5418668341708544,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,6,6,6,427,nan,0.5104997586766707,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,2,6,607,0.937415863296856,0.5486093017196456,0.009761100778394555,0.044656190234126834
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,3,6,658,0.9331729651838424,0.5067958908566913,0.009906033972954743,0.03100859926133828
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,4,6,641,0.933770041205304,0.5213056808639445,0.003818509931964344,0.03458761646908851
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,5,6,702,0.9138719323060125,0.6089108910891089,0.0066568374032426525,0.015788434076114386
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,6,6,730,0.9040276392978877,0.616752073333797,0.00729978453808013,0.027424713974705944
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,2,3,6,659,0.9228433098591549,0.5650389177168273,0.007782362262495092,0.07815065458531333
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,2,4,6,642,0.912772987387107,0.5961733104951729,0.008603679465542,0.026199781607865114
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,2,5,6,703,0.9038024749373434,0.618812656641604,0.00929621659901841,0.04426365073584519
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,2,6,6,731,0.903680820904721,0.6663533834586466,0.0067325692863791356,0.048722729778479544
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,4,6,693,0.930780690057505,0.5409909159096591,0.003529385552653981,0.050519844799042965
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,5,6,754,0.9208981961947121,0.544392671820396,0.011795240057011982,0.036656265673661245
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,6,6,782,0.9073110795923078,0.5703928488966586,0.010067726659537186,0.034784634980309245
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,4,5,6,737,0.9165832480609808,0.5744390562204327,0.014393538049756384,0.019849389254088266
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,4,6,6,765,0.9141743344927455,0.5785478707925114,0.005463266874231787,0.03374294589996059
all,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,5,6,6,826,0.9252845227823657,0.49303586835942315,0.005054201135612433,0.013699895271751696
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,1,12,303,nan,0.49702422446845584,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,2,12,304,nan,0.49868421052631573,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,3,12,355,nan,0.5143559956833619,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),4,4,12,338,nan,0.4988165680473372,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),5,5,12,399,nan,0.5031909547738694,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),6,6,12,427,nan,0.5058509938133474,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,2,12,607,0.5997169207052284,0.5519584853222165,0.008352450004098682,0.036592824875008
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,3,12,658,0.5745700274252777,0.5271324315530144,0.009584132934331085,0.07266772312535896
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,4,12,641,0.6180112094049641,0.5947673169683831,0.015347656471065618,0.06299499285964373
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,5,12,702,0.6386076577582571,0.6249162510235986,0.007263815870092381,0.02413899752773988
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,6,12,730,0.6269380743694979,0.5886528933923837,0.01404823269022397,0.041801986868369084
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,3,12,659,0.6202441623424759,0.5925268717568569,0.014782800874563504,0.04513255805927698
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,4,12,642,0.634386678604796,0.6093506695733417,0.003720323468665403,0.052720480298067064
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,5,12,703,0.7035166040100251,0.6788063909774436,0.01674269781877365,0.07562835168214752
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),2,6,12,731,0.7047745516455073,0.6788410575619377,0.0063479882082643395,0.02141028292704069
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,4,12,693,0.6053712809400784,0.5855112926077173,0.011614302117029804,0.028111550316160607
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,5,12,754,0.5991572240460306,0.5808782519679481,0.013616088964083032,0.04156350469179388
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),3,6,12,782,0.5902975228419698,0.5549328759441897,0.013635216695523308,0.05716234599302959
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),4,5,12,737,0.6267916462754519,0.614012842757782,0.008739813070920832,0.024157358458053134
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),4,6,12,765,0.637735924227097,0.6145462356055043,0.01206941326562942,0.042273950778531605
all,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),5,6,12,826,0.5334904885163729,0.46113233904433215,0.013382007717058848,0.025150051421563145
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,1,12,303,nan,0.5168089926803765,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,2,12,304,nan,0.488157894736842,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,3,3,12,355,nan,0.4867739478194629,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,4,4,12,338,nan,0.478698224852071,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,5,5,12,399,nan,0.519321608040201,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,6,6,12,427,nan,0.49369926725461805,nan,nan
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,2,12,607,0.962519812836547,0.5552099617856523,0.007803634685681781,0.03218429630894588
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,3,12,658,0.9716578347975642,0.5489332031794729,0.01163157754097418,0.04981160454021914
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,4,12,641,0.9564720155447497,0.5770109555334232,0.006264554638217816,0.04260543742521102
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,5,12,702,0.9357831459837713,0.6498920568748604,0.008042735919093862,0.042906221619953035
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,1,6,12,730,0.9370966370641747,0.6460801817886708,0.009340156910649799,0.03545242676298379
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,3,12,659,0.9612467568569311,0.596024833209785,0.004337748629625545,0.07257277428538596
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,4,12,642,0.9415923777639366,0.6136133603238867,0.008758155046069421,0.046965059792821555
all,Faure,deg,"Codebook occupancy (ms), K=12",Random forest,2,5,12,703,0.930235745614035,0.6846804511278195,0.0063177957371948965,0.06598731049791319
