scope,monkey,space,feature_set,model,maze_a,maze_b,d,n_trials,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,1,6,1105,nan,0.4888840841785256,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,2,6,1086,nan,0.489134438305709,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),3,3,6,1247,nan,0.5087665143844918,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),4,4,6,1281,nan,0.493535003900156,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),5,5,6,1489,nan,0.4943045031392076,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,6,1500,nan,0.5108,nan,nan
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,2,6,2191,0.5690032749181271,0.5690428572619017,0.006656191983216663,0.022733063221640138
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,3,6,2352,0.5562996440325559,0.5385116133925041,0.004758030678326367,0.021377534621208914
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,4,6,2386,0.594548853589355,0.5863737676659566,0.004973295139998764,0.024033594883116825
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,5,6,2594,0.6247423792578457,0.6200347039678609,0.00429836262449301,0.017267872787971098
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,6,2605,0.6086655354449472,0.6030754147812971,0.0010275570103510728,0.005601070581189125
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,3,6,2333,0.6193577292684764,0.614538612744251,0.004634622805206003,0.02347153155515942
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,4,6,2367,0.6099147226139798,0.6017527742914937,0.005050300218323659,0.03655730303747962
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,5,6,2575,0.6752947025887819,0.6719256128737816,0.007319551313895124,0.031243693582517464
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,6,2586,0.6612836095764272,0.6591915285451198,0.00464461713738887,0.012790153531638693
allplus,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),3,4,6,2528,0.5734235232473628,0.5604125936595996,0.004625711064050905,0.022750760632612797
