scope,monkey,space,feature_set,model,maze_a,maze_b,d,n_trials,train_bacc,cv_bacc,train_bacc_std,cv_bacc_std
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,1,6,130,nan,0.5076923076923077,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,2,6,159,nan,0.49545886075949364,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),3,3,6,167,nan,0.5054360298336202,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),4,4,6,176,nan,0.46590909090909094,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),5,5,6,213,nan,0.5031740433785928,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),6,6,6,209,nan,0.5022527472527473,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,2,6,289,0.5904329946782777,0.5602805999032414,0.021135187777951984,0.08077631645783528
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,3,6,297,0.5491305849838783,0.4813680331644404,0.022371683086109623,0.07238418313441997
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,4,6,306,0.5541630244755245,0.5093094405594406,0.024729038426808337,0.06096590811796223
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,5,6,343,0.591829180209462,0.5618093174431202,0.013647912830475128,0.03422936093619811
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),1,6,6,339,0.5950680898049319,0.5735737946264262,0.01919956135572184,0.06207819015398036
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,3,6,326,0.5988212254735812,0.5744925243851919,0.011466485294839708,0.060363277512425255
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,4,6,335,0.6167184819897085,0.5680210120068611,0.017373928595325477,0.05377094796420582
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,5,6,372,0.6737864292674285,0.6572769953051643,0.013237379405193653,0.049704888471121124
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),2,6,6,368,0.667253468147212,0.6627245644127471,0.02164128638260914,0.07248470358474587
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),3,4,6,343,0.5703635342950463,0.5294637996733805,0.015968992435222863,0.05398362740849495
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),3,5,6,380,0.5726188468134155,0.5611874841865565,0.018090826491322192,0.044773836037244705
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),3,6,6,376,0.5792589462223878,0.5744635131650575,0.01720495829022677,0.06313111577750145
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),4,5,6,389,0.6245065087494664,0.615303563807085,0.021401235068191575,0.04724149245036655
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),4,6,6,385,0.6344946172248804,0.59375,0.00479691923037953,0.02554287864912198
publication,Faure,deg,"Codebook occupancy (ms), K=6",Logistic (L2),5,6,6,422,0.5504077094143811,0.5054361255250803,0.01539683631141579,0.040968577192137166
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,1,6,130,nan,0.48923076923076925,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,2,2,6,159,nan,0.5573259493670886,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,3,6,167,nan,0.4946500286861733,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,4,4,6,176,nan,0.5011363636363637,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,5,5,6,213,nan,0.5323223417386704,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,6,6,6,209,nan,0.520521978021978,nan,nan
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,2,6,289,0.9375181422351233,0.5546686018384132,0.013025946097783837,0.0814541473836105
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,3,6,297,0.929036158452326,0.455366190695532,0.01302816995944107,0.0900921931306337
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,4,6,306,0.9472137237762237,0.4892482517482517,0.01026959550133557,0.06688438064764657
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,5,6,343,0.9167614662332972,0.4752437703141929,0.013739719050889325,0.0799321658415812
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,1,6,6,339,0.912661023187339,0.5430437983069561,0.009371633116873146,0.03655982941998899
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,2,3,6,326,0.9393241818250291,0.5610100553609761,0.014400130481939789,0.06499404205906713
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,2,4,6,335,0.9288566680960549,0.5813143224699828,0.0097215679581528,0.020418386039715745
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,2,5,6,372,0.9240743201346444,0.6297280538577377,0.005232041165189841,0.04237013254327236
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,2,6,6,368,0.9168434594204207,0.6882880442959887,0.012818312999197464,0.08135050297726407
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,4,6,343,0.9425906709308656,0.5354348121937942,0.0056259203191891686,0.03933048335937577
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,5,6,380,0.9396875263557392,0.48058811953557673,0.009065425027794321,0.09311363475179725
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,3,6,6,376,0.93147795318454,0.5337650058734206,0.011082114653214594,0.0651997702171067
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,4,5,6,389,0.9349291773367479,0.5812259923175416,0.010175364048385139,0.04042540524595634
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,4,6,6,385,0.9366776315789473,0.58747009569378,0.011353791893165344,0.07704106259266122
publication,Faure,deg,"Codebook occupancy (ms), K=6",Random forest,5,6,6,422,0.9313183727564751,0.4931149897791855,0.005657147277568155,0.01550329981440554
publication,Faure,deg,"Codebook occupancy (ms), K=12",Logistic (L2),1,1,12,130,nan,0.523076923076923,nan,nan
