label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
dendro,bigram,full,12,unith,Faure,top_four,1H,180,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,full,12,unith,Faure,top_four,1H,180,1,1,0.9777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.006481481591860453,0.043560816461707175,3,0.0,0.9777777777777777,,,,,,,,,,,
dendro,bigram,full,12,unith,Faure,top_four,1H,180,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,full,12,unith,Faure,top_four,1H,180,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,full,12,unith,Faure,top_four,1H,180,4,4,0.9944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0018518519070413377,0.024845200490442313,2,0.0,0.9944444444444445,,,,,,,,,,,
dendro,bigram,full,12,unith,Faure,top_four,1H,180,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,full,12,unith,Faure,top_four,1H,180,6,6,0.6055555555555555,0.0,0.0,0.0,0.0,0.25,0.3333333432674408,1.0,0.12527778007917934,0.1754613967324493,7,0.0,0.6055555555555555,,,,,,,,,,,
dendro,bigram,full,12,unith,Faure,top_four,1H,180,7,7,0.9888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.004166666666666667,0.041573452530518355,3,0.0,0.9888888888888889,,,,,,,,,,,
dendro,bigram,full,12,unith,Faure,top_four,1H,180,8,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,full,12,unith,Faure,top_four,1H,180,9,9,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.020277777976459927,0.08021686615607744,5,0.0,0.9333333333333333,,,,,,,,,,,
