scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
publication,dendro,bigram,full,12,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,bigram,full,12,unith,Faure,2,0.08610804887781742,0.015813140539317396,0.041360218206600366,0.07792207792207792,-0.05094196147770673,0.10873829319890307,1000,2
publication,dendro,bigram,full,12,unith,Faure,3,-0.05013683255537585,0.022956619201890346,0.09687109185499077,0.46253746253746253,-0.13928369860730974,0.22487321645028277,1000,1
publication,dendro,bigram,full,12,unith,Faure,4,-0.05049048689866137,-0.0042290819994412095,0.05076760082187084,0.34165834165834164,-0.09321029251869464,0.10583718593184005,1000,1
publication,dendro,bigram,full,12,unith,Faure,5,0.0418743517261394,-0.0013205700820096587,0.043714982347270503,0.3086913086913087,-0.08186109007824477,0.09246005776553624,1000,1
publication,dendro,bigram,full,12,unith,Faure,6,0.005256449330544949,-0.0017687507992772253,0.053575131213779936,0.8881118881118881,-0.0993522135045092,0.11384625322795265,1000,1
publication,dendro,bigram,full,12,unith,Nielsen,1,0.007811002234460518,0.00224651366310718,0.06299119110228471,0.9340659340659341,-0.09572486640901644,0.14186348265646812,1000,1
publication,dendro,bigram,full,12,unith,Nielsen,2,0.0510272072547035,-5.212201285483664e-05,0.0568751825209023,0.3726273726273726,-0.09664358969400713,0.12013354216251367,1000,1
publication,dendro,bigram,full,12,unith,Nielsen,3,-0.030307489685783895,0.0032259892553651525,0.06735234930637547,0.6133866133866134,-0.10967755060814517,0.1560547034506068,1000,1
publication,dendro,bigram,full,12,unith,Nielsen,4,0.09948431186474038,0.003775726103130611,0.04662112467863052,0.03696303696303696,-0.07412799666923588,0.10576431715585811,1000,2
publication,dendro,bigram,full,12,unith,Nielsen,5,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,bigram,full,12,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
