scope,label_source,feature,variant,k,space,dim,monkey,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,half_i,half_j,n_splits,min_trials,min_stable,seed,cell_i,cell_j,maze_i,strategy_i,maze_j,strategy_j,name_i,name_j,r,n_trials_i,n_trials_j,present_i,present_j,stable_i,stable_j,n_degenerate
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,0,1,0,1,0,1H,1H,0.440722229386272,43,43,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,1,1,0,2,0,1H,2H,0.3827475237748158,43,35,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,2,1,0,3,0,1H,3H,0.36237981116801316,43,48,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,3,1,0,4,0,1H,4H,0.36059868480293705,43,12,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,4,1,0,5,0,1H,5H,0.2835671236144553,43,18,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,5,1,0,6,0,1H,6H,0.31077517262839144,43,11,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,,20,4,8,0,0,6,1,0,1,1,1H,1S,,43,0,True,False,True,False,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,7,1,0,2,1,1H,2S,0.3377562953005358,43,15,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,2,20,4,8,0,0,8,1,0,3,1,1H,3S,0.12206773804228783,43,4,True,True,True,False,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,9,1,0,4,1,1H,4S,0.30617014081844196,43,50,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,10,1,0,5,1,1H,5S,0.28365806222624185,43,72,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,11,1,0,6,1,1H,6S,0.23669961472760326,43,58,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,0,2,0,1,0,2H,1H,0.3827475237748158,35,43,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,1,2,0,2,0,2H,2H,0.3868184826632989,35,35,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,2,2,0,3,0,2H,3H,0.31775363250197447,35,48,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,3,2,0,4,0,2H,4H,0.40164485047010495,35,12,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,4,2,0,5,0,2H,5H,0.19192777183115503,35,18,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,5,2,0,6,0,2H,6H,0.34607122825984027,35,11,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,,20,4,8,0,1,6,2,0,1,1,2H,1S,,35,0,True,False,True,False,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,7,2,0,2,1,2H,2S,0.2573327683142776,35,15,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,2,20,4,8,0,1,8,2,0,3,1,2H,3S,0.1954590222674349,35,4,True,True,True,False,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,9,2,0,4,1,2H,4S,0.2669802029138171,35,50,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,10,2,0,5,1,2H,5S,0.24973418091944882,35,72,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,11,2,0,6,1,2H,6S,0.21251518009415987,35,58,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,2,0,3,0,1,0,3H,1H,0.36237981116801316,48,43,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,2,1,3,0,2,0,3H,2H,0.31775363250197447,48,35,True,True,True,True,0
publication,dendro,bigram,full,12,unith,144,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,2,2,3,0,3,0,3H,3H,0.2916916718808766,48,48,True,True,True,True,0
