label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,1,1,0.0,-0.010303967230747436,-0.010303967230747436,-0.010303967230747436,-0.010303967230747436,-0.010303967230747436,-0.010303967230747436,0.32302937603669335,-0.0038224856388869815,0.043560816461707175,3,-0.010303967230747436,0.9777777777777777,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,2,2,0.0,-0.0017259145123881203,-0.0017259145123881203,-0.0017259145123881203,-0.0017259145123881203,-0.0017259145123881203,-0.0017259145123881203,-0.0017259145123881203,-0.0017259145123881205,2.1744529044049502e-19,1,-0.0017259145123881203,1.0,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,4,4,0.0,-0.0008371973286456266,-0.0008371973286456266,-0.0008371973286456266,-0.0008371973286456266,-0.0008371973286456266,-0.0008371973286456266,0.3324961459387952,0.0010146545783957114,0.024845200490442313,2,-0.0008371973286456266,0.9944444444444445,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,5,5,0.0,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,0.0,1,-0.00019319938176197836,1.0,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,6,6,0.0,-0.12291344841352017,-0.12291344841352017,-0.12291344841352017,-0.12291344841352017,0.12708655158647983,0.21041989485392062,0.8770865515864799,0.0023643316656591796,0.1754613967324493,7,-0.12291344841352017,0.6055555555555555,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,7,7,0.0,-0.0009659969088098918,-0.0009659969088098918,-0.0009659969088098918,-0.0009659969088098918,-0.0009659969088098918,-0.0009659969088098918,0.4990340030911901,0.0032006697578567745,0.041573452530518355,3,-0.0009659969088098918,0.9888888888888889,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,8,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,9,9,0.0,-0.015378671000140159,-0.015378671000140159,-0.015378671000140159,-0.015378671000140159,-0.015378671000140159,0.23462132899985985,0.4846213289998598,0.004899106976319768,0.08021686615607744,5,-0.015378671000140159,0.9333333333333333,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,10,10,0.0,-0.004520865574686383,-0.004520865574686383,-0.004520865574686383,-0.004520865574686383,-0.004520865574686383,-0.004520865574686383,0.4954791344253136,0.002608764126689579,0.05038740572578871,5,-0.004520865574686383,0.9777777777777777,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,11,11,0.0,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,-0.00019319938176197836,0.0,1,-0.00019319938176197836,1.0,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,12,12,0.0,-0.013485316987476173,-0.013485316987476173,-0.013485316987476173,-0.013485316987476173,-0.013485316987476173,-0.013485316987476173,0.4865146830125238,-0.0077445761749891,0.04698621098167757,4,-0.013485316987476173,0.9833333333333333,,,,,,,,,,,
dendro,bigram,mean_removed,12,unith,Faure,top_four,1H,180,13,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
