label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,0,0,0.0
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,1,1,-0.030113343869147383
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,2,2,-0.018057702520899648
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,3,3,-0.007998454480948736
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,4,4,0.0
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,5,5,0.0
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,6,6,-0.02226944901106715
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,7,7,0.0
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,8,8,-0.07114889265442557
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,9,9,0.14850593227000658
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,10,10,-0.04779752744635253
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,11,11,-0.003503348845326366
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,12,12,-0.00019319938176197836
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,13,13,0.13782844595737767
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,14,14,0.0
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,15,15,-0.008552292721717399
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,16,16,-0.0014167954739315617
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,17,17,0.0
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,18,18,-0.016898506184265454
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,19,19,-0.1359994853551642
dendro,bigram,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.09891810262405888,26,20,20,0.25126224388893825
