scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
publication,dendro,bigram,mean_removed,6,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,bigram,mean_removed,6,unith,Faure,2,0.024528951341008687,0.029903819677060923,0.10602252262061028,0.967032967032967,-0.141092429941299,0.2686920591131133,1000,2
publication,dendro,bigram,mean_removed,6,unith,Faure,3,0.10311320709049099,0.008777651319350585,0.19821219943541293,0.6333666333666333,-0.30826489156570264,0.47796324448285,1000,1
publication,dendro,bigram,mean_removed,6,unith,Faure,4,0.2231289192420203,0.012376646537775007,0.14217484279845097,0.13386613386613386,-0.2299465909058306,0.30681793574374044,1000,1
publication,dendro,bigram,mean_removed,6,unith,Faure,5,0.14730914251343813,0.004884139721992195,0.12105545156386684,0.22777222777222778,-0.21164561175686064,0.2623969460127769,1000,1
publication,dendro,bigram,mean_removed,6,unith,Faure,6,0.04307586192141505,-0.005211523987415262,0.1157071386212519,0.6673326673326674,-0.21542377270480575,0.2397695942609759,1000,1
publication,dendro,bigram,mean_removed,6,unith,Nielsen,1,0.10930630631028052,-0.00836103928150741,0.1474010494334235,0.3706293706293706,-0.25416860912786104,0.31043390139540517,1000,1
publication,dendro,bigram,mean_removed,6,unith,Nielsen,2,-0.09597086622203116,0.00500599661143194,0.10027778768602941,0.26073926073926074,-0.1639355936571892,0.22650707068567397,1000,1
publication,dendro,bigram,mean_removed,6,unith,Nielsen,3,0.033048467093609354,-0.004211141003819701,0.16240965914533265,0.8331668331668332,-0.2849015924650049,0.33132631181782773,1000,1
publication,dendro,bigram,mean_removed,6,unith,Nielsen,4,0.002917687556405632,-0.004875365943346002,0.11157742617777999,0.9340659340659341,-0.19433707590203833,0.24166908284028776,1000,2
publication,dendro,bigram,mean_removed,6,unith,Nielsen,5,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,bigram,mean_removed,6,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
