label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,1,2,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.007870370480749343,0.04718752224739917,3,0.0,0.9722222222222222,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,2,3,0.9777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.008796296351485782,0.06070735960939647,4,0.0,0.9777777777777777,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,3,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,4,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,5,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,6,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,7,15,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.011111111276679568,0.06731528130182114,3,0.0,0.9722222222222222,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,8,16,0.9888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.004166666666666667,0.041573452530518355,3,0.0,0.9888888888888889,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,9,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,10,18,0.95,0.0,0.0,0.0,0.0,0.0,0.012499999999995737,0.5,0.016203703979651134,0.07268954358307106,4,0.0,0.95,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,11,20,0.6722222222222223,0.0,0.0,0.0,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.10648148440652423,0.15359734900163333,3,0.0,0.6722222222222223,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,12,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,13,22,0.9944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0018518519070413377,0.024845200490442317,2,0.0,0.9944444444444445,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,14,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,15,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,16,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,17,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,18,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,19,29,0.9944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0018518519070413377,0.024845200490442313,2,0.0,0.9944444444444445,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,20,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,21,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,22,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,23,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,24,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,bigram,no_origin,6,unith,Faure,top_four,1H,180,__vector__,__vector__,0.9808888888888889,,,,,,,,,,,,,0.4777777777777778,,,,,,,,,,
