label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,0,0,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,1,1,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,2,2,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,3,3,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,4,4,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,5,5,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,6,7,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,7,8,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,8,9,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,9,10,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,10,11,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,11,12,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,12,13,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,13,14,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,14,15,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,15,16,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,16,17,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,17,19,0.0
dendro,bigram,no_origin,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.3333333432674408,1,18,20,0.0
