scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
publication,dendro,bigram,no_origin,6,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,bigram,no_origin,6,unith,Faure,2,-0.09215815736518701,0.008774762576999742,0.0919651873839871,0.25374625374625376,-0.1430346148523675,0.22567504773880795,1000,2
publication,dendro,bigram,no_origin,6,unith,Faure,3,0.33776289924227165,-0.018829471107365166,0.22750863182935918,0.11428571428571428,-0.35405776783547777,0.4358581373035857,524,1
publication,dendro,bigram,no_origin,6,unith,Faure,4,0.1948110370027571,0.0027010083769379587,0.12485885412124453,0.11414141414141414,-0.21024192288471272,0.3070394619018732,989,1
publication,dendro,bigram,no_origin,6,unith,Faure,5,0.09363851120141078,0.015595594301998061,0.12182580547693753,0.4994974874371859,-0.19401655085291064,0.24574727165284993,994,1
publication,dendro,bigram,no_origin,6,unith,Faure,6,0.025598162564835103,-0.022959646868200116,0.14632768270847749,0.7223360655737705,-0.27208543832615717,0.3040079974700627,975,1
publication,dendro,bigram,no_origin,6,unith,Nielsen,1,0.19049509748248356,-0.0058712425906961895,0.10993217926476154,0.06893106893106893,-0.18913493583977142,0.25392974718776673,1000,1
publication,dendro,bigram,no_origin,6,unith,Nielsen,2,-0.05937361984222522,0.004398445503215365,0.1064943636039541,0.5524475524475524,-0.1629541630818503,0.23949592012128992,1000,1
publication,dendro,bigram,no_origin,6,unith,Nielsen,3,-0.008277768025656829,0.007527001902762109,0.14838604096838454,0.9136546184738956,-0.2506868553392012,0.31205294029476427,995,1
publication,dendro,bigram,no_origin,6,unith,Nielsen,4,-0.13629796776732322,-0.00016564570175568993,0.10114820667368815,0.15884115884115885,-0.1771893344029076,0.2234874416916395,1000,2
publication,dendro,bigram,no_origin,6,unith,Nielsen,5,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,bigram,no_origin,6,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
