scope,label_source,feature,variant,k,space,dim,monkey,session,snr_auc,svm_auc,oof_balanced_acc,dendro_agreement_2345,half_i,half_j,n_splits,min_trials,min_stable,seed,cell_i,cell_j,maze_i,strategy_i,maze_j,strategy_j,name_i,name_j,r,n_trials_i,n_trials_j,present_i,present_j,stable_i,stable_j,n_degenerate
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,0,1,0,1,0,1H,1H,0.38538785957426125,43,43,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,1,1,0,2,0,1H,2H,0.23753481376800914,43,35,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,2,1,0,3,0,1H,3H,0.39585267489879716,43,48,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,3,1,0,4,0,1H,4H,0.7072036322208679,43,12,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,4,1,0,5,0,1H,5H,0.5167564366870109,43,18,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,5,1,0,6,0,1H,6H,0.6012139616825836,43,11,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,,20,4,8,0,0,6,1,0,1,1,1H,1S,,43,0,True,False,True,False,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,7,1,0,2,1,1H,2S,0.26804011116616927,43,15,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,2,20,4,8,0,0,8,1,0,3,1,1H,3S,0.04378894113390999,43,4,True,True,True,False,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,9,1,0,4,1,1H,4S,0.4541378413959158,43,50,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,10,1,0,5,1,1H,5S,0.2655502791058559,43,72,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,0,11,1,0,6,1,1H,6S,0.4200344457705523,43,58,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,0,2,0,1,0,2H,1H,0.23753481376800914,35,43,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,1,2,0,2,0,2H,2H,0.25479454179392774,35,35,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,2,2,0,3,0,2H,3H,0.34997630694755194,35,48,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,3,2,0,4,0,2H,4H,0.42273142537584857,35,12,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,4,2,0,5,0,2H,5H,0.259654205332976,35,18,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,5,2,0,6,0,2H,6H,0.48052644860421884,35,11,True,True,True,True,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,,20,4,8,0,1,6,2,0,1,1,2H,1S,,35,0,True,False,True,False,744
publication,dendro,bigram,no_origin,6,unith,25,Faure,june_24_g0,0.999341238471673,,,,5,5,20,4,8,0,1,7,2,0,2,1,2H,2S,0.2564721861469462,35,15,True,True,True,True,744
