label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,914.366584777832,3,0,0,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,914.366584777832,3,1,1,556.3853149414062
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,914.366584777832,3,2,2,241.37271118164062
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,914.366584777832,3,3,3,116.60855865478516
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,914.366584777832,3,4,4,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,914.366584777832,3,5,5,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,752.9474029541016,2,0,0,238.31336975097656
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,752.9474029541016,2,1,1,514.634033203125
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,752.9474029541016,2,2,2,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,752.9474029541016,2,3,3,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,752.9474029541016,2,4,4,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,752.9474029541016,2,5,5,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,994.4833526611328,3,0,0,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,994.4833526611328,3,1,1,469.2881164550781
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,994.4833526611328,3,2,2,187.39793395996094
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,994.4833526611328,3,3,3,337.79730224609375
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,994.4833526611328,3,4,4,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,994.4833526611328,3,5,5,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,988.3557739257812,3,0,0,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,988.3557739257812,3,1,1,471.7383117675781
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,988.3557739257812,3,2,2,220.45993041992188
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,988.3557739257812,3,3,3,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,988.3557739257812,3,4,4,296.15753173828125
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,988.3557739257812,3,5,5,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,988.5356903076172,2,0,0,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,988.5356903076172,2,1,1,753.0921630859375
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,988.5356903076172,2,2,2,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,988.5356903076172,2,3,3,235.4435272216797
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,988.5356903076172,2,4,4,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,988.5356903076172,2,5,5,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,591.9825439453125,1,0,0,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,591.9825439453125,1,1,1,591.9825439453125
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,591.9825439453125,1,2,2,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,591.9825439453125,1,3,3,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,591.9825439453125,1,4,4,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,591.9825439453125,1,5,5,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,859.7610473632812,2,0,0,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,859.7610473632812,2,1,1,541.5748901367188
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,859.7610473632812,2,2,2,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,859.7610473632812,2,3,3,318.1861572265625
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,859.7610473632812,2,4,4,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,859.7610473632812,2,5,5,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,1272.8187866210938,3,0,0,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,1272.8187866210938,3,1,1,792.0428466796875
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,1272.8187866210938,3,2,2,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,1272.8187866210938,3,3,3,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,1272.8187866210938,3,4,4,238.4113006591797
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,1272.8187866210938,3,5,5,242.36463928222656
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,858.8097686767578,3,0,0,222.44679260253906
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,858.8097686767578,3,1,1,256.2882385253906
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,858.8097686767578,3,2,2,380.0747375488281
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,858.8097686767578,3,3,3,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,858.8097686767578,3,4,4,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,858.8097686767578,3,5,5,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,839.9024353027344,3,0,0,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,839.9024353027344,3,1,1,425.9278869628906
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,839.9024353027344,3,2,2,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,839.9024353027344,3,3,3,147.679931640625
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,839.9024353027344,3,4,4,266.29461669921875
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,839.9024353027344,3,5,5,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,22,2,1,S,2S,,,1,782.5650329589844,2,0,0,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,22,2,1,S,2S,,,1,782.5650329589844,2,1,1,512.4449462890625
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,22,2,1,S,2S,,,1,782.5650329589844,2,2,2,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,22,2,1,S,2S,,,1,782.5650329589844,2,3,3,270.1200866699219
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,22,2,1,S,2S,,,1,782.5650329589844,2,4,4,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_16_g0,22,2,1,S,2S,,,1,782.5650329589844,2,5,5,0.0
dendro,occupancy,full,6,unith,Faure,top_four,trial,june_24_g0,327,2,1,S,2S,,,1,428.79437255859375,2,0,0,0.0
