scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
publication,dendro,occupancy,full,6,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,occupancy,full,6,unith,Faure,2,-0.004215810657943075,0.002990850485216037,0.021256846082394684,0.7442557442557443,-0.027257780208212627,0.054457384446778556,1000,2
publication,dendro,occupancy,full,6,unith,Faure,3,0.010170482675811554,-0.0017896263051428072,0.07073352615866683,0.8261738261738262,-0.10966164170921423,0.17935644665178654,1000,1
publication,dendro,occupancy,full,6,unith,Faure,4,0.016418648885148657,0.0002505953001264861,0.017071500904644734,0.2887112887112887,-0.025557421664906377,0.04323584023458243,1000,1
publication,dendro,occupancy,full,6,unith,Faure,5,0.0062488300399808905,-0.0008817195915501732,0.012435928880317552,0.4835164835164835,-0.020682044709121803,0.025929479935648606,1000,1
publication,dendro,occupancy,full,6,unith,Faure,6,-0.01655356238293637,-0.002698121223353675,0.031515633372937946,0.5834165834165834,-0.048053081984364567,0.0676197414289188,1000,1
publication,dendro,occupancy,full,6,unith,Nielsen,1,-0.0009121863005231434,-9.489327800867653e-05,0.031689500290166796,0.9790209790209791,-0.04546405043002032,0.07115020947246568,1000,1
publication,dendro,occupancy,full,6,unith,Nielsen,2,-0.005879874691140263,0.000303764831953058,0.02237465290528931,0.7562437562437563,-0.03258070850122074,0.05690054980239789,1000,1
publication,dendro,occupancy,full,6,unith,Nielsen,3,-0.01174854119873503,1.2180683037258833e-05,0.01647893327978603,0.3946053946053946,-0.024415745364743564,0.04165483156703702,1000,1
publication,dendro,occupancy,full,6,unith,Nielsen,4,-0.007209522812334557,-0.0006777650276859765,0.007143222857323125,0.3176823176823177,-0.012318929431885797,0.016043569504232514,1000,2
publication,dendro,occupancy,full,6,unith,Nielsen,5,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,occupancy,full,6,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
