scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
top_four,dendro,occupancy,full,6,unith,Faure,1,0.0700985195039644,-0.0006662952992987942,0.02365880502569433,0.015984015984015984,-0.03416659912988824,0.057666907604546604,1000,1
top_four,dendro,occupancy,full,6,unith,Faure,2,0.011654561971124244,0.0013540026427267427,0.01661646840950738,0.5364635364635365,-0.023570412058281764,0.039228059254518895,1000,3
top_four,dendro,occupancy,full,6,unith,Faure,3,0.012458676778450362,0.0006598913939909872,0.02660955580786658,0.5724275724275725,-0.042397928385427594,0.06664797782191512,1000,3
top_four,dendro,occupancy,full,6,unith,Faure,4,0.005477364581208177,-5.212057969664874e-05,0.01098221777169996,0.5894105894105894,-0.018044185775757796,0.023141510912004757,1000,2
top_four,dendro,occupancy,full,6,unith,Faure,5,-0.009704978747291926,0.0007851546513234898,0.012922171578372157,0.35564435564435565,-0.019990844927730848,0.02971191120529745,1000,3
top_four,dendro,occupancy,full,6,unith,Faure,6,-0.013245015961359519,-0.0016420552090756673,0.017013703541630357,0.44155844155844154,-0.030216436168600713,0.03587292265854281,1000,2
top_four,dendro,occupancy,full,6,unith,Nielsen,1,-0.00667176249995971,0.0015680807360611117,0.052996152549491894,0.8751248751248751,-0.07713301946824724,0.13373501056533607,1000,2
top_four,dendro,occupancy,full,6,unith,Nielsen,2,0.06868547840085826,-0.000814007314619688,0.020669120449257294,0.006993006993006993,-0.034122239733488345,0.047976854991425816,1000,3
top_four,dendro,occupancy,full,6,unith,Nielsen,3,0.040765386722835695,0.0003055026275495356,0.03026885194737443,0.15084915084915085,-0.046464510879087706,0.07370982951479854,1000,3
top_four,dendro,occupancy,full,6,unith,Nielsen,4,-0.00047035819952090385,-0.0003747169225074224,0.010665187044601643,0.998001998001998,-0.019688039516330292,0.023626164097804703,1000,4
top_four,dendro,occupancy,full,6,unith,Nielsen,5,0.00048188630946011113,0.002642538488597392,0.029699290184062622,0.9310689310689311,-0.044898266785276655,0.07700644537651272,1000,1
top_four,dendro,occupancy,full,6,unith,Nielsen,6,-0.02040210890084948,0.006402613472537435,0.06380787057679714,0.5134865134865135,-0.08349812126610934,0.15773216093105435,1000,1
