label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,0,0,0.0,-93.20175787912454,-93.20175787912454,-93.20175787912454,-40.33637091623392,80.3388762761489,164.93764641775044,536.1988158513442,-3.0533026407822637,108.91354514026561,95,-93.20175787912454,0.4777777777777778,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,1,1,0.0,-122.75614078704504,-122.75614078704504,-122.75614078704504,-122.75614078704504,67.53363506134363,257.4439980679353,623.0470818692049,-30.34571644859833,139.2969642629972,68,-122.75614078704504,0.6277777777777778,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,2,2,0.0,-168.380212910577,-168.380212910577,-168.380212910577,80.48932444293862,174.71833597858316,378.2386347456729,806.6758783980167,63.38417008757158,191.3368359705804,129,-168.380212910577,0.28888888888888886,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,3,3,0.0,-13.065855629108789,-13.065855629108789,-13.065855629108789,-13.065855629108789,-13.065855629108789,32.157964103557106,191.42277657303964,-6.073081852524591,31.288545260774573,12,-13.065855629108789,0.9388888888888889,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,4,4,0.0,-23.16305379263216,-23.16305379263216,-23.16305379263216,-23.16305379263216,-23.16305379263216,-23.16305379263216,659.0301224768991,-15.176368357654944,62.217069246535125,5,-23.16305379263216,0.9777777777777777,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,5,5,0.0,-27.707886312623298,-27.707886312623298,-27.707886312623298,-27.707886312623298,-27.707886312623298,162.36443882165383,531.1728509920642,-9.65863270052884,69.19835032017431,16,-27.707886312623298,0.9166666666666666,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,6,6,0.0,-254.33733978595762,-254.33733978595762,-197.46211281147032,-47.59422149982481,97.10087737712831,335.1765365568155,549.8369766202924,-25.006480856005638,192.01885404168715,148,-254.33733978595762,0.18333333333333332,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,7,7,0.0,-39.960357471448376,-39.960357471448376,-39.960357471448376,-39.960357471448376,-39.960357471448376,229.57757740403989,614.2982484855829,-3.9270609287508984,109.298266725599,23,-39.960357471448376,0.8777777777777778,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,8,8,0.0,-4.389407690009894,-4.389407690009894,-4.389407690009894,-4.389407690009894,-4.389407690009894,-4.389407690009894,807.7871059818651,2.266997271470142,66.87907305817865,3,-4.389407690009894,0.9888888888888889,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,9,9,0.0,-138.31187801567444,-138.31187801567444,-138.31187801567444,24.16576022895447,137.71536655219666,341.0089105585441,568.2209588983881,26.869218463953377,167.70366321550455,112,-138.31187801567444,0.38333333333333336,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,10,10,0.0,-34.41693281058735,-34.41693281058735,-34.41693281058735,-34.41693281058735,-34.41693281058735,186.23111635323093,409.446195851522,-6.302876837958227,76.52618077443331,28,-34.41693281058735,0.85,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,11,11,0.0,-10.096205696624803,-10.096205696624803,-10.096205696624803,-10.096205696624803,-10.096205696624803,-10.096205696624803,535.474778190094,-3.556823016367643,50.28142635621231,5,-10.096205696624803,0.9777777777777777,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1H,180,__vector__,__vector__,0.0,,,,,,,,,,,,,12.0,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,0,0,0.0,-93.20175787912454,-93.20175787912454,-93.20175787912454,5.555390863551239,92.35180047048483,123.68368828786764,127.25817254079733,-0.6594165001056157,94.26178495946412,8,-93.20175787912454,0.46153846153846156,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,1,1,0.0,-122.75614078704504,-122.75614078704504,29.06534663971277,59.839592855533084,141.59038631256433,381.3316399746735,435.8259514981112,101.13580908665911,173.38715297006723,12,-122.75614078704504,0.15384615384615385,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,2,2,0.0,-168.380212910577,-168.380212910577,-168.380212910577,33.14255320270425,89.05588328082925,218.82827707965708,334.3256586714542,-12.518962253275323,166.08905787267733,8,-168.380212910577,0.46153846153846156,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,3,3,0.0,-13.065855629108789,-13.065855629108789,-13.065855629108789,-13.065855629108789,-13.065855629108789,157.99528023514887,220.39111458573495,14.851135384638203,71.37424994784476,3,-13.065855629108789,0.8461538461538461,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,4,4,0.0,-23.16305379263216,-23.16305379263216,-23.16305379263216,-23.16305379263216,-23.16305379263216,42.281416422211365,140.44812174447722,-10.577578751316052,45.3775755875375,2,-23.16305379263216,0.9230769230769231,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,5,5,0.0,-27.707886312623298,-27.707886312623298,-27.707886312623298,-27.707886312623298,-27.707886312623298,-27.707886312623298,-27.707886312623298,-27.7078863126233,3.697781635498623e-15,1,-27.707886312623298,1.0,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,6,6,0.0,-254.33733978595762,-254.33733978595762,-203.45035019245176,-59.827268985176374,21.892091366386126,261.72359161052657,328.2075210538861,-39.25391382394966,189.78797223980342,12,-254.33733978595762,0.15384615384615385,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,7,7,0.0,-39.960357471448376,-39.960357471448376,-39.960357471448376,-39.960357471448376,150.61700458909849,398.9539491691766,402.124695018786,76.29120596755403,172.18914505464812,6,-39.960357471448376,0.6153846153846154,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,8,8,0.0,-4.389407690009894,-4.389407690009894,-4.389407690009894,-4.389407690009894,-4.389407690009894,-4.389407690009894,-4.389407690009894,-4.389407690009895,9.244454088746557e-16,1,-4.389407690009894,1.0,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,9,9,0.0,-138.31187801567444,-138.31187801567444,-138.31187801567444,-138.31187801567444,-87.43490200249084,110.66006412299743,116.05739993842712,-82.1476858159674,99.46461210516064,5,-138.31187801567444,0.6923076923076923,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,10,10,0.0,-34.41693281058735,-34.41693281058735,-34.41693281058735,-34.41693281058735,-34.41693281058735,-34.41693281058735,-34.41693281058735,-34.41693281058735,0.0,1,-34.41693281058735,1.0,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,11,11,0.0,-10.096205696624803,-10.096205696624803,-10.096205696624803,-10.096205696624803,-10.096205696624803,-10.096205696624803,-10.096205696624803,-10.096205696624803,0.0,1,-10.096205696624803,1.0,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,1S,13,__vector__,__vector__,0.0,,,,,,,,,,,,,12.0,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,2H,110,0,0,0.0,-93.20175787912454,-93.20175787912454,-93.20175787912454,45.63701012624655,114.95068886770163,297.3469985295668,685.9543090154067,44.431913066476476,134.82884983041507,73,-93.20175787912454,0.34545454545454546,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,2H,110,1,1,0.0,-122.75614078704504,-122.75614078704504,-122.75614078704504,-122.75614078704504,3.8812226467928497,234.36462489899003,426.4973382168612,-48.84486100466314,122.49106716287417,40,-122.75614078704504,0.6454545454545455,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,2H,110,2,2,0.0,-168.380212910577,-168.380212910577,-168.380212910577,48.242009989813624,158.0632685347355,291.1462687178408,470.5710199995792,25.955118538064678,169.85521848629264,72,-168.380212910577,0.35454545454545455,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,2H,110,3,3,0.0,-13.065855629108789,-13.065855629108789,-13.065855629108789,-13.065855629108789,-13.065855629108789,49.972968643046904,243.5332654646412,-3.8760668454284835,39.709767361865225,8,-13.065855629108789,0.9363636363636364,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,2H,110,4,4,0.0,-23.16305379263216,-23.16305379263216,-23.16305379263216,-23.16305379263216,-23.16305379263216,-23.16305379263216,-23.16305379263216,-23.16305379263216,0.0,1,-23.16305379263216,1.0,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,2H,110,5,5,0.0,-27.707886312623298,-27.707886312623298,-27.707886312623298,-27.707886312623298,-27.707886312623298,239.26847477136104,477.01486149011106,12.420818174570417,97.66730415673449,20,-27.707886312623298,0.8272727272727273,,,,,,,,,,,
dendro,occupancy,mean_removed,12,unith,Faure,top_four,2H,110,6,6,0.0,-254.33733978595762,-254.33733978595762,-204.44214287128477,-118.98109283771544,72.4998260465619,341.7966140714642,485.9472061124799,-57.85957797981639,199.50628570264652,86,-254.33733978595762,0.22727272727272727,,,,,,,,,,,
