label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,0,0,148.17095330251607
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,1,1,-122.75614078704504
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,2,2,-168.380212910577
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,3,3,-13.065855629108789
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,4,4,-23.16305379263216
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,5,5,-27.707886312623298
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,6,6,302.0479751554486
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,7,7,-39.960357471448376
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,8,8,-4.389407690009894
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,9,9,-138.31187801567444
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,10,10,82.1916258441978
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,-15.42044400358132,12,11,11,-10.096205696624803
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,0,0,-93.20175787912454
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,1,1,97.65206233795496
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,2,2,-168.380212910577
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,3,3,38.79793297562754
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,4,4,-23.16305379263216
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,5,5,210.60548343835328
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,6,6,-254.33733978595762
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,7,7,-39.960357471448376
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,8,8,-4.389407690009894
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,9,9,155.91392154487244
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,10,10,-34.41693281058735
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-124.97586774015359,12,11,11,-10.096205696624803
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,0,0,-93.20175787912454
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,1,1,-122.75614078704504
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,2,2,169.41708933551675
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,3,3,-13.065855629108789
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,4,4,-23.16305379263216
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,5,5,-27.707886312623298
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,6,6,26.6014114347455
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,7,7,-39.960357471448376
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,8,8,-4.389407690009894
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,9,9,237.43543643745056
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,10,10,-34.41693281058735
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,64.69633913850855,12,11,11,-10.096205696624803
dendro,occupancy,mean_removed,12,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,58.568745144367895,12,0,0,127.25817254079733
