scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
publication,dendro,occupancy,mean_removed,12,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,occupancy,mean_removed,12,unith,Faure,2,0.12030209795494631,0.046469747020017924,0.10996257997225681,0.4935064935064935,-0.12119401005010058,0.3024014216533956,1000,2
publication,dendro,occupancy,mean_removed,12,unith,Faure,3,-0.08266435940995702,-0.02271962459898912,0.21481731713284752,0.8031968031968032,-0.39776994686760875,0.43230006828637285,1000,1
publication,dendro,occupancy,mean_removed,12,unith,Faure,4,-0.06734388327123655,0.005267182182371654,0.14607347073039548,0.6203796203796204,-0.2645050990413302,0.32004415610118675,1000,1
publication,dendro,occupancy,mean_removed,12,unith,Faure,5,0.08723917576686518,-0.015793617409930752,0.09737255131243161,0.25074925074925075,-0.18374120613794398,0.19769247832426212,1000,1
publication,dendro,occupancy,mean_removed,12,unith,Faure,6,-0.04631496902024164,-0.0034565831904964047,0.13956976016136244,0.7622377622377622,-0.25273725126440844,0.3002114776266012,1000,1
publication,dendro,occupancy,mean_removed,12,unith,Nielsen,1,0.09370630590256979,6.706757758261261e-05,0.15941648282315177,0.5584415584415584,-0.27429680482171925,0.3511835759559348,1000,1
publication,dendro,occupancy,mean_removed,12,unith,Nielsen,2,-0.08408934685744703,-0.003247277552676298,0.1324455524997111,0.5494505494505495,-0.20801589682972157,0.29311353424171727,1000,1
publication,dendro,occupancy,mean_removed,12,unith,Nielsen,3,0.024987806204711888,0.011024262093811849,0.1491146859639703,0.9180819180819181,-0.2616280106165185,0.3110617431615237,1000,1
publication,dendro,occupancy,mean_removed,12,unith,Nielsen,4,0.16094041273182275,0.006191564880970527,0.12637498106960018,0.24175824175824176,-0.20717610643855097,0.28215952529116495,1000,2
publication,dendro,occupancy,mean_removed,12,unith,Nielsen,5,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,occupancy,mean_removed,12,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
