label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
dendro,occupancy,no_origin,6,unith,Faure,top_four,1H,180,0,0,0.8944444444444445,0.0,0.0,0.0,0.0,0.0,236.04468612670894,601.9686889648438,25.507337464226616,89.48539586395357,20,0.0,0.8944444444444445,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1H,180,1,2,0.4222222222222222,0.0,0.0,0.0,79.03531265258789,179.0829315185547,265.37019042968745,629.4005737304688,101.71961761050754,111.01781866638304,105,0.0,0.4222222222222222,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1H,180,2,3,0.26666666666666666,0.0,0.0,0.0,251.1292724609375,346.3885498046875,537.2611968994139,975.0560913085938,240.35994256337483,187.30315632648228,133,0.0,0.26666666666666666,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1H,180,3,4,0.8555555555555555,0.0,0.0,0.0,0.0,0.0,364.14725341796833,682.1931762695312,48.14087100558811,133.9421387840289,27,0.0,0.8555555555555555,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1H,180,4,5,0.9888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,165.5469512939453,1.196932898627387,12.867616281613529,3,0.0,0.9888888888888889,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1H,180,__vector__,__vector__,0.6855555555555556,,,,,,,,,,,,,1.5722222222222222,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1S,13,0,0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,93.38278808593716,233.45697021484375,17.958228478064903,64.74931359416065,2,0.0,0.9230769230769231,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1S,13,1,2,0.46153846153846156,0.0,0.0,0.0,98.75714874267578,185.55355834960938,216.88544616699218,220.45993041992188,92.54234137901894,94.26178495946412,8,0.0,0.46153846153846156,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1S,13,2,3,0.46153846153846156,0.0,0.0,0.0,201.52276611328125,257.43609619140625,387.2084899902341,502.70587158203125,155.8612506573017,166.08905787267733,8,0.0,0.46153846153846156,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1S,13,3,4,0.6153846153846154,0.0,0.0,0.0,0.0,190.57736206054688,504.3587768554685,605.6962280273438,128.8370384803185,201.4776068690803,6,0.0,0.6153846153846154,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1S,13,4,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,1S,13,__vector__,__vector__,0.6923076923076923,,,,,,,,,,,,,1.5384615384615385,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2H,110,0,0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,317.24041290283185,504.7227478027344,46.35133646184748,113.40077420450685,21,0.0,0.8181818181818182,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2H,110,1,2,0.33636363636363636,0.0,0.0,0.0,145.302001953125,214.1315155029297,390.54875640869136,779.1560668945312,146.7308801130815,143.56846219999932,74,0.0,0.33636363636363636,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2H,110,2,3,0.3090909090909091,0.0,0.0,0.0,226.17169189453125,330.72547912597656,466.3792861938476,689.8011474609375,206.37075053128328,169.3894303878504,77,0.0,0.3090909090909091,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2H,110,3,4,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,282.2556144714353,495.63885498046875,29.702089621803978,99.89031828107393,11,0.0,0.9090909090909091,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2H,110,4,5,0.9636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,242.36463928222656,5.739421601728959,32.80061156042395,5,0.0,0.9636363636363636,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2H,110,__vector__,__vector__,0.6672727272727272,,,,,,,,,,,,,1.6636363636363636,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2S,67,0,0,0.9104477611940298,0.0,0.0,0.0,0.0,0.0,154.07126464843748,644.472900390625,26.533762689846665,102.54716346787458,7,0.0,0.9104477611940298,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2S,67,1,2,0.34328358208955223,0.0,0.0,0.0,137.64364624023438,199.50811767578125,409.1321319580078,720.9439086914062,141.53937650082716,147.75506107119836,45,0.0,0.34328358208955223,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2S,67,2,3,0.2835820895522388,0.0,0.0,0.0,203.4881134033203,281.1811828613281,564.4716735839843,780.9310302734375,212.36114951745787,187.8663049894441,49,0.0,0.2835820895522388,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2S,67,3,4,0.9253731343283582,0.0,0.0,0.0,0.0,0.0,127.8718223571777,615.2765502929688,21.53680294663159,90.90488659194291,6,0.0,0.9253731343283582,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2S,67,4,5,0.9850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,139.6973114013672,2.0850344985278686,17.066742911974767,2,0.0,0.9850746268656716,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,2S,67,__vector__,__vector__,0.6895522388059702,,,,,,,,,,,,,1.5522388059701493,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,3H,172,0,0,0.8488372093023255,0.0,0.0,0.0,0.0,0.0,297.0524276733398,521.55419921875,38.866614386092785,102.89415188114337,27,0.0,0.8488372093023255,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,3H,172,1,2,0.45348837209302323,0.0,0.0,0.0,56.86277198791504,181.50314331054688,259.2660980224609,459.60015869140625,94.60647146091905,104.787088711912,95,0.0,0.45348837209302323,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,3H,172,2,3,0.3546511627906977,0.0,0.0,0.0,211.38056182861328,328.66197204589844,498.72206115722656,610.1476440429688,197.5951371747394,177.0707006587773,112,0.0,0.3546511627906977,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,3H,172,3,4,0.8372093023255814,0.0,0.0,0.0,0.0,0.0,321.64985656738213,602.206787109375,48.26509333765784,119.41769755550952,29,0.0,0.8372093023255814,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,3H,172,4,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
dendro,occupancy,no_origin,6,unith,Faure,top_four,3H,172,__vector__,__vector__,0.6988372093023256,,,,,,,,,,,,,1.505813953488372,,,,,,,,,,
