label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,357.9812698364258,2,0,0,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,357.9812698364258,2,1,2,241.37271118164062
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,357.9812698364258,2,2,3,116.60855865478516
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,357.9812698364258,2,3,4,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,357.9812698364258,2,4,5,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,238.31336975097656,1,0,0,238.31336975097656
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,238.31336975097656,1,1,2,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,238.31336975097656,1,2,3,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,238.31336975097656,1,3,4,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,238.31336975097656,1,4,5,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,525.1952362060547,2,0,0,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,525.1952362060547,2,1,2,187.39793395996094
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,525.1952362060547,2,2,3,337.79730224609375
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,525.1952362060547,2,3,4,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,525.1952362060547,2,4,5,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,516.6174621582031,2,0,0,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,516.6174621582031,2,1,2,220.45993041992188
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,516.6174621582031,2,2,3,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,516.6174621582031,2,3,4,296.15753173828125
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,516.6174621582031,2,4,5,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,235.4435272216797,1,0,0,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,235.4435272216797,1,1,2,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,235.4435272216797,1,2,3,235.4435272216797
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,235.4435272216797,1,3,4,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,235.4435272216797,1,4,5,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,0.0,0,0,0,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,0.0,0,1,2,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,0.0,0,2,3,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,0.0,0,3,4,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,0.0,0,4,5,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,318.1861572265625,1,0,0,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,318.1861572265625,1,1,2,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,318.1861572265625,1,2,3,318.1861572265625
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,318.1861572265625,1,3,4,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,318.1861572265625,1,4,5,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,480.77593994140625,2,0,0,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,480.77593994140625,2,1,2,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,480.77593994140625,2,2,3,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,480.77593994140625,2,3,4,238.4113006591797
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,480.77593994140625,2,4,5,242.36463928222656
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,602.5215301513672,2,0,0,222.44679260253906
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,602.5215301513672,2,1,2,380.0747375488281
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,602.5215301513672,2,2,3,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,602.5215301513672,2,3,4,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,602.5215301513672,2,4,5,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,413.97454833984375,2,0,0,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,413.97454833984375,2,1,2,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,413.97454833984375,2,2,3,147.679931640625
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,413.97454833984375,2,3,4,266.29461669921875
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,3,2,1,S,2S,,,1,413.97454833984375,2,4,5,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,22,2,1,S,2S,,,1,270.1200866699219,1,0,0,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,22,2,1,S,2S,,,1,270.1200866699219,1,1,2,0.0
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,22,2,1,S,2S,,,1,270.1200866699219,1,2,3,270.1200866699219
dendro,occupancy,no_origin,6,unith,Faure,top_four,trial,june_16_g0,22,2,1,S,2S,,,1,270.1200866699219,1,3,4,0.0
