scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
publication,dendro,occupancy,no_origin,6,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,occupancy,no_origin,6,unith,Faure,2,-0.04471960209460035,0.009341592676331825,0.05532686334331396,0.2627372627372627,-0.07206606726836377,0.13820482186753533,1000,2
publication,dendro,occupancy,no_origin,6,unith,Faure,3,0.09027426350792389,-0.0115239457581771,0.22757778945716411,0.6086519114688129,-0.37034475406815154,0.5758094511480008,993,1
publication,dendro,occupancy,no_origin,6,unith,Faure,4,0.044859548065112165,-0.0038737940587871013,0.09421029867780699,0.5914085914085914,-0.15853199404851767,0.2001385818935325,1000,1
publication,dendro,occupancy,no_origin,6,unith,Faure,5,0.08023616404170919,-0.0048641695087064665,0.10865068141244867,0.40559440559440557,-0.18996952310428647,0.24461847841680717,1000,1
publication,dendro,occupancy,no_origin,6,unith,Faure,6,0.009432812115228062,-0.018675974936435462,0.1467873533054324,0.8381618381618382,-0.24671548896294299,0.34846906512480375,1000,1
publication,dendro,occupancy,no_origin,6,unith,Nielsen,1,0.012761997487189869,-0.006227972152054166,0.13654313061411694,0.8631368631368631,-0.20352168096786163,0.3416327166512085,1000,1
publication,dendro,occupancy,no_origin,6,unith,Nielsen,2,-0.011591885710294902,-0.0013834304717860392,0.09460126150530383,0.9020979020979021,-0.13910430258301915,0.24412735353162418,1000,1
publication,dendro,occupancy,no_origin,6,unith,Nielsen,3,-0.19002965228259272,-0.005700564096268805,0.17958094115150094,0.2837162837162837,-0.2794009282190575,0.40736930031669516,1000,1
publication,dendro,occupancy,no_origin,6,unith,Nielsen,4,-0.08621817447388752,-0.0075134150329851795,0.09393756100553678,0.3876123876123876,-0.16074048119653137,0.207071854489723,1000,2
publication,dendro,occupancy,no_origin,6,unith,Nielsen,5,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,occupancy,no_origin,6,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
