label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,0,0,0.4777777777777778,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5222222222222223,0.5008992534165392,2,1.0,0.5222222222222223,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,1,1,0.6277777777777778,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.37222222222222223,0.4847455769408827,2,0.0,0.6277777777777778,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,2,2,0.28888888888888886,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7111111111111111,0.4545104664599745,2,1.0,0.7111111111111111,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,3,3,0.9388888888888889,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06111111111111111,0.24020217017632825,2,0.0,0.9388888888888889,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,4,4,0.9777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.14781672010850969,2,0.0,0.9777777777777777,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,5,5,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08333333333333333,0.27715635020345564,2,0.0,0.9166666666666666,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,6,6,0.18333333333333332,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8166666666666667,0.38801889028483794,2,1.0,0.8166666666666667,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,7,7,0.8777777777777778,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12222222222222222,0.32845593661358924,2,0.0,0.8777777777777778,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,8,8,0.9888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011111111111111112,0.10511440369749678,2,0.0,0.9888888888888889,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,9,9,0.38333333333333336,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6166666666666667,0.48755460946103657,2,1.0,0.6166666666666667,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,10,10,0.85,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15,0.35806743848441913,2,0.0,0.85,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,11,11,0.9777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.1478167201085097,2,0.0,0.9777777777777777,,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1H,180,__vector__,__vector__,0.7074074074074074,,,,,,,,,,,,,3.511111111111111,,,,,,,,,,
dendro,occupancy_bin,full,12,unith,Faure,top_four,1S,13,0,0,0.46153846153846156,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5384615384615384,0.5188745216627708,2,1.0,0.5384615384615384,,,,,,,,,,,
