scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
publication,dendro,occupancy_bin,full,6,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,occupancy_bin,full,6,unith,Faure,2,-0.010449329248956918,0.003128702916704926,0.023463236022679926,0.5334665334665335,-0.03211207003483663,0.0570670851869509,1000,2
publication,dendro,occupancy_bin,full,6,unith,Faure,3,0.07074094290048116,0.0038624777302493163,0.08874898856067531,0.4695304695304695,-0.13727216035350367,0.21024217859425373,1000,1
publication,dendro,occupancy_bin,full,6,unith,Faure,4,0.016806739304920826,0.0008128666666125299,0.0396433944187771,0.6663336663336663,-0.0630451669248966,0.09358470369027796,1000,1
publication,dendro,occupancy_bin,full,6,unith,Faure,5,0.01183284346747937,0.0006816777875667244,0.035623704560553714,0.7302697302697303,-0.05711886957695392,0.07947820483335935,1000,1
publication,dendro,occupancy_bin,full,6,unith,Faure,6,0.02592338467377986,-0.005509136113290403,0.04760482875437781,0.4775224775224775,-0.0747828069484264,0.1156808691798695,1000,1
publication,dendro,occupancy_bin,full,6,unith,Nielsen,1,0.0476453791649345,-0.0015944726861984715,0.042620008899639905,0.2087912087912088,-0.06741253277625635,0.10498435253654206,1000,1
publication,dendro,occupancy_bin,full,6,unith,Nielsen,2,-0.028120641756653297,-0.00035907136155393217,0.029308158922478632,0.32867132867132864,-0.04478971646184189,0.07062204669790803,1000,1
publication,dendro,occupancy_bin,full,6,unith,Nielsen,3,-0.01660509461829396,-0.003206412268980612,0.031885405420276305,0.6743256743256744,-0.05138126223584726,0.07399386705735342,1000,1
publication,dendro,occupancy_bin,full,6,unith,Nielsen,4,-0.01567668897448604,-0.0002821007155712474,0.015419244013012036,0.30569430569430567,-0.02400410232979654,0.0351414506196617,1000,2
publication,dendro,occupancy_bin,full,6,unith,Nielsen,5,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,occupancy_bin,full,6,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
