label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.48918083462132916,6,0,0,-0.1437403400309119
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.48918083462132916,6,1,1,0.004636785162287493
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.48918083462132916,6,2,2,0.42967542503863987
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.48918083462132916,6,3,3,0.3964451313755796
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.48918083462132916,6,4,4,-0.17001545595054096
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,0.48918083462132916,6,5,5,-0.027820710973724884
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-0.5108191653786708,6,0,0,0.8562596599690881
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-0.5108191653786708,6,1,1,0.004636785162287493
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-0.5108191653786708,6,2,2,-0.5703245749613601
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-0.5108191653786708,6,3,3,-0.6035548686244204
dendro,occupancy_bin,mean_removed,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,-0.5108191653786708,6,4,4,-0.17001545595054096
