scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
publication,dendro,occupancy_bin,mean_removed,6,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,occupancy_bin,mean_removed,6,unith,Faure,2,-0.06251853662354612,0.028690670877857285,0.1265228934155646,0.44655344655344653,-0.16630711881694468,0.31398605558918563,1000,2
publication,dendro,occupancy_bin,mean_removed,6,unith,Faure,3,0.01561010311767902,0.028635960554914842,0.25441750951580044,0.962037962037962,-0.35944775002664,0.613880725596806,1000,1
publication,dendro,occupancy_bin,mean_removed,6,unith,Faure,4,0.1607494889835015,0.00570863997577669,0.17673274289321883,0.35664335664335667,-0.30325139539253065,0.40249526741280434,1000,1
publication,dendro,occupancy_bin,mean_removed,6,unith,Faure,5,0.03872934543305191,0.002857342033348888,0.15030961522248762,0.7962037962037962,-0.2529173569195771,0.3521187132886223,1000,1
publication,dendro,occupancy_bin,mean_removed,6,unith,Faure,6,0.14681890182454077,-0.02844827067334038,0.15755875790872476,0.23376623376623376,-0.31896791258100515,0.30485927027439913,1000,1
publication,dendro,occupancy_bin,mean_removed,6,unith,Nielsen,1,0.2680897504304589,-0.007476498003357174,0.1972966253264365,0.14485514485514486,-0.33680490931890966,0.43403507583733636,1000,1
publication,dendro,occupancy_bin,mean_removed,6,unith,Nielsen,2,-0.039743506004657814,-0.0005617240048898282,0.09544455651048085,0.6933066933066933,-0.14165092001622714,0.22832116628493837,1000,1
publication,dendro,occupancy_bin,mean_removed,6,unith,Nielsen,3,-0.0676826220610824,-0.01603426358860535,0.1867400130841874,0.7992007992007992,-0.33986343281190895,0.36877366885075136,1000,1
publication,dendro,occupancy_bin,mean_removed,6,unith,Nielsen,4,-0.13132086094563356,-0.0037845367217255533,0.13236142136559426,0.3256743256743257,-0.21352611513861292,0.3043528402923444,1000,2
publication,dendro,occupancy_bin,mean_removed,6,unith,Nielsen,5,nan,nan,nan,nan,nan,nan,0,0
publication,dendro,occupancy_bin,mean_removed,6,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
