label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,2.0,2,0,0,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,2.0,2,1,2,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,2.0,2,2,3,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,2.0,2,3,4,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_8_g0,356,1,0,H,1H,,,1,2.0,2,4,5,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,1.0,1,0,0,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,1.0,1,1,2,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,1.0,1,2,3,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,1.0,1,3,4,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,384,1,0,H,1H,,,1,1.0,1,4,5,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,2.0,2,0,0,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,2.0,2,1,2,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,2.0,2,2,3,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,2.0,2,3,4,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_8_g0,128,1,0,H,1H,,,1,2.0,2,4,5,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,2.0,2,0,0,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,2.0,2,1,2,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,2.0,2,2,3,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,2.0,2,3,4,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_16_g0,98,1,1,S,1S,,,1,2.0,2,4,5,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,1.0,1,0,0,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,1.0,1,1,2,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,1.0,1,2,3,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,1.0,1,3,4,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_16_g0,371,1,1,S,1S,,,1,1.0,1,4,5,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,0.0,0,0,0,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,0.0,0,1,2,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,0.0,0,2,3,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,0.0,0,3,4,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_24_g0,393,1,1,S,1S,,,1,0.0,0,4,5,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,1.0,1,0,0,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,1.0,1,1,2,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,1.0,1,2,3,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,1.0,1,3,4,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,246,2,0,H,2H,,,1,1.0,1,4,5,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,2.0,2,0,0,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,2.0,2,1,2,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,2.0,2,2,3,0.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,2.0,2,3,4,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,52,2,0,H,2H,,,1,2.0,2,4,5,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,2.0,2,0,0,1.0
dendro,occupancy_bin,no_origin,6,unith,Faure,top_four,trial,june_22_g0,265,2,0,H,2H,,,1,2.0,2,1,2,1.0
