label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
svm,bigram,full,6,unith,Faure,top_ten,1H,480,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,1,1,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.34166667610406115,1.0,0.03472222238779068,0.1394156102647287,4,0.0,0.9333333333333333,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,2,2,0.9541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.01371527798473835,0.0639401946766539,4,0.0,0.9541666666666667,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,3,3,0.9854166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.005208333395421505,0.04442423400494892,4,0.0,0.9854166666666667,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,6,6,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.015798611255983513,0.08199587147405714,4,0.0,0.9625,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,7,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,8,8,0.8791666666666667,0.0,0.0,0.0,0.0,0.0,0.33666667640208897,1.0,0.04576388920346896,0.13254593522906705,7,0.0,0.8791666666666667,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,9,9,0.4395833333333333,0.0,0.0,0.0,0.3333333432674408,0.3333333432674408,0.5,1.0,0.2161111142175893,0.20685238124773744,7,0.0,0.4395833333333333,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,10,10,0.90625,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.5,0.034409722530593476,0.11233637351017127,5,0.0,0.90625,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,11,11,0.99375,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0026041666666666665,0.03416907463042441,3,0.0,0.99375,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,12,12,0.9958333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0020833333333333333,0.03224115378233885,2,0.0,0.9958333333333333,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,13,13,0.48125,0.0,0.0,0.0,0.25,0.3333333432674408,0.5,1.0,0.20180555898696184,0.23101589043558393,8,0.0,0.48125,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,14,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,bigram,full,6,unith,Faure,top_ten,1H,480,15,15,0.9729166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.010138888998577992,0.0633315330766552,5,0.0,0.9729166666666667,,,,,,,,,,,
