label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
svm,bigram,mean_removed,6,unith,Faure,top_ten,1H,480,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,bigram,mean_removed,6,unith,Faure,top_ten,1H,480,1,1,0.0,-0.03222891589196201,-0.03222891589196201,-0.03222891589196201,-0.03222891589196201,-0.03222891589196201,0.3094377602120991,0.967771084108038,0.0024933064958286687,0.13941561026472868,4,-0.03222891589196201,0.9333333333333333,,,,,,,,,,,
svm,bigram,mean_removed,6,unith,Faure,top_ten,1H,480,2,2,0.0,-0.018738591029570893,-0.018738591029570893,-0.018738591029570893,-0.018738591029570893,-0.018738591029570893,-0.018738591029570893,0.4812614089704291,-0.0050233130448325445,0.06394019467665392,4,-0.018738591029570893,0.9541666666666667,,,,,,,,,,,
svm,bigram,mean_removed,6,unith,Faure,top_ten,1H,480,3,3,0.0,-0.009802847868086604,-0.009802847868086604,-0.009802847868086604,-0.009802847868086604,-0.009802847868086604,-0.009802847868086604,0.4901971521319134,-0.004594514472665099,0.04442423400494892,4,-0.009802847868086604,0.9854166666666667,,,,,,,,,,,
svm,bigram,mean_removed,6,unith,Faure,top_ten,1H,480,4,4,0.0,-0.00014603870379180532,-0.00014603870379180532,-0.00014603870379180532,-0.00014603870379180532,-0.00014603870379180532,-0.00014603870379180532,-0.00014603870379180532,-0.00014603870379180532,0.0,1,-0.00014603870379180532,1.0,,,,,,,,,,,
svm,bigram,mean_removed,6,unith,Faure,top_ten,1H,480,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,bigram,mean_removed,6,unith,Faure,top_ten,1H,480,6,6,0.0,-0.02178258514123574,-0.02178258514123574,-0.02178258514123574,-0.02178258514123574,-0.02178258514123574,-0.02178258514123574,0.47821741485876423,-0.005983973885252234,0.08199587147405712,4,-0.02178258514123574,0.9625,,,,,,,,,,,
svm,bigram,mean_removed,6,unith,Faure,top_ten,1H,480,7,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,bigram,mean_removed,6,unith,Faure,top_ten,1H,480,8,8,0.0,-0.07390014638742769,-0.07390014638742769,-0.07390014638742769,-0.07390014638742769,-0.07390014638742769,0.26276653001466127,0.9260998536125723,-0.028136257183958735,0.13254593522906705,7,-0.07390014638742769,0.8791666666666667,,,,,,,,,,,
svm,bigram,mean_removed,6,unith,Faure,top_ten,1H,480,9,9,0.0,-0.1775191700226767,-0.1775191700226767,-0.1775191700226767,0.1558141732447641,0.1558141732447641,0.3224808299773233,0.8224808299773233,0.03859194419491261,0.20685238124773744,7,-0.1775191700226767,0.4395833333333333,,,,,,,,,,,
