scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
top_ten,svm,bigram,mean_removed,6,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,bigram,mean_removed,6,unith,Faure,2,0.09289748199536277,0.01219676728109824,0.04791674631877801,0.08691308691308691,-0.07301008576344649,0.11383814442374841,1000,10
top_ten,svm,bigram,mean_removed,6,unith,Faure,3,0.0879653537208426,0.02864864711578968,0.09009546625672148,0.4925074925074925,-0.12640367837634656,0.23174249308019204,1000,4
top_ten,svm,bigram,mean_removed,6,unith,Faure,4,-0.05023790208159781,0.016316971613204636,0.0768216354394865,0.3776223776223776,-0.12370243641485196,0.18296884506425534,1000,5
top_ten,svm,bigram,mean_removed,6,unith,Faure,5,0.15917194588316902,0.004030381589565556,0.05874585493070756,0.007992007992007992,-0.10440516372067707,0.12772832267804074,1000,8
top_ten,svm,bigram,mean_removed,6,unith,Faure,6,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,bigram,mean_removed,6,unith,Nielsen,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,bigram,mean_removed,6,unith,Nielsen,2,0.009481476271766959,0.01586497506212582,0.05342637756087289,0.9200799200799201,-0.07414948199737077,0.12540437290548728,1000,8
top_ten,svm,bigram,mean_removed,6,unith,Nielsen,3,0.021492272853357267,-0.0011666213450956735,0.06502558935726559,0.7392607392607392,-0.12193068854253598,0.1294904683024084,1000,7
top_ten,svm,bigram,mean_removed,6,unith,Nielsen,4,-0.019301881563483267,0.0012587060190330918,0.04451795097113517,0.6353646353646354,-0.08634459010775954,0.09359759645852343,1000,10
top_ten,svm,bigram,mean_removed,6,unith,Nielsen,5,0.056750338686541474,0.008568162137065608,0.0519070004390836,0.34565434565434566,-0.08672563527574766,0.12057955401171092,1000,7
top_ten,svm,bigram,mean_removed,6,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
