scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
top_ten,svm,bigram,no_origin,6,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,bigram,no_origin,6,unith,Faure,2,0.03777173850992743,0.005133686412370178,0.026564330029679964,0.1928071928071928,-0.039830602975704205,0.06483448292282529,1000,10
top_ten,svm,bigram,no_origin,6,unith,Faure,3,0.16020571408770395,0.0016319340283801596,0.09122311832780539,0.078,-0.14540902438168082,0.20522015145914108,999,4
top_ten,svm,bigram,no_origin,6,unith,Faure,4,0.013604258936367741,0.010530653421739273,0.04508762312303117,0.939060939060939,-0.05869717868467759,0.12666737630896077,1000,5
top_ten,svm,bigram,no_origin,6,unith,Faure,5,0.03287536018927567,0.004478637643791676,0.06335300345413487,0.6403596403596403,-0.11474277484198035,0.12633266996481504,1000,8
top_ten,svm,bigram,no_origin,6,unith,Faure,6,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,bigram,no_origin,6,unith,Nielsen,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,bigram,no_origin,6,unith,Nielsen,2,-0.061346264866051214,0.013915489517884072,0.05409192731177084,0.15684315684315683,-0.0818590749739689,0.12678454835729333,1000,8
top_ten,svm,bigram,no_origin,6,unith,Nielsen,3,0.004850263843540453,-0.014121692892899633,0.07956208927371619,0.8021978021978022,-0.15715867312455623,0.1457003351317739,1000,7
top_ten,svm,bigram,no_origin,6,unith,Nielsen,4,0.05784378390309325,-0.014214265808054766,0.05596117482880014,0.1938061938061938,-0.11578900022516479,0.09481563250991654,1000,10
top_ten,svm,bigram,no_origin,6,unith,Nielsen,5,0.036466279344728014,0.007012392990656975,0.06769210526669746,0.6693306693306693,-0.11696033872776385,0.13770563686023146,1000,7
top_ten,svm,bigram,no_origin,6,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
