label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,835.6047973632812,3,0,0,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,835.6047973632812,3,1,1,252.21621704101562
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,835.6047973632812,3,2,2,53.864837646484375
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,835.6047973632812,3,3,3,529.5237426757812
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,835.6047973632812,3,4,4,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,835.6047973632812,3,5,5,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,917.6838302612305,3,0,0,91.79131317138672
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,917.6838302612305,3,1,1,560.5374145507812
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,917.6838302612305,3,2,2,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,917.6838302612305,3,3,3,265.3551025390625
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,917.6838302612305,3,4,4,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,917.6838302612305,3,5,5,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,656.5070953369141,2,0,0,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,656.5070953369141,2,1,1,433.3732604980469
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,656.5070953369141,2,2,2,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,656.5070953369141,2,3,3,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,656.5070953369141,2,4,4,223.1338348388672
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,656.5070953369141,2,5,5,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,859.0663604736328,3,0,0,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,859.0663604736328,3,1,1,446.4541015625
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,859.0663604736328,3,2,2,245.5409698486328
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,859.0663604736328,3,3,3,167.0712890625
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,859.0663604736328,3,4,4,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,859.0663604736328,3,5,5,0.0
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,946.6605606079102,4,0,0,233.45697021484375
svm,occupancy,full,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,946.6605606079102,4,1,1,304.2362060546875
