label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
svm,occupancy,mean_removed,6,unith,Faure,top_ten,1H,480,0,0,0.0,-41.672297985373554,-41.672297985373554,-41.672297985373554,-41.672297985373554,-41.672297985373554,229.41744505661754,847.3041424443139,-5.196597845374166,112.68437558276541,62,-41.672297985373554,0.8729166666666667,,,,,,,,,,,
svm,occupancy,mean_removed,6,unith,Faure,top_ten,1H,480,1,1,0.0,-473.1922448415223,-377.79802792257703,-168.22843868917857,-38.27416927999889,71.93714968972768,333.7289862375791,702.852036164337,-34.55256255653138,207.00155711199199,480,-473.1922448415223,0.0020833333333333333,,,,,,,,,,,
svm,occupancy,mean_removed,6,unith,Faure,top_ten,1H,480,2,2,0.0,-109.9458045426752,-109.9458045426752,-109.9458045426752,-42.726070350780674,70.8664513166998,197.38623586259715,544.8651085432623,-7.949750902627496,118.02234087296016,270,-109.9458045426752,0.4395833333333333,,,,,,,,,,,
svm,occupancy,mean_removed,6,unith,Faure,top_ten,1H,480,3,3,0.0,-182.39498686503214,-182.39498686503214,-182.39498686503214,42.55050111104208,155.95545411397177,340.09973664571,792.6611044435616,29.428778110833544,182.27417799112666,327,-182.39498686503214,0.32083333333333336,,,,,,,,,,,
svm,occupancy,mean_removed,6,unith,Faure,top_ten,1H,480,4,4,0.0,-42.85183133796951,-42.85183133796951,-42.85183133796951,-42.85183133796951,-42.85183133796951,309.2488965062683,778.507665732343,-0.8324753097305745,125.86489523313378,61,-42.85183133796951,0.875,,,,,,,,,,,
svm,occupancy,mean_removed,6,unith,Faure,top_ten,1H,480,5,5,0.0,-5.960441535038859,-5.960441535038859,-5.960441535038859,-5.960441535038859,-5.960441535038859,-5.960441535038859,376.00101476378927,-2.0271311057836905,32.05173836658284,10,-5.960441535038859,0.98125,,,,,,,,,,,
svm,occupancy,mean_removed,6,unith,Faure,top_ten,1H,480,__vector__,__vector__,0.0,,,,,,,,,,,,,6.0,,,,,,,,,,
svm,occupancy,mean_removed,6,unith,Faure,top_ten,1S,18,0,0,0.0,-41.672297985373554,-41.672297985373554,-41.672297985373554,-41.672297985373554,-41.672297985373554,217.28071791428445,334.2387127568139,9.570729595735388,111.38653192461518,5,-41.672297985373554,0.7777777777777778,,,,,,,,,,,
svm,occupancy,mean_removed,6,unith,Faure,top_ten,1S,18,1,1,0.0,-461.4988854665223,-412.29902661032116,-239.03350765890514,-50.538558318084824,84.23997561746205,280.8245337229304,513.6072851877746,-57.922925519148194,242.55343243368313,18,-461.4988854665223,0.05555555555555555,,,,,,,,,,,
svm,occupancy,mean_removed,6,unith,Faure,top_ten,1S,18,2,2,0.0,-109.9458045426752,-109.9458045426752,-109.9458045426752,-81.61994928754825,31.427980476245693,138.169987541065,152.76064687334042,-32.71071280344452,95.28042892233964,10,-109.9458045426752,0.5,,,,,,,,,,,
