label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,0,0,-41.55913509544381
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,1,1,-123.98393326181701
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,2,2,362.023328804108
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,3,3,-12.495013565510543
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,4,4,-23.965968713833494
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,5,5,-33.42506381324191
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,6,6,-2.44605305892091
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,7,7,-30.968781028363164
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,8,8,-5.8519748654318535
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,9,9,-132.13408466680679
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,10,10,-36.27114161525864
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,-90.22584737352578,12,11,11,-9.14802649300566
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,0,0,-95.42397274192818
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,1,1,-123.98393326181701
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,2,2,97.8546886673893
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,3,3,79.29629960587617
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,4,4,-23.965968713833494
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,5,5,-33.42506381324191
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,6,6,-254.66227009993653
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,7,7,-30.968781028363164
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,8,8,-5.8519748654318535
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,9,9,428.4033298839745
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,10,10,-36.27114161525864
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,-8.14681447557652,12,11,11,-9.14802649300566
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,0,0,-95.42397274192818
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,1,1,-123.98393326181701
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,2,2,-167.5004138716732
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,3,3,-12.495013565510543
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,4,4,-23.965968713833494
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,5,5,-33.42506381324191
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,6,6,-254.66227009993653
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,7,7,192.16505381050402
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,8,8,-5.8519748654318535
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,9,9,301.2391758312401
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,10,10,-36.27114161525864
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,-269.32354939989295,12,11,11,-9.14802649300566
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,0,0,150.11699710670462
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,1,1,-123.98393326181701
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,2,2,-0.42912480917320295
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,3,3,-12.495013565510543
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,4,4,-23.965968713833494
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,5,5,-33.42506381324191
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,6,6,191.79183146256347
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,7,7,-30.968781028363164
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,8,8,-5.8519748654318535
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,9,9,-132.13408466680679
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,10,10,-36.27114161525864
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,-66.7642842631742,12,11,11,-9.14802649300566
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,0,0,3.3331760007475992
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,1,1,-123.98393326181701
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,2,2,142.70982172402992
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,3,3,220.96195664933322
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,4,4,-23.965968713833494
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,5,5,-33.42506381324191
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,6,6,-204.79535725813966
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,7,7,-30.968781028363164
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,8,8,-5.8519748654318535
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,9,9,122.23519328729478
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,10,10,-36.27114161525864
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,20.829900612314106,12,11,11,-9.14802649300566
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,0,0,-95.42397274192818
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,1,1,-123.98393326181701
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,2,2,-113.72033498373375
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,3,3,44.27280870011445
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,4,4,-23.965968713833494
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,5,5,41.26808193871121
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,6,6,-202.8142171214209
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,7,7,-30.968781028363164
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,8,8,-5.8519748654318535
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,9,9,-132.13408466680679
svm,occupancy,mean_removed,12,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,-688.7415448527738,12,10,10,-36.27114161525864
