label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,0,0,0.5083333333333333,0.0,0.0,0.0,0.0,163.62583923339844,267.24754791259744,654.8109130859375,85.1384208281835,110.68155884402233,237,0.0,0.5083333333333333,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,1,1,0.6083333333333333,0.0,0.0,0.0,0.0,193.80774688720703,402.6661453247067,1024.37255859375,101.96361215909322,159.14552172705606,189,0.0,0.6083333333333333,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,2,2,0.35833333333333334,0.0,0.0,0.0,218.52388763427734,308.03114318847656,524.0207336425779,975.0560913085938,198.3322100718816,183.1810167406931,309,0.0,0.35833333333333334,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,3,3,0.94375,0.0,0.0,0.0,0.0,0.0,53.775334739685015,313.31878662109375,8.04323955376943,37.909796191564524,28,0.0,0.94375,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,4,4,0.975,0.0,0.0,0.0,0.0,0.0,0.0,682.1931762695312,7.406903886795044,52.713348924458636,13,0.0,0.975,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,5,5,0.8916666666666667,0.0,0.0,0.0,0.0,0.0,236.916576385498,888.9764404296875,30.003358801205952,100.12825974045323,53,0.0,0.8916666666666667,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,6,7,0.8833333333333333,0.0,0.0,0.0,0.0,0.0,269.53793487548825,663.0525512695312,34.16442617575328,106.46053208848332,57,0.0,0.8833333333333333,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,7,8,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,812.176513671875,7.173648039499919,59.28616319530501,9,0.0,0.9833333333333333,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,8,9,0.41458333333333336,0.0,0.0,0.0,139.38658905029297,250.9846420288086,474.9793533325195,993.1137084960938,152.69080251057943,166.2943084040497,282,0.0,0.41458333333333336,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,9,10,0.8166666666666667,0.0,0.0,0.0,0.0,0.0,227.55680084228496,528.84033203125,33.456430633862816,81.70030947860597,89,0.0,0.8166666666666667,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,10,11,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,545.5709838867188,6.6945222536722815,49.34836859225191,11,0.0,0.9791666666666666,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1H,480,__vector__,__vector__,0.7602272727272728,,,,,,,,,,,,,2.6375,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,0,0,0.5555555555555556,0.0,0.0,0.0,0.0,141.3737850189209,248.11579208374022,262.7064514160156,72.34914016723633,96.9393165441057,9,0.0,0.5555555555555556,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,1,1,0.4444444444444444,0.0,0.0,0.0,114.21969413757324,209.04288482666016,294.4050727844234,558.5820922851562,125.91223377651639,148.6144188519324,11,0.0,0.4444444444444444,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,2,2,0.5,0.0,0.0,0.0,26.890039443969727,275.27165603637695,411.20755310058576,502.70587158203125,134.80286513434515,167.910521349709,10,0.0,0.5,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,3,3,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,241.7192794799804,288.5390319824219,35.03486739264594,84.56651170545854,5,0.0,0.7777777777777778,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,5,5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,258.953015899658,375.9110107421875,38.27319590250651,102.12862155115153,4,0.0,0.8333333333333334,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,6,7,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,77.74408264160083,518.2938842773438,28.794104682074654,122.16304007334183,2,0.0,0.9444444444444444,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,7,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,8,9,0.4444444444444444,0.0,0.0,0.0,115.19575119018555,247.97382354736328,597.2955505371093,616.0025024414062,163.08941014607748,198.55165617417788,11,0.0,0.4444444444444444,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,9,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,10,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,1S,18,__vector__,__vector__,0.7727272727272727,,,,,,,,,,,,,2.5,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,0,0,0.28173374613003094,0.0,0.0,0.0,136.7614288330078,200.6933364868164,357.6277374267576,779.1560668945312,134.24312906885294,119.08134941729132,233,0.0,0.28173374613003094,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,1,1,0.6563467492260062,0.0,0.0,0.0,0.0,147.95066833496094,349.9301513671873,599.6444091796875,78.39630285209915,128.5236332706274,112,0.0,0.6563467492260062,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,2,2,0.28792569659442724,0.0,0.0,0.0,226.02806091308594,322.3509826660156,504.18394165039035,807.1546020507812,208.20058346680443,169.67457023418163,231,0.0,0.28792569659442724,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,3,3,0.9287925696594427,0.0,0.0,0.0,0.0,0.0,101.79588851928703,556.8221435546875,13.23104509997294,60.14720463196298,24,0.0,0.9287925696594427,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,4,4,0.9969040247678018,0.0,0.0,0.0,0.0,0.0,0.0,117.27456665039062,0.36307915371637967,6.525331440768275,2,0.0,0.9969040247678018,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,5,5,0.8761609907120743,0.0,0.0,0.0,0.0,0.0,260.2138061523437,771.828125,32.60890014105168,101.55454514883354,41,0.0,0.8761609907120743,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,6,7,0.9535603715170279,0.0,0.0,0.0,0.0,0.0,0.0,508.83734130859375,13.043688924689041,64.21444983616908,16,0.0,0.9535603715170279,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,7,8,0.9814241486068112,0.0,0.0,0.0,0.0,0.0,0.0,539.5052490234375,3.2684690516799595,32.81975968833021,7,0.0,0.9814241486068112,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,8,9,0.4520123839009288,0.0,0.0,0.0,90.02068328857422,238.3150863647461,441.3730316162109,695.7826538085938,137.18892083891404,157.75450987799434,178,0.0,0.4520123839009288,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,9,10,0.7832817337461301,0.0,0.0,0.0,0.0,0.0,253.00774078369122,515.3306274414062,41.133119465027804,94.87381154967863,71,0.0,0.7832817337461301,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,10,11,0.9845201238390093,0.0,0.0,0.0,0.0,0.0,0.0,416.4471130371094,3.3725741359840606,31.886517002672246,6,0.0,0.9845201238390093,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2H,323,__vector__,__vector__,0.7438784126090627,,,,,,,,,,,,,2.8173374613003097,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2S,211,0,0,0.3933649289099526,0.0,0.0,0.0,133.47149658203125,186.72427368164062,362.5123596191406,734.0828857421875,128.76397258523517,138.7325359161461,129,0.0,0.3933649289099526,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2S,211,1,1,0.5971563981042654,0.0,0.0,0.0,0.0,200.57807159423828,372.53932189941406,820.0906982421875,100.3705133736416,151.86385585672372,86,0.0,0.5971563981042654,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2S,211,2,2,0.3696682464454976,0.0,0.0,0.0,184.48251342773438,279.2702941894531,548.7608032226562,780.9310302734375,184.48227208937513,182.16494666958,134,0.0,0.3696682464454976,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2S,211,3,3,0.9004739336492891,0.0,0.0,0.0,0.0,0.0,184.53919982910156,264.98175048828125,17.70469063492183,56.26335835567949,22,0.0,0.9004739336492891,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2S,211,4,4,0.981042654028436,0.0,0.0,0.0,0.0,0.0,0.0,400.3023376464844,5.371939419570127,39.873564617043705,5,0.0,0.981042654028436,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2S,211,5,5,0.8957345971563981,0.0,0.0,0.0,0.0,0.0,211.1401824951172,644.472900390625,25.02131030909823,90.0566173870498,23,0.0,0.8957345971563981,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2S,211,6,7,0.909952606635071,0.0,0.0,0.0,0.0,0.0,234.57330322265625,376.94830322265625,20.72017836005767,71.51591128813837,20,0.0,0.909952606635071,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2S,211,7,8,0.976303317535545,0.0,0.0,0.0,0.0,0.0,0.0,678.64453125,11.273851512167692,77.67599772809984,6,0.0,0.976303317535545,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2S,211,8,9,0.4928909952606635,0.0,0.0,0.0,63.65764236450195,249.9411849975586,425.07769775390625,867.3817138671875,135.78562077526797,163.5202801075802,108,0.0,0.4928909952606635,,,,,,,,,,,
svm,occupancy,no_origin,12,unith,Faure,top_ten,2S,211,9,10,0.8246445497630331,0.0,0.0,0.0,0.0,0.0,255.09857177734375,870.3328857421875,37.26932297837678,104.63594020220116,38,0.0,0.8246445497630331,,,,,,,,,,,
