label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,583.3885803222656,2,0,0,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,583.3885803222656,2,1,2,53.864837646484375
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,583.3885803222656,2,2,3,529.5237426757812
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,583.3885803222656,2,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,583.3885803222656,2,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,357.1464157104492,2,0,0,91.79131317138672
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,357.1464157104492,2,1,2,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,357.1464157104492,2,2,3,265.3551025390625
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,357.1464157104492,2,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,357.1464157104492,2,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,223.1338348388672,1,0,0,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,223.1338348388672,1,1,2,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,223.1338348388672,1,2,3,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,223.1338348388672,1,3,4,223.1338348388672
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,223.1338348388672,1,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,412.6122589111328,2,0,0,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,412.6122589111328,2,1,2,245.5409698486328
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,412.6122589111328,2,2,3,167.0712890625
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,412.6122589111328,2,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,412.6122589111328,2,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,642.4243545532227,3,0,0,233.45697021484375
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,642.4243545532227,3,1,2,98.75714874267578
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,642.4243545532227,3,2,3,310.2102355957031
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,642.4243545532227,3,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,642.4243545532227,3,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,128.47322463989258,2,0,0,74.69314575195312
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,128.47322463989258,2,1,2,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,128.47322463989258,2,2,3,53.78007888793945
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,128.47322463989258,2,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,128.47322463989258,2,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,393,2,0,H,2H,,,1,206.19947052001953,2,0,0,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,393,2,0,H,2H,,,1,206.19947052001953,2,1,2,84.74832916259766
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,393,2,0,H,2H,,,1,206.19947052001953,2,2,3,121.45114135742188
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,393,2,0,H,2H,,,1,206.19947052001953,2,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,393,2,0,H,2H,,,1,206.19947052001953,2,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,354,2,0,H,2H,,,1,493.2872619628906,1,0,0,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,354,2,0,H,2H,,,1,493.2872619628906,1,1,2,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,354,2,0,H,2H,,,1,493.2872619628906,1,2,3,493.2872619628906
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,354,2,0,H,2H,,,1,493.2872619628906,1,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,354,2,0,H,2H,,,1,493.2872619628906,1,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,459,2,0,H,2H,,,1,476.12303161621094,2,0,0,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,459,2,0,H,2H,,,1,476.12303161621094,2,1,2,138.4003143310547
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,459,2,0,H,2H,,,1,476.12303161621094,2,2,3,337.72271728515625
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,459,2,0,H,2H,,,1,476.12303161621094,2,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,459,2,0,H,2H,,,1,476.12303161621094,2,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,105,2,1,S,2S,,,1,535.285026550293,2,0,0,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,105,2,1,S,2S,,,1,535.285026550293,2,1,2,89.5835189819336
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,105,2,1,S,2S,,,1,535.285026550293,2,2,3,445.7015075683594
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,105,2,1,S,2S,,,1,535.285026550293,2,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,105,2,1,S,2S,,,1,535.285026550293,2,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,283,2,1,S,2S,,,1,431.1313171386719,2,0,0,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,283,2,1,S,2S,,,1,431.1313171386719,2,1,2,189.16226196289062
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,283,2,1,S,2S,,,1,431.1313171386719,2,2,3,241.96905517578125
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,283,2,1,S,2S,,,1,431.1313171386719,2,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,283,2,1,S,2S,,,1,431.1313171386719,2,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_24_g0,317,2,1,S,2S,,,1,80.3785629272461,1,0,0,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_24_g0,317,2,1,S,2S,,,1,80.3785629272461,1,1,2,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_24_g0,317,2,1,S,2S,,,1,80.3785629272461,1,2,3,80.3785629272461
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_24_g0,317,2,1,S,2S,,,1,80.3785629272461,1,3,4,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_24_g0,317,2,1,S,2S,,,1,80.3785629272461,1,4,5,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,114,3,0,H,3H,,,1,529.4772186279297,2,0,0,0.0
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,114,3,0,H,3H,,,1,529.4772186279297,2,1,2,189.0188446044922
svm,occupancy,no_origin,6,unith,Faure,top_ten,trial,june_09_09_g0,114,3,0,H,3H,,,1,529.4772186279297,2,2,3,340.4583740234375
