scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
top_ten,svm,occupancy,no_origin,6,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy,no_origin,6,unith,Faure,2,0.009824727741801653,0.002122275976123946,0.019253389249340336,0.6743256743256744,-0.033156261134814353,0.04290940257883352,1000,10
top_ten,svm,occupancy,no_origin,6,unith,Faure,3,0.12511856132109977,0.010180150518727189,0.060949475432243175,0.04595404595404595,-0.09196630849276784,0.13619195448937166,1000,4
top_ten,svm,occupancy,no_origin,6,unith,Faure,4,-0.03622820310859143,0.005765050282359349,0.031735439094934946,0.15184815184815184,-0.04843217311370377,0.08175226760156949,1000,5
top_ten,svm,occupancy,no_origin,6,unith,Faure,5,0.12208569561053806,0.013322327671526829,0.05104707340343369,0.03496503496503497,-0.07409203054662018,0.12233055675837537,1000,8
top_ten,svm,occupancy,no_origin,6,unith,Faure,6,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy,no_origin,6,unith,Nielsen,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy,no_origin,6,unith,Nielsen,2,0.010377580256933805,0.02331909679314661,0.05261239497834278,0.7982017982017982,-0.06850377617648559,0.13464706975842178,1000,8
top_ten,svm,occupancy,no_origin,6,unith,Nielsen,3,0.12644414653691533,0.008665008301618468,0.07031253545977975,0.08791208791208792,-0.12352463702431628,0.1479854591331287,1000,7
top_ten,svm,occupancy,no_origin,6,unith,Nielsen,4,-0.006058799902519618,0.0005464458471574633,0.04211953760763627,0.8731268731268731,-0.07864912514708827,0.08448041102182342,1000,10
top_ten,svm,occupancy,no_origin,6,unith,Nielsen,5,0.004261434471712733,0.008508673514371847,0.06247742622081901,0.9430569430569431,-0.1099952749431224,0.13752927160737644,1000,7
top_ten,svm,occupancy,no_origin,6,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
