label_source,feature,variant,k,space,monkey,scope_computed_on,cell_name,n_trials,dim,dim_label,frac_zero,min,p05,p25,median,p75,p95,max,mean,std,n_distinct,top_value,top_value_frac,mean_n_nonzero_per_trial,pc1_explained_var,pc1_loading,pc1_mean_cos,pc1_mean_cos_abs,pc1_label_pointbiserial,pc1_label_pointbiserial_within,pc1_label_within_n_groups,pc1_label_within_n_trials,grand_mean_norm,grand_mean_profile
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,0,0,0.5083333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.49166666666666664,0.5004521268269829,2,0.0,0.5083333333333333,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,1,1,0.6083333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.39166666666666666,0.4886320786452127,2,0.0,0.6083333333333333,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,2,2,0.35833333333333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6416666666666667,0.48001101819875547,2,1.0,0.6416666666666667,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,3,3,0.94375,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05625,0.2306442370662186,2,0.0,0.94375,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,4,4,0.975,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.15628783466775556,2,0.0,0.975,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,5,5,0.8916666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.10833333333333334,0.311125194365936,2,0.0,0.8916666666666667,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,6,6,0.1625,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8375,0.36929374563303163,2,1.0,0.8375,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,7,7,0.8833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11666666666666667,0.3213575934269584,2,0.0,0.8833333333333333,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,8,8,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016666666666666666,0.1281526577494177,2,0.0,0.9833333333333333,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,9,9,0.41458333333333336,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5854166666666667,0.4931639504022365,2,1.0,0.5854166666666667,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,10,10,0.8166666666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18333333333333332,0.3873432517951021,2,0.0,0.8166666666666667,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,11,11,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020833333333333332,0.14297514760366395,2,0.0,0.9791666666666666,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1H,480,__vector__,__vector__,0.7104166666666667,,,,,,,,,,,,,3.475,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1S,18,0,0,0.5555555555555556,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4444444444444444,0.5113099925649136,2,0.0,0.5555555555555556,,,,,,,,,,,
svm,occupancy_bin,full,12,unith,Faure,top_ten,1S,18,1,1,0.4444444444444444,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.5113099925649136,2,1.0,0.5555555555555556,,,,,,,,,,,
