scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
top_ten,svm,occupancy_bin,mean_removed,6,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy_bin,mean_removed,6,unith,Faure,2,0.03262235858016693,0.009171028011523827,0.05438775037072045,0.6573426573426573,-0.08735192418012958,0.11954567034988652,1000,10
top_ten,svm,occupancy_bin,mean_removed,6,unith,Faure,3,0.099133497635941,0.028145455824003213,0.11417871438550017,0.5314685314685315,-0.17300882459997405,0.26936180394230835,1000,4
top_ten,svm,occupancy_bin,mean_removed,6,unith,Faure,4,0.018977390752858758,0.018595942005428755,0.0886200582225884,0.996003996003996,-0.1440853394175928,0.21232803599607117,1000,5
top_ten,svm,occupancy_bin,mean_removed,6,unith,Faure,5,0.21591921761476354,0.017965654411790474,0.07923684770672133,0.01098901098901099,-0.12950655804638891,0.18747875912882028,1000,8
top_ten,svm,occupancy_bin,mean_removed,6,unith,Faure,6,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy_bin,mean_removed,6,unith,Nielsen,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy_bin,mean_removed,6,unith,Nielsen,2,0.08279652968985962,0.024089865465506486,0.06509964761947448,0.3596403596403596,-0.08472152181446738,0.16390911171089056,1000,8
top_ten,svm,occupancy_bin,mean_removed,6,unith,Nielsen,3,0.12548222240820306,0.008705724016712064,0.07786839154582104,0.13086913086913088,-0.12955824469614344,0.16749243487152551,1000,7
top_ten,svm,occupancy_bin,mean_removed,6,unith,Nielsen,4,0.03541585742459971,-0.001336075396041314,0.05422602215514065,0.4945054945054945,-0.10013359695308892,0.10516909976041001,1000,10
top_ten,svm,occupancy_bin,mean_removed,6,unith,Nielsen,5,0.0354349769894885,0.009530526149056405,0.06182774703782016,0.6973026973026973,-0.10562101362786278,0.1333177406426891,1000,7
top_ten,svm,occupancy_bin,mean_removed,6,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
