scope,label_source,feature,variant,k,space,monkey,maze,delta_obs,null_mean,null_sd,p_two_sided,null_p025,null_p975,n_perm,n_sessions
top_ten,svm,occupancy_bin,no_origin,12,unith,Faure,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy_bin,no_origin,12,unith,Faure,2,-0.009791144972709609,0.003172882132076309,0.015584514020491868,0.3836163836163836,-0.025792987208553542,0.036353115487284045,1000,10
top_ten,svm,occupancy_bin,no_origin,12,unith,Faure,3,-0.009842260612326736,0.0067511379388362665,0.03906727980633357,0.6723276723276723,-0.05996629735370596,0.09054799273660881,1000,4
top_ten,svm,occupancy_bin,no_origin,12,unith,Faure,4,-0.0010524319206232091,0.003391967476156247,0.02637681802967803,0.8681318681318682,-0.04361797457996731,0.05791403920766204,1000,5
top_ten,svm,occupancy_bin,no_origin,12,unith,Faure,5,0.02411457315236243,0.011690308319134328,0.030912553186144245,0.6773226773226774,-0.046666402456899125,0.07746818394056255,1000,8
top_ten,svm,occupancy_bin,no_origin,12,unith,Faure,6,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy_bin,no_origin,12,unith,Nielsen,1,nan,nan,nan,nan,nan,nan,0,0
top_ten,svm,occupancy_bin,no_origin,12,unith,Nielsen,2,0.13786026148312397,0.014480520046155841,0.035286526088354,0.001998001998001998,-0.050131784207758316,0.08808666817892119,1000,8
top_ten,svm,occupancy_bin,no_origin,12,unith,Nielsen,3,0.10196362430997852,0.009514028342386936,0.04193425950822515,0.023976023976023976,-0.0640529827144652,0.09474870654376814,1000,7
top_ten,svm,occupancy_bin,no_origin,12,unith,Nielsen,4,0.08952761813840382,0.0024126502446905345,0.024942491513559442,0.002997002997002997,-0.04322130284712905,0.05309630845087485,1000,10
top_ten,svm,occupancy_bin,no_origin,12,unith,Nielsen,5,0.030606670213334408,0.01243330679402864,0.032523962243030176,0.5764235764235764,-0.04699286390166911,0.08643080818190313,1000,7
top_ten,svm,occupancy_bin,no_origin,12,unith,Nielsen,6,nan,nan,nan,nan,nan,nan,0,0
