method,monkey,source,scope,variant,feature,maze,k,reason_skipped,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm
block_means,Faure,dendro,publication,full,occupancy,1,6,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,full,occupancy,1,12,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,full,occupancy,2,6,,0.9408118278120621,0.9465884433026094,0.9583514307489901,0.953908402706612,-0.012429781170465226,-0.7920068245479075,0.3096903096903097,0,0.00027366664151042073,0.016039568622690865,68,22,11,6,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy,2,12,,0.8463309665889713,0.733339209234162,0.8130486203898488,0.805399102681243,-0.019388773623979283,-0.5529642094232009,0.5964035964035964,0,0.002571392703934573,0.039713540141812415,68,22,11,12,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy,3,6,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,full,occupancy,3,12,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,full,occupancy,4,6,,0.9502370914513613,0.9510150992672817,0.9498900021346303,0.9491072183048535,0.0011274851395797203,-0.14228477874172635,0.8831168831168831,0,0.0033440282854498926,0.015578216907471285,13,96,6,6,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy,4,12,,0.7436330071209036,0.7461865906471266,0.7721813124541587,0.7564248641346119,-0.019393289410370218,-0.5271951115945318,0.5774225774225774,0,0.006464424091385784,0.049047711052456214,13,96,6,12,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy,5,6,,0.9649814943844859,0.9462075348465224,0.9071698157898911,0.9284839582466011,0.03776762759725805,3.7618400360615425,0.004995004995004995,0,0.0006582724145262457,0.009864681864990578,19,130,9,6,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy,5,12,,0.8929394893730277,0.7261873375373896,0.742236516276883,0.7784635938839202,0.049213358374807004,1.2250792293593322,0.1978021978021978,0,0.01047602842196193,0.031620265060818276,19,130,9,12,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy,6,6,,0.9261655260457725,0.8971274007348238,0.9011889481888845,0.8869024763118116,0.017600751139950077,0.4594483741064727,0.6043956043956044,0,0.004372646990838513,0.028791274264137627,11,109,5,6,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy,6,12,,0.5476137279672252,0.6551454277426784,0.6313781934214221,0.5757333023857127,-0.002176170048615589,-0.2560668559307785,0.7842157842157842,0,0.014776950150022054,0.06620583572604379,11,109,5,12,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy_bin,1,6,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,full,occupancy_bin,1,12,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,full,occupancy_bin,2,6,,0.9397298821715259,0.9384923716105308,0.9412699561383101,0.9419932101894376,-0.0025204562728454727,-0.181379281707439,0.8371628371628371,0,0.0008862865851582982,0.018782425566657476,68,22,11,6,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy_bin,2,12,,0.8742453007692987,0.8268847568682172,0.8541557189495369,0.8532293223289177,-0.0031274918204693414,-0.1367352789062412,0.8971028971028971,0,0.0006123915589019971,0.02735126888457046,68,22,11,12,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy_bin,3,6,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,full,occupancy_bin,3,12,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,full,occupancy_bin,4,6,,0.877081070289532,0.898925209885466,0.887322737517461,0.8592089176624337,0.014737312497551613,0.18359425115688333,0.8541458541458542,0,0.007769412651667302,0.037952712582106744,13,96,6,6,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy_bin,4,12,,0.7537119528595102,0.7776135111243972,0.7685378484534274,0.734732579091282,0.014027518219599022,0.2375953236149642,0.7972027972027972,0,0.0035799239815619485,0.04397222167119734,13,96,6,12,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy_bin,5,6,,0.8958062396541239,0.8698095702180406,0.8170509805209503,0.8399262852616556,0.054319272044779265,1.7129821081915584,0.06793206793206794,0,0.0003339322138438482,0.03151541371785208,19,130,9,6,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy_bin,5,12,,0.857775382407285,0.7627868880976674,0.7596452176978958,0.7576687038093785,0.05162417449883905,1.314930193517696,0.15084915084915085,0,0.004229430671866365,0.03604354365016325,19,130,9,12,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy_bin,6,6,,0.7709678615459407,0.8045418077189943,0.6766459977917576,0.6596280265300247,0.11961782247157626,2.1184211197727234,0.03696303696303696,0,0.01100387552564544,0.05127117829980073,11,109,5,6,2,0,100,1000
block_means,Faure,dendro,publication,full,occupancy_bin,6,12,,0.5906927614710046,0.6543649361263582,0.6002963794425891,0.5579785825500103,0.04339136780238162,0.5046530677706772,0.5864135864135864,0,0.011948415984980131,0.06230607485713273,11,109,5,12,2,0,100,1000
