method,monkey,source,scope,variant,feature,maze,k,reason_skipped,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm
block_means,Faure,dendro,publication,no_origin,occupancy,1,6,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,no_origin,occupancy,1,12,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,no_origin,occupancy,2,6,,0.8855883083179447,0.8657852113441972,0.8851624279238502,0.8926261183772519,-0.013207513319480224,-0.3833112144039376,0.6743256743256744,0,0.0012326018551052664,0.03767203940808352,68,22,11,5,2,6,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy,2,12,,0.86133663783178,0.7165897013695656,0.8107774284823666,0.8113690885357577,-0.02211008890838928,-0.668867864242418,0.4775224775224775,0,0.0022690769558900152,0.03644840358998552,68,22,11,11,2,0,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy,3,6,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,no_origin,occupancy,3,12,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,no_origin,occupancy,4,6,,0.9077518594557463,0.8221634199727695,0.8797394771712552,0.8525381442432655,-0.0011811709930023007,-0.15321121215322683,0.8491508491508492,0,0.009049236470452676,0.0667732297113055,13,96,6,5,2,11,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy,4,12,,0.7518704235787306,0.646489933867195,0.7468070498275529,0.7026545245501065,-0.025550608465866875,-0.5033171238099687,0.5964035964035964,0,0.009403764163082598,0.0694480099630919,13,96,6,11,2,3,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy,5,6,,0.8792631098924026,0.5427156060235835,0.3693534551428694,0.4561523969914927,0.29823643189081206,2.640606321499688,0.01998001998001998,0,0.00025036785309281594,0.11284759171086248,19,130,9,5,2,24,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy,5,12,,0.7876177840548628,0.510455746108196,0.47573617855750877,0.5210277513595941,0.15065480012297794,1.7536313507517758,0.07992007992007992,0,0.01926957637225831,0.07492180365867389,19,130,9,11,2,2,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy,6,6,,0.6422101215818372,0.4938801916427622,0.3871095239063507,0.3354981780323369,0.2067413056429559,1.0198106924785455,0.23276723276723277,0,0.03979601714893171,0.16370223388056537,11,109,5,5,2,24,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy,6,12,,0.4742575623464601,0.46731719193571924,0.48429245698693263,0.40472630359665485,0.02627799684929588,-0.02639722416910925,0.975024975024975,0,0.029117292937298218,0.10756040369293668,11,109,5,11,2,2,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy_bin,1,6,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,no_origin,occupancy_bin,1,12,"n_H=85, n_S=1; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,no_origin,occupancy_bin,2,6,,0.9158424609572111,0.8949147890232025,0.9171847953760518,0.9197793615539426,-0.01310345347479036,-0.4233769674277361,0.6183816183816184,0,0.0010305834223217278,0.03338404775060077,68,22,11,5,2,6,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy_bin,2,12,,0.8830893300774346,0.8301781335947702,0.8491481157828565,0.8506178245548517,0.006750761667248195,0.22446333923290446,0.8211788211788211,0,0.00046893348666081,0.02798598738687267,68,22,11,11,2,0,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy_bin,3,6,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,no_origin,occupancy_bin,3,12,"n_H=88, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,,
block_means,Faure,dendro,publication,no_origin,occupancy_bin,4,6,,0.8725246835971362,0.8297677516003826,0.8671855984565825,0.8527776501602807,-0.0088354067096722,-0.2548371575778761,0.7982017982017982,0,0.008124328636778784,0.06655126555187789,13,96,6,5,2,11,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy_bin,4,12,,0.7692753171259716,0.7245445795854176,0.7677287726971471,0.730464702414006,-0.002186789199881911,-0.14248263206152564,0.8831168831168831,0,0.005838563648990211,0.05632513052823646,13,96,6,11,2,3,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy_bin,5,6,,0.8406984307480783,0.6603070728469425,0.5983675656689765,0.6362103159665478,0.13321381097974816,1.6032530660854785,0.08891108891108891,0,0.0007662060244511379,0.0826117895902003,19,130,9,5,2,24,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy_bin,5,12,,0.8255663629136554,0.6460788174171932,0.6647384389201508,0.6673068573861849,0.06979994201225637,1.1108098150768535,0.21578421578421578,0,0.005688679017716674,0.05771578727912485,19,130,9,11,2,2,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy_bin,6,6,,0.6942606585819148,0.6266462735507682,0.35498530289405716,0.31432121690085585,0.32580020616888494,2.475452702514923,0.029970029970029972,0,0.028322610661936167,0.1201709873934283,11,109,5,5,2,24,100,1000
block_means,Faure,dendro,publication,no_origin,occupancy_bin,6,12,,0.5589781627100746,0.5372446501223905,0.5111182165333789,0.4401888749898608,0.07245786065461274,0.6274849945801143,0.5154845154845155,0,0.018367109281395542,0.08620246195594268,11,109,5,11,2,2,100,1000
