method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Nielsen,dendro,publication,mean_removed,occupancy,1,6,0.20393027746982,0.3885284347181197,0.07295903921465167,0.07070334927952118,0.2243981618468834,1.2910546109728165,0.1958041958041958,0,0.020275763557858838,0.1581051618995553,109,18,9,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy,1,12,0.09663088301863214,0.2710374546029906,0.1416536584919735,0.15659779978312727,0.03470843967326098,0.12179471084126653,0.9020979020979021,0,0.020087942523975378,0.12004213523147413,109,18,9,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy,2,6,0.2985380515678183,0.6210216951128502,0.24287695236304135,0.23286387749648102,0.22190945841057308,1.924763520351005,0.04995004995004995,0,-0.028767821374373025,0.1302379628117806,129,26,13,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy,2,12,0.17288687020218074,0.44635494252580266,0.17901342271705822,0.14929354002129455,0.1454674249948153,1.5056830667110228,0.11188811188811189,0,-0.027419431048390935,0.11482287332941589,129,26,13,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy,3,6,-0.00560941363406579,-0.10650838088021358,0.0777701998979437,0.04795852021850275,-0.1189232573153629,-0.6917464679447597,0.4945054945054945,0,0.005960846717993071,0.18053450190269532,139,20,10,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy,3,12,0.040106652976916415,0.3968947844884344,0.12416783749607829,0.0961541422118034,0.10833972887873455,0.7018141583295338,0.46553446553446554,0,0.015738052168891164,0.13194615071638763,139,20,10,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy,4,6,-0.16082207976430543,0.4004663143638062,0.25133835780265146,0.2688611352658688,-0.14027762923450976,-0.7001039462574474,0.5034965034965035,0,0.003664210537765303,0.20560066907456584,65,101,32,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy,4,12,0.14413852477016878,0.31396179115841816,-0.015845173000783024,-0.0014839059217837197,0.23771469742557683,1.324186852500381,0.17582417582417584,0,-0.004081034316354337,0.18259940527680296,65,101,32,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy,5,6,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,mean_removed,occupancy,5,12,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,mean_removed,occupancy,6,6,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
block_means,Nielsen,dendro,publication,mean_removed,occupancy,6,12,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,1,6,0.21293818586295005,0.6230091619878875,-0.0029375011984946854,-0.03834763784371573,0.43861624344652395,2.0074931883273965,0.03896103896103896,0,0.046116641838224795,0.19551727691555557,109,18,9,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,1,12,0.08647245363487882,0.4205090838066029,-0.011835102759684812,-0.02740785052977384,0.2731122453654702,1.5890560237810776,0.11788211788211789,0,0.03647269862067,0.1489183157820506,109,18,9,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,2,6,0.4301726639084339,0.45408411172347385,0.47155165900306656,0.44023990838065613,-0.013767395875907473,-0.2549822557371285,0.7962037962037962,0,0.011619821427579833,0.09956464315563987,129,26,13,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,2,12,0.21399366441240317,0.1518563811893267,0.1097073357370075,0.05789724688002231,0.09912273149235001,0.7253346875380353,0.4785214785214785,0,0.01879407741729072,0.11074701852149735,129,26,13,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,3,6,0.04207999314245242,-0.17753306983621872,-0.03300506756901989,-0.0077618662454577965,-0.04734307143964431,-0.5227149288503612,0.6213786213786214,0,0.06233836815888724,0.20983031772167027,139,20,10,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,3,12,0.0694667077070866,0.19683586615411802,0.10892587708273094,0.06062166750008904,0.04837751463919231,-0.11637111374805265,0.9120879120879121,0,0.06537645107399953,0.14607522337210324,139,20,10,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,4,6,-0.34500701766886904,0.7429532368502035,0.37877629063422036,0.3248553631163636,-0.15284271728462476,-1.1870529530061875,0.1998001998001998,0,0.013822050581513189,0.14040213407840216,65,101,32,6,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,4,12,0.2462180089076816,0.6829473561297928,-0.01496174956843196,-0.02892693875575951,0.486527026680833,3.95894468137442,0.001998001998001998,0,0.018424178085428466,0.11823930018463762,65,101,32,12,2,0,100,1000,
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,5,6,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,5,12,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,6,6,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
block_means,Nielsen,dendro,publication,mean_removed,occupancy_bin,6,12,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
