method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Nielsen,dendro,publication,no_origin,occupancy,1,6,0.4021581208852918,0.6588771045832665,0.34654850800940606,0.28706762633423877,0.2137095455624568,1.3820074557158828,0.14385614385614387,0,0.027939590645895487,0.13442037099599588,109,18,9,5,2,7,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy,1,12,0.3651754372706952,0.5090044539784172,0.39569632814880534,0.3906363407620079,0.04392361116914956,0.2454433617857822,0.7952047952047953,0,0.01963229528445718,0.09896912961081965,109,18,9,11,2,2,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy,2,6,0.5754790023113886,0.5675636505488015,0.4524884169094195,0.4157874995642169,0.1373833681932769,1.4968419689275125,0.12187812187812187,0,-0.01318835449002318,0.10059293219255787,129,26,13,5,2,13,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy,2,12,0.46856965050518357,0.20760799869644475,0.425959863712538,0.40707687420519156,-0.07842954435805066,-0.7209613498848089,0.4865134865134865,0,-0.018499917237646678,0.08312460457135351,129,26,13,11,2,5,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy,3,6,0.4365698300595667,0.051115995835300077,0.3591720649260559,0.3004738396551646,-0.08598003934317688,-0.6713283108307799,0.5044955044955045,0,0.01957358977932418,0.15723101114546575,139,20,10,5,2,19,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy,3,12,0.4340238577225513,0.6566201811330871,0.4986872164754119,0.47021760533224055,0.06086960852399298,0.4425349850384487,0.6523476523476524,0,0.01938104191398246,0.09375206031768511,139,20,10,11,2,10,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy,4,6,0.6156376492848019,0.6671859164847206,0.589705918707335,0.6239834189074324,0.03456711407737756,0.20990948277482588,0.8321678321678322,0,0.009857959186753196,0.11771338085345277,65,101,32,5,2,34,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy,4,12,0.7640555372143771,0.5992817178826839,0.5405696969843803,0.5640907949820021,0.1293383815653394,1.6236036550695352,0.0959040959040959,0,0.003577564447715695,0.07745783074887057,65,101,32,11,2,18,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy,5,6,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,no_origin,occupancy,5,12,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,no_origin,occupancy,6,6,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
block_means,Nielsen,dendro,publication,no_origin,occupancy,6,12,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,1,6,0.4878873242493711,0.6922236415999605,0.2709601359245977,0.20816307808520534,0.3504938759197643,2.1208098352552023,0.04295704295704296,0,0.022880647699006842,0.1544755323059575,109,18,9,5,2,7,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,1,12,0.5610067302904377,0.6610311127597008,0.4500730003196236,0.44865657359110095,0.1616541345697069,1.7956580011234657,0.07192807192807193,0,0.01643518212471996,0.08087227765762173,109,18,9,11,2,2,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,2,6,0.5163853552295226,0.34722594882528285,0.48347714613930753,0.4627564392081787,-0.041311140646340394,-0.43290114372181904,0.6773226773226774,0,0.013610887901239797,0.1268696776252292,129,26,13,5,2,14,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,2,12,0.5757829117454958,0.3002943246989221,0.4212480765983876,0.40139882517809994,0.026715167333965173,0.25761584841003465,0.8131868131868132,0,0.005467235291745679,0.08247913384738734,129,26,13,11,2,5,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,3,6,0.5167789749628184,0.3421559741613095,0.4627242497097017,0.4924426720103136,-0.048115986297943725,-0.45236429916986887,0.6413586413586414,0,0.016402867956523414,0.14262587558935425,139,20,10,5,2,19,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,3,12,0.5809390112148031,0.7010955025453812,0.6201145173012275,0.6004612433502232,0.030729376554366805,0.1861614980946024,0.8621378621378621,0,0.016363069151327132,0.0771712064528998,139,20,10,11,2,10,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,4,6,0.734164210929749,0.7999860469149316,0.5908079270647736,0.58768982981969,0.17782625048010847,1.7657941964418709,0.06493506493506493,0,0.02136202230182096,0.08860841682092267,65,101,32,5,2,34,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,4,12,0.8674944862026455,0.7551775517735493,0.5781288148610761,0.5897348668146021,0.22740417815025826,4.231194407148109,0.003996003996003996,0,0.010567420627355353,0.051247174357335716,65,101,32,11,2,18,100,1000,
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,5,6,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,5,12,,,,,,,,,,,,,,,,,,,"n_H=4, n_S=182; need >= 10 of each"
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,6,6,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
block_means,Nielsen,dendro,publication,no_origin,occupancy_bin,6,12,,,,,,,,,,,,,,,,,,,"n_H=1, n_S=160; need >= 10 of each"
