method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Faure,svm,top_ten,mean_removed,occupancy,1,6,0.07296422339443238,-0.4070935581020987,0.1281434478362302,0.05880439276636605,-0.26053858765513127,-1.8791992614567135,0.06393606393606394,0,0.010416986260210533,0.14418671796694038,473,17,8,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,1,12,0.133976311983034,-0.0702063115644378,0.19378467052199927,0.12087529291041693,-0.12544498150691,-1.1724594282598853,0.24375624375624375,0,0.0038481154228619764,0.11027511384480342,473,17,8,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,2,6,0.9551381238320321,0.6348720147587936,0.7363511335546938,0.727477315417149,0.06309084480949156,2.123252606011071,0.04895104895104895,0,-0.0028237715338146493,0.03104417070144998,319,210,105,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,2,12,0.8929687547138786,0.532225878323464,0.7421931251997477,0.6920934560522444,-0.004545974107324713,0.17678347607473974,0.8731268731268731,0,-0.012090675286147696,0.04267763790114223,319,210,105,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,3,6,0.20730949750643435,-0.0012664289806640916,0.1271002154761467,0.18373388523873424,-0.05239551609455534,-0.24708674297462743,0.8171828171828172,0,-0.0073248108198800035,0.18240843167900556,517,36,18,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,3,12,0.18898083878081062,0.21191736290762322,0.09858315782533297,0.11870942383505995,0.09180281001402045,0.8483509659308198,0.37662337662337664,0,-0.014203746692862108,0.12495601580481613,517,36,18,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,4,6,0.24069345130596823,0.44869382707601196,0.5209700353934054,0.482158004141719,-0.15687038057657204,-1.4531525133099992,0.1088911088911089,0,-0.005865735343291118,0.10391520769511087,49,577,24,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,4,12,0.3514881802858052,0.23280515088986392,0.26198638862652407,0.22902041785249985,0.046643262348322556,0.4541378763668432,0.6373626373626373,0,-0.0038613268780705932,0.11120981502453801,49,577,24,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,5,6,0.618328009438039,0.5670846995412334,0.6613942071247316,0.6246707206306881,-0.05032610938807358,-0.6919625302263585,0.4245754245754246,0,0.001776761410164861,0.07529724301862743,94,623,47,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,5,12,0.6710793552547274,0.4654164268695913,0.516895779545345,0.5049995217799669,0.05730024039950332,0.800954915379956,0.40559440559440557,0,0.006965830236751214,0.06284300051879266,94,623,47,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,6,6,-0.12484368354957938,0.10315371503792728,-0.084756599547292,-0.017538346854276705,0.040302488944958303,0.1201608237712216,0.9210789210789211,0,0.015711666708374965,0.20464924810604382,33,657,16,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,6,12,0.5010863805767856,0.0752104132543551,0.15474562903427663,0.19525930902042304,0.11314592788822048,0.8345385857054808,0.3886113886113886,0,0.004535935883869077,0.1301437631101712,33,657,16,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,1,6,0.03340194863084226,-0.5167830942739989,0.07141579056602892,-0.001108533305551571,-0.276844201451817,-1.7612342052735745,0.07992007992007992,0,0.007228385163083285,0.16129177241977022,473,17,8,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,1,12,0.08324545062599631,-0.3589213149639959,0.06930066078326746,0.03583968354244524,-0.19040810433185612,-1.6690727025454026,0.0939060939060939,0,-0.002997428003266471,0.11228430975042661,473,17,8,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,2,6,0.9177304638754525,0.5709660628379618,0.7880855694859357,0.7882965699298785,-0.04384280635119997,-0.7563427502994412,0.37362637362637363,0,-0.007065316596697329,0.048625427744157235,319,210,105,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,2,12,0.8564689323756909,0.4938387590390119,0.7386083018359529,0.7137284166408371,-0.05101451353104358,-0.7984379837147701,0.4115884115884116,0,-0.015262242804792131,0.044777767911181196,319,210,105,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,3,6,0.2342111521791207,0.48365029874861853,0.3226531535156398,0.31270843420473154,0.041249931603683954,0.3175751201648549,0.7472527472527473,0,-0.003934557058121519,0.14227968689219095,517,36,18,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,3,12,0.12469439332539249,0.356062961219634,0.19350310410178584,0.21971597438562576,0.03376913802880746,0.35249459803970185,0.7272727272727273,0,-0.009120849816602775,0.12167558902726643,517,36,18,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,4,6,0.5235474210749338,0.32338485433951036,0.40768552981948075,0.3487744681418575,0.045236138726552966,0.36499693892053847,0.6663336663336663,0,0.005572315208842703,0.10866892099154088,49,577,24,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,4,12,0.4273026364938693,0.1989234736218674,0.25427091663257045,0.1881140809115452,0.09192055628581053,0.8542428517185793,0.3776223776223776,0,0.0057016738158014385,0.10093017728688343,49,577,24,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,5,6,0.30492064144600617,0.5313571796427073,0.39525029706235754,0.3595172746126223,0.040755124706866874,0.5072509884564478,0.5274725274725275,0,0.0015639765352037024,0.07726184682443078,94,623,47,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,5,12,0.08532885920510741,0.4175885508454131,0.32407381513740746,0.29733143242662624,-0.05924391875675661,-0.9868837267628064,0.2987012987012987,0,0.014947548108068998,0.07517751570206734,94,623,47,12,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,6,6,0.3155479002557282,0.1526012407213636,-0.0012433188852278721,0.07166978378896725,0.19886133803667622,1.0331586941951851,0.2837162837162837,0,0.002536066504304882,0.19002431343357734,33,657,16,6,10,0,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,6,12,0.4253708970747233,0.1128512720701715,0.14960878256820853,0.18220332303250814,0.10320503177208909,0.8410759986676659,0.3916083916083916,0,0.00028322061693461986,0.1223692167154825,33,657,16,12,10,0,100,1000,
