method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Nielsen,svm,top_ten,full,occupancy,1,6,0.8191764623759731,0.8510616311544807,0.8554356827525947,0.8272459545399067,-0.0062217718810237965,-0.1561015306308081,0.8401598401598401,0,0.000513722635358299,0.04314816446170569,599,26,13,6,10,1,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,1,12,0.8058827252274221,0.8251630753718381,0.8215074810647526,0.8058787685805646,0.0018297754769713848,0.046127779180519954,0.942057942057942,0,0.00044622330472030047,0.02999390382174234,599,26,13,12,10,0,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,2,6,0.9643419768892091,0.9564109195521837,0.9551645364409628,0.9566828171470152,0.004452771426707525,0.5108677551734799,0.6003996003996004,0,-0.0002715114114435191,0.009247565128761704,552,111,55,6,10,2,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,2,12,0.9599404391536156,0.943577743310046,0.9371014689382985,0.9352927793939013,0.015561967065730875,2.317594357984407,0.026973026973026972,0,9.442953641015218e-05,0.006673962367932546,552,111,55,12,10,0,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,3,6,0.9448167040420582,0.9459206853141572,0.9476803651315606,0.9426082000650778,0.0002244120797885163,-0.13443241618426555,0.8761238761238761,0,0.0017587448278790514,0.01141341345816054,681,72,36,6,10,7,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,3,12,0.9455114209779312,0.9563101848480673,0.9462848622375634,0.9494418489905775,0.003047447298928807,0.4339222608303603,0.6313686313686314,0,5.758870875565536e-05,0.006890309302066487,681,72,36,12,10,2,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,4,6,0.9868714323548766,0.9936342063014917,0.976886968039511,0.9780245388012975,0.012797065907779848,3.349055940860074,0.00999000999000999,0,0.0007948861386738912,0.0035837501615525913,350,386,175,6,10,4,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,4,12,0.9853176273752201,0.9919056053836864,0.9781435643147799,0.9779888452424765,0.010545411600825116,3.5820880481988304,0.004995004995004995,0,0.0006576913114043642,0.0027603230731284125,350,386,175,12,10,0,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,5,6,0.9765478692099145,0.9775189844641672,0.974506753063701,0.9774537134104423,0.0010531935999691378,0.2130339597260722,0.8291708291708292,0,-2.655338902131388e-05,0.005068426603809246,80,787,40,6,10,1,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,5,12,0.9756098154572911,0.9756122598479092,0.972257096306097,0.9759288143275323,0.0015180823357854312,0.42717824327908654,0.6603396603396603,0,-4.2158428638466306e-05,0.0036524349939904407,80,787,40,12,10,0,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,6,6,0.9681775012440235,0.9545060815272511,0.9345877586335498,0.9472097573328222,0.02044303340245124,1.5804829652733088,0.07992007992007992,0,0.00037899644538002695,0.012694877071074024,34,826,17,6,10,7,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,6,12,0.9301348533688305,0.9488093671756043,0.9153342779777646,0.9341102314867844,0.014749855539943013,1.5352784966865467,0.10589410589410589,0,0.0008011505080975444,0.009085455871328689,34,826,17,12,10,2,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy_bin,1,6,0.8286932075359325,0.8235572046158559,0.7994323014028373,0.7548208950907624,0.048998607829094265,1.3287535809475934,0.12987012987012986,0,-0.0003718919546625381,0.03715549707008014,599,26,13,6,10,1,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy_bin,1,12,0.8477037113300001,0.8267998507428915,0.8466502934374445,0.8185641573898625,0.004644555622792312,0.18036512901451907,0.8521478521478522,0,0.0003400944906105154,0.023865262402441967,599,26,13,12,10,0,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy_bin,2,6,0.9524438428663815,0.9388054108469768,0.9454256653627684,0.9424795954503244,0.0016719964501327178,0.08612679416042869,0.932067932067932,0,0.0007064961822807683,0.01121021950559902,552,111,55,6,10,3,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy_bin,2,12,0.959004933307891,0.9357644807518294,0.9267963415377709,0.9257161387926429,0.021128466864653306,2.71977875584254,0.01898101898101898,0,0.0005018957551993107,0.007583915075865883,552,111,55,12,10,0,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy_bin,3,6,0.9371089753135949,0.9181109407340615,0.8741684433362318,0.881436479469438,0.049807496620993263,3.4822521466034853,0.01098901098901099,0,0.001418872693842141,0.013895784075931538,681,72,36,6,10,7,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy_bin,3,12,0.9371168646814612,0.9269915921161125,0.9098809232854176,0.9134471557349585,0.02039018888859878,2.27704367819445,0.03496503496503497,0,-6.55496719514882e-05,0.008983463407592762,681,72,36,12,10,2,100,1000,
