feature,variant,maze,K2,n_K2,K3,n_K3,K4,n_K4,K5,n_K5,K6,n_K6,K8,n_K8,K10,n_K10,K12,n_K12,K14,n_K14,K16,n_K16,K20,n_K20,K25,n_K25,K30,n_K30,best_k,best_p
occupancy,full,2,0.8422,7,0.4052,7,0.2921,7,0.3853,7,0.4223,7,0.4524,7,0.3833,7,0.3995,7,0.4029,7,0.4651,7,0.3190,7,0.2970,7,0.4371,7,4,0.2921
occupancy,full,3,0.5425,1,0.8492,1,0.7882,1,0.8771,1,0.7193,1,0.0130,1,0.0250,1,0.1209,1,0.0440,1,0.3257,1,0.0919,1,0.0929,1,0.3467,1,8,0.0130
occupancy,full,4,1.0000,1,0.5794,1,0.7902,1,0.7682,1,0.4935,1,0.2627,1,0.7712,1,0.9221,1,0.2827,1,0.8172,1,0.7622,1,0.7133,1,0.5804,1,8,0.2627
occupancy,full,5,0.9892,5,0.4987,5,0.6442,5,0.6270,5,0.4358,5,0.4879,5,0.3914,5,0.6148,5,0.3770,5,0.4244,5,0.4861,5,0.4202,5,0.5848,5,14,0.3770
occupancy,mean_removed,2,0.3852,7,0.4283,7,0.3429,7,0.3693,7,0.4319,7,0.5001,7,0.4905,7,0.3866,7,0.4096,7,0.4505,7,0.3482,7,0.2689,7,0.4103,7,25,0.2689
occupancy,mean_removed,3,0.7423,1,0.7393,1,0.7023,1,0.7542,1,0.4316,1,0.0140,1,0.0280,1,0.0070,1,0.0390,1,0.1858,1,0.0579,1,0.0320,1,0.2517,1,12,0.0070
occupancy,mean_removed,4,0.7013,1,0.5544,1,0.8062,1,0.7592,1,0.7602,1,0.3217,1,0.7902,1,0.9820,1,0.3187,1,0.8921,1,0.6983,1,0.8232,1,0.4446,1,14,0.3187
occupancy,mean_removed,5,0.5497,5,0.4987,5,0.6104,5,0.5750,5,0.4987,5,0.3856,5,0.2761,5,0.5383,5,0.4330,5,0.4807,5,0.3786,5,0.4454,5,0.4727,5,10,0.2761
occupancy,no_origin,2,0.0010,7,0.7209,7,0.6391,7,0.6225,7,0.6058,7,0.3628,7,0.4680,7,0.4099,7,0.3551,7,0.2887,7,0.3451,7,0.2399,7,0.3683,7,2,0.0010
occupancy,no_origin,3,0.0010,1,0.9051,1,0.9970,1,0.6174,1,0.7992,1,0.7942,1,0.8242,1,0.0699,1,0.0390,1,0.2328,1,0.1059,1,0.0999,1,0.3057,1,2,0.0010
occupancy,no_origin,4,0.0010,1,0.9071,1,0.2757,1,0.2587,1,0.1658,1,0.0559,1,0.8711,1,0.5864,1,0.4565,1,0.4865,1,0.7043,1,0.8322,1,0.7742,1,2,0.0010
occupancy,no_origin,5,0.0010,5,0.4795,5,0.5237,5,0.5199,5,0.4921,5,0.4823,5,0.3916,5,0.4769,5,0.3740,5,0.4282,5,0.3339,5,0.3526,5,0.6370,5,2,0.0010
occupancy_bin,full,2,0.2131,7,0.2941,7,0.4241,7,0.6058,7,0.5734,7,0.5920,7,0.6298,7,0.4607,7,0.5479,7,0.4253,7,0.4624,7,0.3487,7,0.4194,7,2,0.2131
occupancy_bin,full,3,0.0010,1,0.8641,1,0.7922,1,0.6883,1,0.7572,1,0.6444,1,0.9520,1,0.3826,1,0.2068,1,0.7792,1,0.3616,1,0.4515,1,0.3766,1,2,0.0010
occupancy_bin,full,4,0.0010,1,0.0010,1,0.6354,1,0.8551,1,0.6334,1,0.9241,1,0.9401,1,0.9321,1,0.4356,1,0.5614,1,0.1329,1,0.4296,1,0.9820,1,2,0.0010
occupancy_bin,full,5,0.3522,5,0.4517,5,0.4446,5,0.3662,5,0.3275,5,0.4304,5,0.4094,5,0.3277,5,0.2985,5,0.4825,5,0.5602,5,0.4222,5,0.4837,5,14,0.2985
occupancy_bin,mean_removed,2,0.3417,7,0.3843,7,0.4585,7,0.5671,7,0.6536,7,0.5457,7,0.6466,7,0.5325,7,0.5570,7,0.4381,7,0.4877,7,0.3321,7,0.3919,7,25,0.3321
occupancy_bin,mean_removed,3,0.7193,1,0.9191,1,0.6743,1,0.5954,1,0.7413,1,0.3696,1,0.5624,1,0.0220,1,0.0559,1,0.3686,1,0.1698,1,0.1409,1,0.1838,1,12,0.0220
occupancy_bin,mean_removed,4,0.3487,1,0.5704,1,0.5674,1,0.9730,1,0.5584,1,0.3187,1,0.6384,1,0.6593,1,0.7443,1,0.8422,1,0.1798,1,0.5754,1,0.9680,1,20,0.1798
occupancy_bin,mean_removed,5,0.6925,5,0.5409,5,0.5447,5,0.4739,5,0.4861,5,0.3395,5,0.3245,5,0.3586,5,0.3347,5,0.3958,5,0.4122,5,0.4621,5,0.4863,5,10,0.3245
occupancy_bin,no_origin,2,0.0010,7,0.3228,7,0.2703,7,0.4698,7,0.5475,7,0.4955,7,0.6177,7,0.5011,7,0.4477,7,0.3615,7,0.4470,7,0.3535,7,0.4564,7,2,0.0010
occupancy_bin,no_origin,3,0.0010,1,0.5564,1,0.9001,1,0.9980,1,0.9740,1,0.6863,1,0.9800,1,0.3107,1,0.1578,1,0.6943,1,0.3876,1,0.3606,1,0.3217,1,2,0.0010
occupancy_bin,no_origin,4,0.0010,1,0.0010,1,0.2877,1,0.4176,1,0.2617,1,0.6713,1,0.9011,1,0.7572,1,0.4955,1,0.6643,1,0.2178,1,0.3646,1,0.7203,1,2,0.0010
occupancy_bin,no_origin,5,0.0010,5,0.2593,5,0.5850,5,0.4296,5,0.5750,5,0.4879,5,0.4709,5,0.3646,5,0.3628,5,0.4038,5,0.5415,5,0.4521,5,0.4214,5,2,0.0010
