method,monkey,source,scope,maze,session,k,feature,variant,reason_skipped,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_degenerate,n_rounds,n_perm
block_means,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy,full,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy,no_origin,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy,mean_removed,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy_bin,full,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy_bin,no_origin,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy_bin,mean_removed,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy,full,,1.0,1.0,1.0,1.0,0.0,-0.03162277660168485,0.984015984015984,0,2.0000000000000683e-05,0.0006324555320336763,46,23,11,2,0,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,46,23,11,1,69,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy,mean_removed,,-0.36,-0.58,0.020000000000000018,-0.04,-0.45999999999999996,-1.0602175806933247,0.2937062937062937,0,-0.010320000000000001,0.42413935421249443,46,23,11,2,0,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy_bin,full,,1.0,1.0,1.0,1.0,0.0,0.12714270955250473,0.9820179820179821,0,-5.735197750675325e-05,0.0004510834927823308,46,23,11,2,34,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy_bin,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,46,23,11,1,69,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy_bin,mean_removed,,-0.2,0.7,0.06,-0.2,0.31999999999999995,0.7534261588748881,0.4955044955044955,0,0.006120000000000004,0.41660353347529844,46,23,11,2,0,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy,full,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy,no_origin,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy,mean_removed,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy_bin,full,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy_bin,no_origin,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy_bin,mean_removed,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy,full,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy,no_origin,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy,mean_removed,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy_bin,full,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy_bin,no_origin,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy_bin,mean_removed,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy,full,,1.0,1.0,1.0,1.0,0.0,nan,1.0,0,0.0,0.0,55,11,5,2,0,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,55,11,5,1,66,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy,mean_removed,,-0.1,-1.1102230246251566e-18,-0.16,0.06,0.0,-0.010821464667440876,0.995004995004995,0,0.0035399999999999993,0.3271276217027246,55,11,5,2,0,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy_bin,full,,1.0,1.0,1.0,1.0,0.0,0.05482716529388043,1.0,0,-3.3306690738754697e-19,6.074851865900177e-18,55,11,5,2,21,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy_bin,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,55,11,5,1,66,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy_bin,mean_removed,,-0.12,-0.54,-0.1,0.04,-0.3,-0.8082514983152893,0.5014985014985015,0,-0.014060000000000003,0.3537760221861762,55,11,5,2,0,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_7_g0,2,occupancy,full,,0.98,0.98,1.0,0.96,0.0,-0.026829056165721153,0.985014985014985,0,0.00012000000000000049,0.004472762636850477,54,20,10,2,1,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_7_g0,2,occupancy,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,54,20,10,1,74,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_7_g0,2,occupancy,mean_removed,,-0.28,-0.94,-0.12,-0.06,-0.52,-1.2100075562729933,0.23076923076923078,0,-0.02286,0.41085693839075405,54,20,10,2,0,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_7_g0,2,occupancy_bin,full,,1.0,1.0,1.0,1.0,0.0,0.09370564020577223,0.8221778221778222,0,-0.0006423974283474012,0.006855483052426014,54,20,10,2,29,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_7_g0,2,occupancy_bin,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,54,20,10,1,74,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_7_g0,2,occupancy_bin,mean_removed,,0.13793103448275856,0.7058823529411763,-0.408450704225352,-0.3898305084745762,0.8210473000619315,1.5544803379411154,0.09090909090909091,0,-0.08131885826665422,0.5804937742240956,54,20,10,2,0,100,1000
block_means,Nielsen,svm,top_ten,2,Oct_25_g0,2,occupancy,full,"n_H=68, n_S=2; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Oct_25_g0,2,occupancy,no_origin,"n_H=68, n_S=2; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Oct_25_g0,2,occupancy,mean_removed,"n_H=68, n_S=2; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Oct_25_g0,2,occupancy_bin,full,"n_H=68, n_S=2; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Oct_25_g0,2,occupancy_bin,no_origin,"n_H=68, n_S=2; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Oct_25_g0,2,occupancy_bin,mean_removed,"n_H=68, n_S=2; need >= 10 of each",,,,,,,,,,,,,,,,,
block_means,Nielsen,svm,top_ten,2,Nov_1_g0,2,occupancy,full,,0.98,-0.38,0.24,0.36,0.0,0.050749185266500185,0.954045954045954,0,-0.00012000000000000355,0.002364569980184809,41,12,6,2,3,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_1_g0,2,occupancy,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,41,12,6,1,53,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_1_g0,2,occupancy,mean_removed,,0.06,1.0,-0.46,-0.48,1.0,2.4806160258187613,0.004995004995004995,0,-0.002499999999999997,0.40413348521729037,41,12,6,2,0,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_1_g0,2,occupancy_bin,full,,1.0,-1.0,0.28125,0.38823529411764707,-0.3347426470588235,-13.963033028758781,0.003996003996003996,0,-0.003596454623361801,0.02371592130115432,41,12,6,2,18,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_1_g0,2,occupancy_bin,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,41,12,6,1,53,100,1000
block_means,Nielsen,svm,top_ten,2,Nov_1_g0,2,occupancy_bin,mean_removed,,0.18,0.94,-0.46,-0.54,1.06,2.466630538990276,0.004995004995004995,0,0.003739999999999997,0.42821978537263383,41,12,6,2,0,100,1000
