feature,variant,maze,K2,n_K2,K3,n_K3,K4,n_K4,K5,n_K5,K6,n_K6,K8,n_K8,K10,n_K10,K12,n_K12,K14,n_K14,K16,n_K16,K20,n_K20,K25,n_K25,K30,n_K30,best_k,best_p
occupancy,full,2,0.3643,7,0.4410,7,0.4936,7,0.4722,7,0.4588,7,0.4326,7,0.2603,7,0.3728,7,0.3975,7,0.4317,7,0.4428,7,0.3242,7,0.4434,7,10,0.2603
occupancy,full,3,0.1978,1,0.7762,1,0.9281,1,0.9481,1,0.9750,1,0.0310,1,0.0380,1,0.0090,1,0.0140,1,0.0629,1,0.0090,1,0.0080,1,0.2258,1,25,0.0080
occupancy,full,4,0.7692,1,0.2527,1,0.9101,1,0.5435,1,0.7033,1,0.5884,1,0.4336,1,0.5744,1,0.2108,1,0.6464,1,0.8182,1,0.5095,1,0.5674,1,14,0.2108
occupancy,full,5,0.5544,5,0.5105,5,0.5806,5,0.7800,5,0.6450,5,0.5243,5,0.3029,5,0.4945,5,0.2557,5,0.5698,5,0.3371,5,0.3487,5,0.4607,5,14,0.2557
occupancy,mean_removed,2,0.5436,7,0.4687,7,0.4147,7,0.4735,7,0.5223,7,0.3596,7,0.4180,7,0.4347,7,0.4250,7,0.4809,7,0.4209,7,0.3111,7,0.3926,7,25,0.3111
occupancy,mean_removed,3,0.1309,1,0.4785,1,0.6084,1,0.4615,1,0.5734,1,0.0250,1,0.0370,1,0.0080,1,0.0180,1,0.0989,1,0.0160,1,0.0260,1,0.4685,1,12,0.0080
occupancy,mean_removed,4,0.4436,1,0.3127,1,0.6643,1,0.5425,1,0.9071,1,0.4735,1,0.4406,1,0.6953,1,0.3077,1,0.5774,1,0.9071,1,0.5944,1,0.4036,1,14,0.3077
occupancy,mean_removed,5,0.7289,5,0.4941,5,0.5179,5,0.5199,5,0.4082,5,0.4202,5,0.2298,5,0.4178,5,0.3355,5,0.5063,5,0.3594,5,0.3682,5,0.4474,5,10,0.2298
occupancy,no_origin,2,0.0010,7,0.5659,7,0.3625,7,0.4558,7,0.5253,7,0.4434,7,0.4097,7,0.4822,7,0.4500,7,0.3347,7,0.3701,7,0.3417,7,0.4438,7,2,0.0010
occupancy,no_origin,3,0.0010,1,0.7802,1,0.8781,1,0.6723,1,0.9970,1,0.2867,1,0.2867,1,0.0070,1,0.0090,1,0.0240,1,0.0050,1,0.0050,1,0.1748,1,2,0.0010
occupancy,no_origin,4,0.0010,1,0.6573,1,0.9251,1,0.3926,1,0.5435,1,0.3267,1,0.4925,1,0.6923,1,0.2767,1,0.5624,1,0.8072,1,0.5065,1,0.5894,1,2,0.0010
occupancy,no_origin,5,0.0010,5,0.4615,5,0.6178,5,0.6328,5,0.6442,5,0.4969,5,0.3642,5,0.3429,5,0.1862,5,0.4178,5,0.5085,5,0.2591,5,0.4917,5,2,0.0010
occupancy_bin,full,2,0.0708,7,0.2597,7,0.4070,7,0.5950,7,0.6051,7,0.4811,7,0.5275,7,0.4852,7,0.5446,7,0.4280,7,0.4480,7,0.4190,7,0.4313,7,2,0.0708
occupancy_bin,full,3,0.0010,1,0.8482,1,0.6084,1,0.6314,1,0.8571,1,0.4066,1,0.7453,1,0.0290,1,0.0330,1,0.4076,1,0.0759,1,0.0829,1,0.1828,1,2,0.0010
occupancy_bin,full,4,0.0010,1,0.0010,1,0.4366,1,0.7483,1,0.4865,1,0.7642,1,0.7952,1,0.9850,1,0.5764,1,0.8072,1,0.2458,1,0.4875,1,0.9141,1,2,0.0010
occupancy_bin,full,5,0.2951,5,0.5185,5,0.5053,5,0.5315,5,0.4222,5,0.3854,5,0.3836,5,0.4056,5,0.3504,5,0.5237,5,0.5247,5,0.4781,5,0.4783,5,2,0.2951
occupancy_bin,mean_removed,2,0.2535,7,0.3183,7,0.5173,7,0.5121,7,0.6084,7,0.5473,7,0.5604,7,0.5504,7,0.6061,7,0.4744,7,0.4484,7,0.3995,7,0.4060,7,2,0.2535
occupancy_bin,mean_removed,3,0.9500,1,0.8412,1,0.7692,1,0.8641,1,0.3826,1,0.1319,1,0.5594,1,0.0080,1,0.0140,1,0.1948,1,0.0569,1,0.0739,1,0.1658,1,12,0.0080
occupancy_bin,mean_removed,4,0.1239,1,0.1049,1,0.1349,1,0.1868,1,0.8561,1,0.1029,1,0.6873,1,0.5105,1,0.8811,1,0.6304,1,0.2997,1,0.6064,1,0.7962,1,8,0.1029
occupancy_bin,mean_removed,5,0.5884,5,0.4362,5,0.4378,5,0.4587,5,0.4004,5,0.2913,5,0.3754,5,0.3860,5,0.4462,5,0.3780,5,0.4797,5,0.4476,5,0.4825,5,8,0.2913
occupancy_bin,no_origin,2,0.0010,7,0.2295,7,0.4073,7,0.6692,7,0.6455,7,0.5198,7,0.6619,7,0.6347,7,0.5211,7,0.4156,7,0.4822,7,0.3925,7,0.4670,7,2,0.0010
occupancy_bin,no_origin,3,0.0010,1,0.9241,1,0.9920,1,0.8841,1,0.9241,1,0.4466,1,0.7612,1,0.0480,1,0.0270,1,0.1988,1,0.0599,1,0.0480,1,0.1169,1,2,0.0010
occupancy_bin,no_origin,4,0.0010,1,0.0010,1,0.5764,1,0.6184,1,0.6623,1,0.5954,1,0.7752,1,0.8222,1,0.5844,1,0.8462,1,0.3726,1,0.4505,1,0.9790,1,2,0.0010
occupancy_bin,no_origin,5,0.0010,5,0.5143,5,0.5884,5,0.4943,5,0.5185,5,0.4362,5,0.4236,5,0.2899,5,0.2755,5,0.3371,5,0.5023,5,0.4278,5,0.4046,5,2,0.0010
