method,monkey,source,scope,maze,session,k,feature,variant,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_degenerate,n_rounds,n_perm,reason_skipped
trial_by_trial,Faure,svm,top_ten,2,june_24_g0,2,occupancy,full,-0.014380165289256201,0.380495867768595,0.12826446280991732,0.10760330578512399,0.06512396694214875,1.3980041636332312,0.1048951048951049,0,-0.0017614876033057896,0.0478435302879413,27,22,11,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_24_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,27,22,11,1,49,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_24_g0,2,occupancy,mean_removed,-0.008925619834710742,-0.04066115702479339,0.0036363636363636385,0.00462809917355372,-0.028925619834710745,-0.48575724091005973,0.6523476523476524,0,0.0020880991735537187,0.06384612805804124,27,22,11,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_24_g0,2,occupancy_bin,full,0.255796409674981,0.9999999999999999,0.6040396825396824,0.5177142857142857,0.06702122071050642,1.1347158828872985,0.2057942057942058,0,0.002946151236188092,0.05646794095388753,27,22,11,2,26,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_24_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,27,22,11,1,49,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_24_g0,2,occupancy_bin,mean_removed,-0.011570247933884292,-0.01685950413223141,0.034710743801652885,0.03603305785123967,-0.04958677685950413,-0.8815452689381061,0.17682317682317683,0,0.00020561983471074484,0.0564830853827778,27,22,11,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_8_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_8_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_8_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_8_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_8_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_8_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=33, n_S=8; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_28_g0,2,occupancy,full,0.17444444444444443,0.19555555555555557,0.21777777777777774,0.23777777777777775,-0.04277777777777775,-0.7408622819411047,0.33466533466533466,0,0.000688888888888908,0.05867037332873974,51,12,6,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_28_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,51,12,6,1,63,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_28_g0,2,occupancy,mean_removed,0.01,-0.05333333333333333,-0.014444444444444447,-2.220446049250313e-18,-0.01444444444444444,-0.20290705443210114,0.8091908091908092,0,0.0013755555555555565,0.07796673232617375,51,12,6,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_28_g0,2,occupancy_bin,full,0.2622950819672131,0.9999999999999999,0.590717299578059,0.6645299145299144,0.0035239339296198047,nan,0.000999000999000999,1,nan,nan,51,12,6,2,45,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_28_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,51,12,6,1,63,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_28_g0,2,occupancy_bin,mean_removed,0.40777777777777774,-0.07555555555555556,-0.011111111111111117,0.02666666666666666,0.15833333333333333,2.5623382683117795,0.03796203796203796,0,0.0026200000000000186,0.0607700143494038,51,12,6,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_29_g0,2,occupancy,full,0.4008163265306122,0.6189795918367347,0.5140816326530612,0.5293877551020408,-0.011836734693877582,-0.5306733582517277,0.5834165834165834,0,0.0008074489795918358,0.02382667883521596,29,29,14,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_29_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,29,29,14,1,58,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_29_g0,2,occupancy,mean_removed,0.02571428571428571,-0.03612244897959184,-0.007142857142857146,-0.009591836734693883,0.0031632653061224505,0.007918240959831745,0.983016983016983,0,0.0027440816326530617,0.052938989302782735,29,29,14,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_29_g0,2,occupancy_bin,full,-0.0218968253968254,0.9999999999999999,0.2921904761904761,0.34919047619047616,0.16836111111111113,3.7852615556347793,0.002997002997002997,0,0.0017804849394720294,0.04400769239411355,29,29,14,2,32,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_29_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,29,29,14,1,58,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_29_g0,2,occupancy_bin,mean_removed,0.3218367346938776,-0.010204081632653059,-0.09102040816326529,-0.1140816326530612,0.2583673469387755,5.227499097603254,0.006993006993006993,0,0.0004274489795918375,0.0493428871326723,29,29,14,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_16_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_16_g0,2,occupancy,no_origin,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_16_g0,2,occupancy,mean_removed,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_16_g0,2,occupancy_bin,full,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_16_g0,2,occupancy_bin,no_origin,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_16_g0,2,occupancy_bin,mean_removed,,,,,,,,,,,,,,,,,,"n_H=5, n_S=32; need >= 10 of each"
trial_by_trial,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy,full,0.05530303030303032,0.05515151515151515,0.08764692378328742,0.09374196510560147,-0.0354671717171717,-0.7104782054127635,0.24975024975024976,0,-0.0002684100091827386,0.04954235251669639,35,24,12,2,2,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,35,24,12,1,59,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy,mean_removed,-0.033333333333333326,0.03166666666666666,0.010833333333333339,0.01027777777777778,-0.011388888888888891,-0.2409009957589708,0.8741258741258742,0,0.0007144444444444444,0.05024193982760914,35,24,12,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy_bin,full,0.13340476190476186,0.19970634920634914,0.27336507936507926,0.2465507936507936,-0.0934023809523809,-0.7915002735429545,0.2827172827172827,0,0.004494121174510747,0.12368473568389592,35,24,12,2,39,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,35,24,12,1,59,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_09_09_g0,2,occupancy_bin,mean_removed,0.23499999999999996,0.13499999999999993,0.20277777777777772,0.23027777777777775,-0.03152777777777779,-0.8403977817209567,0.17582417582417584,0,0.0004606944444444356,0.03806348959741018,35,24,12,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_18_g0,2,occupancy,full,-0.044761904761904746,0.34285714285714286,0.14741496598639456,0.12510204081632653,0.012789115646258536,0.29900254819184313,0.7182817182817183,0,-0.00153122448979592,0.047893705999008336,14,49,7,2,1,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_18_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,14,49,7,1,63,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_18_g0,2,occupancy,mean_removed,0.11265306122448981,-0.03551020408163265,-0.04040816326530612,0.009795918367346945,0.05387755102040817,0.8057962323217011,0.24475524475524477,0,-0.0004812244897959186,0.06745970424009408,14,49,7,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_18_g0,2,occupancy_bin,full,0.9999999999999999,0.7645614035087719,0.8835087719298245,0.8964157706093188,-0.007681569515185727,nan,0.000999000999000999,1,nan,nan,14,49,7,2,41,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_18_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,14,49,7,1,63,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_18_g0,2,occupancy_bin,mean_removed,0.12081632653061225,0.05877551020408163,0.11061224489795919,0.13510204081632654,-0.033061224489795926,-0.5306311462886606,0.5174825174825175,0,-0.00012285714285713753,0.06207394265737368,14,49,7,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_10_g0,2,occupancy,full,0.48071428571428576,0.191875,0.35,0.364375,-0.020892857142857102,-0.6107488347452368,0.5024975024975025,0,0.0003941071428571441,0.03485387621671637,48,16,8,2,1,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_10_g0,2,occupancy,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,48,16,8,1,64,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_10_g0,2,occupancy,mean_removed,0.01125,-0.0525,0.050625,0.024375,-0.058125,-0.9961112842467186,0.10989010989010989,0,0.0003884374999999998,0.05874186792718562,48,16,8,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_10_g0,2,occupancy_bin,full,0.3333333333333333,0.9999999999999998,0.6954022988505746,0.6969696969696969,-0.02951933124346917,nan,0.000999000999000999,1,nan,nan,48,16,8,2,54,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_10_g0,2,occupancy_bin,no_origin,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,48,16,8,1,64,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_10_g0,2,occupancy_bin,mean_removed,0.521875,0.3449999999999999,0.47937499999999994,0.44375,-0.028125000000000067,-0.9756176540461471,0.0969030969030969,0,-0.001166250000000001,0.027632495053974193,48,16,8,2,0,100,1000,
trial_by_trial,Faure,svm,top_ten,2,june_22_g0,2,occupancy,full,,,,,,,,,,,,,,,,,,"n_H=41, n_S=8; need >= 10 of each"
