feature,variant,maze,K2,n_K2,K3,n_K3,K4,n_K4,K5,n_K5,K6,n_K6,K8,n_K8,K10,n_K10,K12,n_K12,K14,n_K14,K16,n_K16,K20,n_K20,K25,n_K25,K30,n_K30,best_k,best_p
occupancy,full,2,0.4367,6,0.3658,6,0.5285,6,0.5143,6,0.3640,6,0.3834,6,0.2131,6,0.2433,6,0.3473,6,0.3105,6,0.4972,6,0.3874,6,0.4481,6,10,0.2131
occupancy,full,3,0.4056,2,0.1743,2,0.5350,2,0.4326,2,0.3616,2,0.2038,2,0.4945,2,0.4960,2,0.5779,2,0.5884,2,0.4206,2,0.4171,2,0.6863,2,3,0.1743
occupancy,full,4,0.6177,10,0.5574,10,0.5746,10,0.5381,10,0.6121,10,0.5315,10,0.4774,10,0.4944,10,0.4231,10,0.4962,10,0.3640,10,0.3469,10,0.2967,10,30,0.2967
occupancy,full,5,0.3257,4,0.3342,4,0.1456,4,0.2587,4,0.3027,4,0.4605,4,0.2940,4,0.3701,4,0.2920,4,0.4618,4,0.5504,4,0.4515,4,0.4780,4,4,0.1456
occupancy,mean_removed,2,0.4559,6,0.3077,6,0.3332,6,0.3919,6,0.4182,6,0.3901,6,0.2929,6,0.3668,6,0.4792,6,0.3864,6,0.4174,6,0.4622,6,0.3968,6,10,0.2929
occupancy,mean_removed,3,0.4980,2,0.3412,2,0.5480,2,0.7148,2,0.5070,2,0.4835,2,0.4870,2,0.3322,2,0.3586,2,0.4550,2,0.3347,2,0.5065,2,0.7188,2,12,0.3322
occupancy,mean_removed,4,0.4477,10,0.4454,10,0.3825,10,0.3540,10,0.3907,10,0.4363,10,0.3660,10,0.4008,10,0.2735,10,0.4156,10,0.3141,10,0.3470,10,0.3071,10,14,0.2735
occupancy,mean_removed,5,0.3467,4,0.2555,4,0.3629,4,0.2810,4,0.4038,4,0.3269,4,0.2363,4,0.2160,4,0.2485,4,0.4388,4,0.5947,4,0.4998,4,0.4088,4,12,0.2160
occupancy,no_origin,2,0.0010,6,0.3538,6,0.2904,6,0.2641,6,0.4620,6,0.4172,6,0.2621,6,0.3019,6,0.5513,6,0.5704,6,0.5303,6,0.5746,6,0.4071,6,2,0.0010
occupancy,no_origin,3,0.0010,2,0.3606,2,0.8751,2,0.5460,2,0.4835,2,0.4121,2,0.8631,2,0.5974,2,0.8686,2,0.9361,2,0.6189,2,0.5854,2,0.9071,2,2,0.0010
occupancy,no_origin,4,0.0010,10,0.5384,10,0.6308,10,0.4593,10,0.4499,10,0.4789,10,0.4670,10,0.4102,10,0.3485,10,0.5826,10,0.3883,10,0.4120,10,0.3433,10,2,0.0010
occupancy,no_origin,5,0.0010,4,0.2547,4,0.1826,4,0.1711,4,0.1866,4,0.3019,4,0.2293,4,0.3584,4,0.1184,4,0.5095,4,0.4578,4,0.5332,4,0.5599,4,2,0.0010
occupancy_bin,full,2,0.4351,6,0.2952,6,0.2804,6,0.2396,6,0.2539,6,0.2874,6,0.2283,6,0.2777,6,0.3497,6,0.3122,6,0.4439,6,0.3435,6,0.4978,6,10,0.2283
occupancy_bin,full,3,0.3387,2,0.2897,2,0.2128,2,0.2722,2,0.1693,2,0.1084,2,0.2842,2,0.1548,2,0.4121,2,0.3836,2,0.3956,2,0.3137,2,0.6074,2,8,0.1084
occupancy_bin,full,4,0.5829,10,0.6717,10,0.5587,10,0.3682,10,0.5236,10,0.5852,10,0.3538,10,0.4355,10,0.3606,10,0.5498,10,0.4621,10,0.4915,10,0.4439,10,10,0.3538
occupancy_bin,full,5,0.5012,4,0.3082,4,0.2777,4,0.3649,4,0.3484,4,0.3684,4,0.4143,4,0.5097,4,0.2980,4,0.3746,4,0.4023,4,0.4605,4,0.5919,4,4,0.2777
occupancy_bin,mean_removed,2,0.2987,6,0.3894,6,0.3032,6,0.1966,6,0.2253,6,0.3307,6,0.2090,6,0.2522,6,0.3343,6,0.3497,6,0.4214,6,0.3510,6,0.5228,6,5,0.1966
occupancy_bin,mean_removed,3,0.3921,2,0.2353,2,0.2887,2,0.4041,2,0.2827,2,0.2443,2,0.4201,2,0.3207,2,0.5794,2,0.5619,2,0.4990,2,0.2912,2,0.8257,2,3,0.2353
occupancy_bin,mean_removed,4,0.5211,10,0.6398,10,0.5364,10,0.4269,10,0.5182,10,0.4773,10,0.2918,10,0.3605,10,0.3873,10,0.5223,10,0.4831,10,0.4849,10,0.4458,10,10,0.2918
occupancy_bin,mean_removed,5,0.2223,4,0.4213,4,0.4683,4,0.3194,4,0.2752,4,0.3137,4,0.4033,4,0.4398,4,0.2008,4,0.2852,4,0.4543,4,0.4510,4,0.6129,4,14,0.2008
occupancy_bin,no_origin,2,0.0010,6,0.5152,6,0.3999,6,0.3830,6,0.4164,6,0.3786,6,0.2501,6,0.2542,6,0.4276,6,0.4802,6,0.4814,6,0.6011,6,0.4957,6,2,0.0010
occupancy_bin,no_origin,3,0.0010,2,0.4715,2,0.5914,2,0.4685,2,0.4256,2,0.4031,2,0.7198,2,0.4216,2,0.6983,2,0.6948,2,0.5909,2,0.4620,2,0.5974,2,2,0.0010
occupancy_bin,no_origin,4,0.0010,10,0.5327,10,0.5508,10,0.5088,10,0.4682,10,0.5188,10,0.3323,10,0.3680,10,0.3733,10,0.3964,10,0.3897,10,0.4089,10,0.4563,10,2,0.0010
occupancy_bin,no_origin,5,0.0010,4,0.0260,4,0.1506,4,0.1838,4,0.1978,4,0.2320,4,0.3132,4,0.4123,4,0.2490,4,0.5899,4,0.5190,4,0.5237,4,0.6174,4,2,0.0010
