method,monkey,source,scope,maze,session,k,feature,variant,reason_skipped,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_degenerate,n_rounds,n_perm
trial_by_trial,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy,full,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy,no_origin,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy,mean_removed,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy_bin,full,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy_bin,no_origin,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_6_g0,2,occupancy_bin,mean_removed,"n_H=51, n_S=5; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy,full,,0.391900826446281,0.4117355371900826,0.41834710743801656,0.42099173553719005,-0.017851239669421537,-0.7125928520253536,0.34965034965034963,0,0.00023272727272728106,0.025377699047569736,46,23,11,2,0,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,46,23,11,1,69,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy,mean_removed,,-0.022644628099173548,-0.036033057851239676,-0.0013223140495867759,-0.00016528925619834753,-0.028595041322314052,-0.5758417775272967,0.44755244755244755,0,-0.0018449586776859502,0.04645387620101959,46,23,11,2,0,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy_bin,full,,0.6499214285714284,0.9999999999999999,0.8397142857142854,0.7878650793650793,0.011171031746031734,0.7967705755660708,0.4515484515484515,0,-0.0006863065719274843,0.014881747245165392,46,23,11,2,34,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy_bin,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,46,23,11,1,69,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Oct_22_g0,2,occupancy_bin,mean_removed,,-0.006280991735537192,-0.03471074380165289,-0.006611570247933883,-0.015206611570247934,-0.009586776859504135,-0.20396887725366009,0.8371628371628371,0,-0.00035586776859504096,0.045256458804885887,46,23,11,2,0,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy,full,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy,no_origin,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy,mean_removed,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy_bin,full,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy_bin,no_origin,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_3_g0,2,occupancy_bin,mean_removed,"n_H=82, n_S=4; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy,full,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy,no_origin,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy,mean_removed,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy_bin,full,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy_bin,no_origin,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Nov_18_g0,2,occupancy_bin,mean_removed,"n_H=63, n_S=3; need >= 10 of each",,,,,,,,,,,,,,,,,
trial_by_trial,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy,full,,0.8399999999999999,1.0,0.92,0.9119999999999999,0.0040000000000000036,0.33396631109875297,0.7432567432567433,0,-0.000169599999999963,0.0124850916437707,55,11,5,2,0,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,55,11,5,1,66,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy,mean_removed,,-0.00639999999999999,-0.0904,0.0023999999999999968,0.011199999999999996,-0.055199999999999985,-0.6465756994984215,0.3856143856143856,0,0.0012448000000000019,0.08729805348977206,55,11,5,2,0,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy_bin,full,,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.05482716529388043,1.0,0,-3.3306690738754697e-19,6.074851865900177e-18,55,11,5,2,21,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy_bin,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,55,11,5,1,66,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Oct_21_g0,2,occupancy_bin,mean_removed,,0.12879999999999997,-0.0296,0.09759999999999999,0.128,-0.0632,-0.8845309168921405,0.19080919080919082,0,-0.0020624000000000003,0.06911866937880602,55,11,5,2,0,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Nov_7_g0,2,occupancy,full,,0.4263999999999999,0.43911111111111123,0.4285333333333334,0.46284444444444445,-0.012933333333333352,-0.457646902050033,0.6103896103896104,0,-0.0008081777777777914,0.02649456491727755,54,20,10,2,1,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Nov_7_g0,2,occupancy,no_origin,,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,54,20,10,1,74,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Nov_7_g0,2,occupancy,mean_removed,,0.056400000000000006,-0.0512,0.011999999999999997,0.032799999999999996,-0.019799999999999995,-0.3732096638359349,0.6933066933066933,0,-0.0007226000000000029,0.05111711150219981,54,20,10,2,0,100,1000
trial_by_trial,Nielsen,svm,top_ten,2,Nov_7_g0,2,occupancy_bin,full,,0.69093820861678,0.568642857142857,0.6544994708994709,0.6550306122448979,-0.024974508692365838,-0.9146511095858376,0.17682317682317683,0,0.0008807492151293696,0.02826789104230432,54,20,10,2,29,100,1000
