method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Nielsen,svm,top_ten,full,occupancy,2,2,1.0,1.0,1.0,1.0,0.0,nan,1.0,0,0.0,0.0,552,111,55,2,10,7,100,1000,
block_means,Nielsen,svm,top_ten,mean_removed,occupancy,2,2,-0.14,-0.76,-0.12,-0.18,-0.30000000000000004,-0.794201501526618,0.5024975024975025,0,-0.014280000000000001,0.35975756712973683,552,111,55,2,10,0,100,1000,
block_means,Nielsen,svm,top_ten,no_origin,occupancy,2,2,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,552,111,55,1,10,663,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy_bin,2,2,1.0,1.0,1.0,1.0,0.0,nan,1.0,0,0.0,0.0,552,111,55,2,10,251,100,1000,
block_means,Nielsen,svm,top_ten,mean_removed,occupancy_bin,2,2,-0.28,-0.44,-0.10000000000000002,-0.1,-0.26,-0.6465487806784145,0.6043956043956044,0,-0.03373999999999999,0.349950393166914,552,111,55,2,10,0,100,1000,
block_means,Nielsen,svm,top_ten,no_origin,occupancy_bin,2,2,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,552,111,55,1,10,663,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy,2,3,0.9908919935672668,0.9890233102444443,0.9884503334338725,0.9926215787335073,-0.0005783041778344433,-0.08754332724175704,0.9400599400599401,0,-0.00028319749429701056,0.0033709786095115503,552,111,55,3,10,4,100,1000,
block_means,Nielsen,svm,top_ten,mean_removed,occupancy,2,3,-0.07457642400108364,0.3614476820513836,-0.1541753112775859,-0.14528417030450252,0.29316536981619423,1.0878244654817306,0.3156843156843157,0,-0.02770989932603981,0.29496971186443954,552,111,55,3,10,0,100,1000,
block_means,Nielsen,svm,top_ten,no_origin,occupancy,2,3,1.0,1.0,1.0,1.0,0.0,nan,1.0,0,0.0,0.0,552,111,55,2,10,320,100,1000,
block_means,Nielsen,svm,top_ten,full,occupancy_bin,2,3,0.9891491895278088,0.9832481753474666,0.9867663610598315,0.9882628661963679,-0.0013159311904620274,-0.22061055622422043,0.8321678321678322,0,-0.0003255427799511071,0.004489306529395294,552,111,55,3,10,48,100,1000,
