method,monkey,source,scope,variant,feature,maze,k,r_HH,r_SS,r_HS,r_SH,delta,z,p,p_at_floor,null_mean,null_sd,n_H,n_S,m,d,n_sessions,n_degenerate,n_rounds,n_perm,reason_skipped
block_means,Faure,svm,top_ten,full,occupancy,2,2,1.0,1.0,1.0,1.0,0.0,nan,1.0,0,0.0,0.0,319,210,105,2,10,3,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,2,2,0.84,0.98,-0.9,-0.92,1.8199999999999998,3.0138451037612595,0.002997002997002997,0,0.11105999999999999,0.5670298045069582,319,210,105,2,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,2,2,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,319,210,105,1,10,529,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,2,2,1.0,1.0,1.0,1.0,0.0,nan,1.0,0,0.0,0.0,319,210,105,2,10,376,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,2,2,0.74,1.0,-0.86,-0.88,1.74,2.734869794061789,0.002997002997002997,0,0.15272,0.580385948700905,319,210,105,2,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,2,2,nan,nan,nan,nan,nan,nan,0.000999000999000999,1,nan,nan,319,210,105,1,10,529,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,2,3,0.9911237986342567,0.9932187749565842,0.9786175191023636,0.9779567566814411,0.013884148903518079,2.6405875570929975,0.03596403596403597,0,0.00032741984720032613,0.005133982026046601,319,210,105,3,10,2,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,2,3,0.6129716668558853,0.8200422493755818,-0.7521170747485347,-0.869884419109176,1.5275077050445889,3.2616392799628904,0.001998001998001998,0,0.011110372542056986,0.4649187731513293,319,210,105,3,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,2,3,1.0,1.0,1.0,1.0,0.0,nan,1.0,0,0.0,0.0,319,210,105,2,10,46,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,2,3,0.9473161289918227,0.965209570190822,0.9409486358568074,0.9360294110539467,0.017773826135945248,0.8147066017204359,0.18681318681318682,0,-0.0014211760549053193,0.023560631705102194,319,210,105,3,10,244,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,2,3,0.30488690531837187,0.5658601506394711,-0.5985183221621835,-0.5886470518263492,1.028956214973188,2.3285780668700107,0.017982017982017984,0,0.004119056047779355,0.44011286265482913,319,210,105,3,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,2,3,0.9591836734693877,0.5384615384615384,0.711340206185567,0.8043478260869565,-0.009021410170798827,0.01765973964280445,0.9410589410589411,0,-0.009939569914221463,0.05199169194981562,319,210,105,2,10,300,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,2,4,0.9943390721920625,0.9938167265949761,0.9804776723074552,0.9802769609358642,0.013700582771859593,4.198241796095512,0.006993006993006993,0,0.00026722420179805926,0.0031997581898581813,319,210,105,4,10,1,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,2,4,0.500829653787236,0.7276806641403829,-0.7033211188498837,-0.785456778493398,1.3586441076354503,3.1776918558071396,0.002997002997002997,0,0.018212238283210978,0.4218256301040137,319,210,105,4,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,2,4,0.9935687585936326,0.9862472781850129,0.9935733643129696,0.9937289554414712,-0.003743141487897672,-0.7529725935855329,0.26173826173826176,0,-0.001015248943341124,0.0036228311200103155,319,210,105,3,10,35,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,2,4,0.9936216785796613,0.9905553576431503,0.9779283047137752,0.9788801074625545,0.013684312023241052,4.142731123934964,0.006993006993006993,0,0.00014949367627114797,0.0032671244988050027,319,210,105,4,10,6,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,2,4,0.36268191271458144,0.6113829418532657,-0.6355806992309077,-0.6492691230905766,1.1294573384446656,2.5556537877605336,0.008991008991008992,0,0.07837564985334675,0.41127702571652314,319,210,105,4,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,2,4,0.9936612317306076,0.9879556158307917,0.9945614116480123,0.9947189561947419,-0.0038317601406774315,-0.8182143035012093,0.20679320679320679,0,-0.0010635283849153884,0.0033832600382522546,319,210,105,3,10,40,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,2,5,0.9955279545751098,0.9946020984465648,0.9840100928410618,0.9838804487078696,0.011119755736371584,4.32322553930279,0.004995004995004995,0,0.00024059464398718656,0.0025164454163866938,319,210,105,5,10,3,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,2,5,0.478199128821493,0.692583336516304,-0.6770830467013242,-0.7652716160766525,1.306568564057887,3.1238872733857934,0.003996003996003996,0,0.02784158491185445,0.4093383874764781,319,210,105,5,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,2,5,0.9945048738611648,0.9888843794340842,0.9944499264268264,0.9944744288231051,-0.002767550977341271,-0.7441951694021127,0.3086913086913087,0,-0.0005743423453431755,0.0029470879712376018,319,210,105,4,10,31,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,2,5,0.9955214322116857,0.9929911689039171,0.9862427905250262,0.9872235173020069,0.007523146644284884,3.530210252243098,0.00999000999000999,0,0.00013117622597169643,0.002093917894441648,319,210,105,5,10,3,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,2,5,0.33935743977759647,0.5675270379226169,-0.614108766186002,-0.623443182581371,1.0722182132337932,2.750269495295807,0.004995004995004995,0,0.05218692572530678,0.3708841221753712,319,210,105,5,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,2,5,0.9951610608447128,0.9906792821697885,0.9951384281896759,0.9952538627771227,-0.0022759739761486486,-0.7834140597008877,0.3096903096903097,0,-0.0002544499395145997,0.0025804030596615524,319,210,105,4,10,31,100,1000,
block_means,Faure,svm,top_ten,full,occupancy,2,6,0.9950121696813315,0.9950705862457504,0.9861575577244444,0.9863683786651997,0.008778409768718909,3.5882802260762587,0.006993006993006993,0,0.0004809213532142113,0.0023123858485762415,319,210,105,6,10,2,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy,2,6,0.4217470694403031,0.6680513020736079,-0.6566317527127176,-0.7067905330934888,1.2266103286600587,3.074920461980515,0.004995004995004995,0,0.05767420412602993,0.38015166212824014,319,210,105,6,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy,2,6,0.9905787124997054,0.9840771433202967,0.9895087702785291,0.9890219342637934,-0.0019374243611600672,-0.3435911290506884,0.7082917082917083,0,-0.0006353161849403542,0.003789702545049174,319,210,105,5,10,28,100,1000,
block_means,Faure,svm,top_ten,full,occupancy_bin,2,6,0.994619032111996,0.9917277540372186,0.985744396840588,0.9866107337250254,0.006995827791800635,2.861813836204986,0.02097902097902098,0,0.00041876242760124926,0.002298215656445755,319,210,105,6,10,2,100,1000,
block_means,Faure,svm,top_ten,mean_removed,occupancy_bin,2,6,0.2299419869169557,0.46916908984147976,-0.5834793000584191,-0.5710986409085277,0.9268445088626911,2.3812081656979855,0.008991008991008992,0,0.09906610213623793,0.34762958512021264,319,210,105,6,10,0,100,1000,
block_means,Faure,svm,top_ten,no_origin,occupancy_bin,2,6,0.9934085469565784,0.9870511950956943,0.9927525511892629,0.9920631267034041,-0.002177967920197199,-0.6056989859152638,0.4915084915084915,0,-0.0002962023412948827,0.0031067669298782217,319,210,105,5,10,28,100,1000,
